EP01 IN
EP01：何これ何これ　|　这是什么这是什么
EP03：一番お宝のにおいがする　|　具有浓郁的宝藏气息
EP03：私はお勧めしないよ　|　其实我不建议选这个
EP03：不確定情報は極力避けるべき　|　应当尽可能规避不确定信息
EP03：安全を担保するのが最優先だよ　|　安全才是第一位的
EP03：だが　現場を見れば情報は確定する　|　但实地勘察才能验证信息真伪
EP03：危険かどうかは行って判断すればいい　|　危险与否去了再判断吧
EP03：それにさ　人の行かない場所のほうがいい石が残ってるよ　|　况且人迹罕至的地方才会留下好石头吧
EP03：そんなのわかんないよ　|　这可说不准
EP03：もしかしたら大外れの可能性だって　|　说不定会白跑一趟
EP03：大丈夫だよ　|　没关系的
EP03：何があるかわからないけど何かは必ずあるんでしょ　|　虽然不知道有什么 但肯定存在某种东西对吧
EP03：まあ　そうだけどさ　|　话是这么说
EP03：伊万里も一緒に行こう　|　伊万里也一起去吧
EP03：採集にはほとんど行ってないだろ　|　你很少去采集吧
EP03：私は本だけでいいんだけど　|　我只要有书看就够了
EP03：たまには報告を書く側になるのも悪くないぞ　|　偶尔写写报告也不错哦
EP03：そう言われると興味なくはないけど　|　这么说我倒不是完全没兴趣
EP03：早く行こうよ　早く　|　快出发吧 赶快
EP03：だったら準備しっかりしなきゃね　|　那得先好好准备
EP03：来週の予定確認するか　|　确认一下下周的安排吧
EP03：ちゃんと情報詳しく調べて予定表も作って　|　详细调查资料做行程表
EP03：熊の生息情報に過去の被害件数　|　还有熊的栖息记录和历史事故数据
EP03：万が一のためのサバイバルグッズ　|　以防万一还要准备野外求生装备
EP03：準備に半年あれば行けそう　|　花半年准备应该可以
EP03：あれ　|　咦
EP03：ない　鉱山跡がない　|　没有 没有矿山遗迹
EP03：でも鉱山マークの場所にいるんでしょ　|　可我们就在地图标注的位置
EP03：絶対にここじゃん　|　肯定就在这里
EP03：そんなこと言われても…　|　就算你这么说…
EP03：石の顔が違うな　|　石头的样子不同呢
EP03：石の顔？　|　石头的样子？
EP03：伊万里さん　この石何　|　伊万里姐 这是什么石头
EP03：どれどれ　この石はね…　|　我看看 这应该是…
EP03：あれ　わかんない　|　那个 不知道
EP03：少し重いな　恐らく成分に…　|　有点重 可能含有…
EP03：くっついた　何それ　|　吸住了 这是什么
EP03：普通の磁石だよ　|　普通的磁铁而已
EP03：この石には磁鉄鉱が多く含まれてるようだ　|　看来这石头中含有大量磁铁矿
EP03：ジテッコウ？　|　磁铁矿？
EP03：代表的な鉄の鉱石だ　|　是一种代表性的铁矿石
EP03：砕けた磁鉄鉱が砂鉄だよ　珍しくはないね　|　破碎的磁铁矿就是铁矿砂 不算罕见
EP03：黒い八面体の結晶で金属光沢があって　|　黑色八面结晶体附带金属光泽
EP03：じゃあ　なんでさっきはわからなかったの　|　那刚才怎么认不出来
EP03：鉱物の形が図鑑と違うことは多い　|　矿物形态很多都和图鉴不符
EP03：私だってわからないときはたくさんあるよ　|　我也经常遇见认不出的情况
EP03：目的の正体は鉄の鉱山　|　所以我们的目的地其实是铁矿山
EP03：採れるのは磁石に付く石　|　能采到的都是带磁性的矿石
EP03：ならそう書いといてよ　|　那地图倒是标清楚啊
EP03：これはこれでおもしろい石だと思うけどな　|　我觉得这种矿石也很有意思啊
EP03：鉄の鉱山だったとしても鉄しか出ないわけじゃない　|　即便是铁矿山也不会只产铁
EP03：気に入る石が　見つかるかもしれないぞ　|　或许能找到你喜欢的石头哦
EP03：恐らくこの磁鉄鉱をたどれば鉱山跡に着く　|　跟着磁铁矿走或许就能找到矿山遗迹
EP03：この上にあるの　|　在这上面吗
EP03：せっかくここまで来たんだ　|　好不容易到这了
EP03：鉱山跡を見つけてみようじゃないか　|　就去找找矿山遗迹吧
EP03：ここが目的地のようだな　|　看来就是这里了
EP03：日本の近代工業を支えた場所だ　|　曾支撑日本近代工业的矿场
EP03：だいぶ自然に返りつつあるが　|　虽然已经快回归自然了
EP03：ここが鉱山跡か　|　这就是矿山遗迹吗
EP03：これが…　|　这是…
EP03：抗口は本来塞がないとだめなんだがな　|　坑道口本该封住的
EP03：あれ　でもここ　さっきの地図の場所とすごく離れてない　|　咦 但这里和地图标注的位置有点远啊
EP03：あの地図うそじゃん　|　那地图骗人的吧
EP03：うそではない　|　不是骗人的
EP03：こういう鉱山の敷地に１つ鉱山マークを付けるなら　|　如果要在这标个矿场图标的话
EP03：真ん中　|　正中间
EP03：そうだな　|　是的
EP03：だが実際の配置がこうなら　|　但实际分布可能是这样
EP03：地形図の情報には限界がある　|　地形图上能标注的信息量有限
EP03：足を運ばないとわからないことも意外と多い　|　很多事情必须实地确认
EP03：なるほど　|　原来如此
EP03：こら　|　喂
EP03：危険だからあまり近づくな　|　很危险 不能靠近
EP03：鉱山で探すんでしょ　入らないでどうするの　|　不是来矿山探索吗 不进去怎么行
EP03：ズリから探す　|　从尾矿开始找
EP03：ズリ？　|　尾矿？
EP03：鉱山から掘り出されたが　|　就是那些从矿山中挖出
EP03：工業的に価値が低く放棄された石だ　|　但工业价值低而被丢弃的石头
EP03：つまり　きれいな石でも　|　也就是说 即使是漂亮的石头
EP03：工業的に不要なら放置というわけだ　|　也会因为没有工业价值而被留存
EP03：ズリを狙わない手はないだろう　|　没有错过尾矿的理由吧
EP03：わかった　今日はここで探そう　|　明白了 今天就在这找吧
EP03：どこだ　|　在哪呢
EP03：これかな　こっちかな　|　是这块 还是这块
EP03：それともこっち　こいつはどうだ　|　还是说是这块 这块又如何
EP03：瑠璃ちゃん元気だね　|　琉璃真有活力呀
EP03：伊万里さん　この石何　|　伊万里姐 这是什么石头
EP03：あれ　|　咦
EP03：伊万里さん　|　伊万里姐
EP03：伊万里さん　|　伊万里姐
EP03：伊万里さん大丈夫　|　伊万里姐 你没事吧
EP03：わかんない　|　不知道
EP03：鉱山の中　|　这是矿山内部
EP03：落盤してたみたいだね　|　看来是塌陷了
EP03：伊万里さん　これ水晶　|　伊万里姐 这是水晶吗
EP03：わかんない　|　不知道
EP03：本当に鉱物研　|　你真是矿物研究所的吗
EP03：でも水晶なら形が悪いな　いいや　|　但如果是水晶这形状也太怪了 不要了
EP03：おーい　どこだ　|　喂 你们在哪
EP03：声はしたが　|　明明听到声音了
EP03：荒砥先輩　こっちこっち　|　荒砥学姐 这边这边
EP03：こっちとは　|　这边是哪
EP03：下下　穴に落ちちゃった　|　下面下面 我们掉进洞里了
EP03：穴？見当たらないが　|　洞？没看到啊
EP03：こっちだってば　|　就说在这边啦
EP03：ああ　ここか　|　哦 在这里啊
EP03：風化してぐずぐずだ　|　岩体都风化成碎片了
EP03：ここから出るのは無理だな　|　从这应该出不去了
EP03：抗口はあっちのほうだったか　|　坑道口在那边吧
EP03：距離的にはすぐだろう　|　距离应该不远
EP03：そのライトつくか　|　头灯还能打开吗
EP03：もっちろん　|　当然
EP03：２人とも頭に気を付けて　|　你们俩要小心头顶
EP03：あたっ　|　好痛
EP03：大丈夫か　|　没事吧
EP03：なに　もうさっきと同じ水晶じゃん　|　什么嘛 跟刚才一样的水晶
EP03：これは　|　这是
EP03：瑠璃　明かりを消せるか　|　琉璃 能先关掉头灯吗
EP03：いいけど　|　可以
EP03：紫色に光った　|　发出了紫色的光
EP03：あれ　なんで　|　咦 为什么
EP03：なになに　そのライトが特別なの　|　什么情况 那支手电筒有什么特别的吗
EP03：ブラックライトといってな　紫外線を照射するものだ　|　这是黑光灯 能发射紫外线
EP03：これで判別できる鉱物もある　|　有些矿物能靠这个来判别
EP03：恐らくこれは蛍石かな　|　这应该是萤石
EP03：きれいだな　|　真美
EP03：他の石はどうだ　|　照其他石头会怎样
EP03：光ってない　ただの石だ　|　没发光 只是普通石头
EP03：蛍石が光るのは中にレアアースなどの特別な不純物が入っているからだ　|　萤石会发光是因为里面有含稀土元素的杂质
EP03：蛍石が光ってるんじゃないの　|　不是萤石本身在发光吗
EP03：光っているのは不純物だけだ　|　发光的只是杂质
EP03：紫外線からエネルギーを吸収して目に見える光として　|　这些杂质具有吸收了紫外线能量后
EP03：再びエネルギーを放出する性質が特別なんだ　|　再以可见光形式释放能量的特性
EP03：光の色はエネルギーの大きさで決まる　|　光的颜色由释放能量的大小决定
EP03：蛍石の光が紫なのは　|　萤石之所以发出紫色光
EP03：不純物がエネルギーを放出する際に　|　是因为杂质释放能量时
EP03：一部を熱として失った結果なんだよ　|　有一部分转化为热能损耗导致的
EP03：持って帰りたい　|　好想带回去
EP03：あれ　さっき捨てたやつ　|　咦 那刚才扔掉的那块
EP03：いいや　|　不要了
EP03：持ってきてよかったな　|　幸好带了黑光灯
EP03：なんだ　待てどうした　|　等等 怎么了
EP03：ちょっと瑠璃ちゃん　|　等等 琉璃
EP03：離して　私の蛍石　|　放开我 我的萤石
EP03：全部蛍石なの　|　这全都是萤石吗
EP03：鉱脈は生き続けていたんだな　|　看来矿脉还一直留存着
EP03：すごーい　まるで宇宙じゃん　|　太壮观了 就像宇宙一样
EP03：壮観だな　|　真壮观
EP03：この場所　知ってる人っているのかな　|　这地方有人知道吗
EP03：私は聞いたことないな　|　我没听说过呢
EP03：じゃあ　私たちのお手柄だ　|　那就是我们的功劳吧
EP03：そうかもな　|　或许吧
EP03：女子高生探検家秘境発見なんてね　|　女高中生探险家发现秘境之类的
EP03：伊万里さん　興味ないの　|　伊万里姐不感兴趣吗
EP03：伊万里さん　|　伊万里姐
EP03：いや　そんなことないよ　|　没 不是这样
EP03：ただ　急にこんなの見せられて言葉が出なかったみたい　|　只是突然看到这景色一时不知道说什么
EP03：なんか困っちゃったというか　|　总感觉有些困扰
EP03：いや　困ってないんだけどね　|　不 倒不是真有什么困扰
EP03：凪さん　意味わかる　|　凪姐 你懂她的意思吗
EP03：伊万里にとって新鮮な体験ができたってことだよ　|　对伊万里而言是种新奇的体验吧
EP03：サンプルも採れたし鉱山の場所も把握できた　|　矿物样本也采到了 矿山位置也确定了
EP03：これで消えかけていた存在に光を当てられるな　|　这样一来差点消失的地方就重见天日了
EP03：特に蛍石の鉱脈は見事だったな　|　尤其是萤石矿脉真壮观啊
EP03：あの場所についてはあとで詳しく調べないと　|　那个地方必须得详细调查一番
EP03：荒砥先輩　|　荒砥学姐
EP03：あの　|　那个
EP03：私　あんまり力になれないかもしれないけど　|　我可能帮不上什么忙
EP03：私も蛍石鉱脈の調査　手伝ってもいい　|　但也能让我帮忙调查萤石矿脉吗
EP03：わかった　伊万里に託そう　|　好 那就拜托你了
EP03：託そ？私は手伝うだけで　|　拜托？可我只能帮忙
EP03：ただきれいな場所だっただけでは消化不良なんだろ　|　单纯用美丽的地方来概括对你来说太草率了吧
EP03：その先も知りたいと思った　|　你想了解背后的详情
EP03：その続きを見るために自分が関わりたい　|　想要见证后续所以渴望参与
EP03：そう思うのはいいことだ　|　这种想法很好
EP03：だったらなおさら　|　正因如此
EP03：誰かの手足になることを第一希望にするな　|　不要把当别人的助手作为首要目标
EP03：いつまでも借りた目で物を見るつもりか　|　你打算永远用别人的视角来探索事物吗
EP03：伊万里　|　伊万里
EP03：この鉱山の調査　私がやりたい　|　这座矿山的调查 我想自己来
EP03：よし　任せたぞ　|　好 交给你了
EP03：そうなると蛍石のサンプルもすぐに欲しいな　|　那这样的话真想马上拿到萤石样本啊
EP03：よし　来週もまた来てみよ　|　好 下周再来吧
EP03：いる　|　要吗
EP03：採ってきたのか　|　采来了吗
EP03：さっきポケットに入るだけ詰めてきたんだよ　|　我刚才往口袋里塞满了呢
EP03：伊万里さん　|　伊万里姐
EP03：これ使って頑張って　|　用这个加油调查吧
EP03：ありがとう　瑠璃ちゃん　|　谢谢 琉璃
EP03：頑張るね　|　我会努力的
EP03：凪さん　私も自分の目で探したい　|　凪姐 我也想亲眼去探寻
EP03：ああいう場所他にもないの　|　还有其他类似的地方吗
EP03：誰も知らないけどきれいな石が採れる場所　|　不为人知却能采到漂亮石头的地方
EP03：私がそこを発見するの　|　我要去发现它
EP03：誰も知らない場所なのに　|　都是没人知道的地方了
EP03：採れる石はわかってるの　|　怎么确定能采到什么石头
EP03：やってみるか　|　要试试看吗
EP03：実際のサンプルは手に入っている　|　已经有实际样本了
EP03：場所の目星もついているし　|　也有了相关地点的线索
EP03：そこを特定する方法もわかっている　|　具体寻找方法也已知晓
EP03：しかし　いまだ産地不明の鉱物があるんだ　|　但是那矿物至今仍产地不明呢
EP03：瑠璃も挑戦してみるか　|　琉璃要挑战看看吗
EP03：その石って　|　那矿石是
EP03：サファイアだ　|　是蓝宝石
EP03：やる　|　我要挑战
EP03：#地学实验室
EP03：#注：地学，即地球科学
EP03：#遗留的恒星
EP03：#北部矿山地区出产的黄铁矿
EP03：#原子序数83 Bi（铋）
EP03：#注：潜热，温度不变的条件下，物质在相变过程中吸入或放出的热量
EP03：#温度较低的区域
EP03：#温度较高的区域
EP03：#锰
EP03：#矿山标记详解
EP03：#铁
EP03：#废弃矿洞
EP03：#口口相传 历史书
EP03：#大学研究室里每位成员往往都会被分配一张作为工位的书桌。
EP03：#在研究室待得时间越久，个人工位越为个性化，使其状态变为使用者理想的样子。
EP03：#建立在精妙平衡上的空间里根本不存在无用之物。无论别人如何议论，没有就是没有。
EP03：#智力环
EP03：#注：智力环，一种益智玩具
EP03：#莫名只在研究室里流行起来，大家都买了。放松也是必要的。
EP03：#书籍
EP03：#看似随意堆叠，但每本的位置都了然于心。
EP03：#kimwipes擦拭纸
EP03：#万能擦拭纸。对研究者而言是必不可少的工具。
EP03：#零食
EP03：#专注时无法离座的应急食粮。食用期限不等于保质期，所以没关系。
EP03：#文件资料
EP03：#特意留着不丢。或许之后会派上用场。
EP03：#工具类
EP03：#常用物品就近摆放才更有效率。
EP03：#标本
EP03：#被戏称为故意绊倒人的陷阱，实则是闲置空间的合理利用。
EP03：#某些矿物在受到紫外线照射时会发出光芒。这种发光现象最初在萤石中发现，故被命名为「荧光」。但萤石的发光现象不止于此。当矿物受热时，还会产生一种名为「热释光」的现象。
EP03：#想安全观察到热释光，需要将萤石放入试管后，再用火加热试管。为使现象清晰可见，需要保持房间光线较暗。
EP03：#随着加热持续，萤石会发出声响迸裂，此时可观测到比萤石荧光更显青白的光芒。不过通过加热仅能看到一次热释光。
EP03：#萤石价格低廉，矿物专卖店大多有卖。欢迎大家买来尝试。
EP03：#在发光！
EP03：#矿山详解
EP03：#矿山区域
EP03：#氟化钙
EP03：#“荧光”现象
EP03：#紫外线（不可见）
EP03：#红外线（不可见）
EP03：#能量
EP03：#紫外线的能量
EP03：#热能 紫光的能量
EP03：#能量总额不变
EP03：#解读沙石
EP03 OUT

EP04 IN
EP04：採れた　|　采到了
EP04：凪さん　入れ物取って　|　凪姐 拿个容器来
EP04：これが本物のサファイア　|　这就是真正的蓝宝石
EP04：小さすぎない　|　太小了吧
EP04：やっぱり小さすぎる　|　果然太小了
EP04：川砂の中に含まれているサイズだしな　|　因为是混在河沙里的尺寸
EP04：だが透明感があって　きれいだろう　|　但有透明感 很漂亮吧
EP04：小さいが質はいいぞ　|　虽然小 但质量很好哦
EP04：そうだよね　|　是啊
EP04：宝石は宝石だもんね　|　宝石就是宝石嘛
EP04：でもこの探し方　|　不过这种找法
EP04：目が疲れるし肩も痛くて　しんどいな　|　眼睛疲劳 肩膀也酸 累人啊
EP04：その分たくさん採れるんだよね　|　但能采到很多吧
EP04：いや　数はかなり少ない　|　不 数量相当少
EP04：サンプルは見つけたこの１粒だけだ　|　样本就只找到这一颗而已
EP04：こんなつらい作業して　小さい粒がやっと１つ採れるだけ？　|　做了这么辛苦的工作 结果才采到一小颗？
EP04：なんだ　どうした　|　怎么了
EP04：サファイアっていうから期待したけどさ　|　听说是蓝宝石所以有点期待啦
EP04：本格派の私に言わせると　こんな狭い所でちまちまと　|　对于我这种讲实际的人 在这小地方一点点找
EP04：これって　山で採るのがめんどい人がしゃあなしにやるやつだよ　|　就是不想上山的人没办法才做的事情
EP04：まあ　一応これがあるし　|　反正也有这个了
EP04：私はもういいかな　|　我就差不多了吧
EP04：それはあげられないぞ　|　这个不能给你哦
EP04：貴重なサンプルだからな　|　因为是珍贵的样本
EP04：けち　|　小气
EP04：文句を言っててもやっぱり欲しいのか　|　嘴上抱怨 但还是想要吗
EP04：それ　どこで採ってきたの　|　那是在什么地方采到的
EP04：大学に来る途中で　大きい橋が見えたろ　|　来大学的路上 能看到一座大桥吧
EP04：その下だ　|　就在桥下
EP04：意外と近い　|　意外地近
EP04：どうする　来週あたりやってみるか　|　怎么办 下周试试看吗
EP04：うん　サファイアは欲しい　|　嗯 我想要蓝宝石
EP04：狭くて退屈だけど　|　虽然这里又小又无聊
EP04：無理にとは言わないぞ　|　不会勉强你哦
EP04：やるってば　|　我会做啦
EP04：次もまた顕微鏡を見るのか　|　下次又要看显微镜吗
EP04：今までは山とか行って　広い所で探してたのに　|　以前都是去山上 在宽敞的地方找
EP04：これじゃあワクワク感がないよ　|　这样完全没有兴奋的感觉
EP04：狭い部屋に籠もって　こんな狭い所覗くだけ　|　窝在狭小的房间里 盯着狭小的地方看
EP04：狭くはないよ　|　并不狭小哦
EP04：この中が　|　是吗
EP04：狭く切り取られているかもしれないが　|　虽然可能被分割得很小
EP04：砂の中に見える世界は広い　|　但沙子里能看到的世界很广阔
EP04：本当に広いぞ　|　真的很广阔哦
EP04：ジャーン　|　锵
EP04：砂　採ってきたよ　|　我把沙子采来了哦
EP04：さっさと見つけてババーンと終わらせちゃおう　|　快点找到然后赶紧结束吧
EP04：ペットボトル１本分も採ってきたか　|　你采了一整瓶来啊
EP04：誰が１本だけって言った　|　谁说只有一瓶
EP04：何がそんなにおかしいの　|　你笑什么呢
EP04：すまない　|　抱歉
EP04：本当に羨ましいくらいの行動力だな　|　真是令人羡慕的行动力啊
EP04：しかし　この量は思い切ったな　|　不过采这么多还真是有决心啊
EP04：そうだよ　|　是啊
EP04：帰り道めっちゃ疲れたんだから　|　回来的路上超累的
EP04：どうしてこの量が必要だと思った　|　你为什么觉得需要这么多呢
EP04：だって　サファイア採れなかったら嫌じゃん　|　因为不想找不到蓝宝石嘛
EP04：だがこれを全部見るには　１年以上かかるぞ　|　不过要看完这些 可要花上不止一年哦
EP04：そんなに？　|　这么久？
EP04：砂の採り方を教えておこう　|　我来教你如何采沙子吧
EP04：サファイアの比重は約４だから　以前探したガーネットと近い　|　蓝宝石的比重大约是4 和之前找过的石榴石差不多
EP04：じゃあ　あのときと同じ探し方でいいの　|　那就用当时一样的方法找就行了吗
EP04：ああ　|　嗯
EP04：えっと　岩の陰とか　流れが遅くなる所だっけ　|　岩石背面 或者流速变慢的地方 对吧
EP04：そうだ　|　没错
EP04：場所を選んで採集すれば　砂の量はもっと少なくていい　|　选好地点采集的话 沙子的量也可以少一点
EP04：行動力はもちろん大事だが　|　行动力固然重要
EP04：こういう予備知識があれば　効率が上がる　|　但有这些预备知识的话 效率会提升
EP04：なるべく楽できたほうがいいだろ　|　尽量轻松一点比较好吧
EP04：楽　大好き　|　我最喜欢轻松了
EP04：じゃあ大学に戻ろう　|　那就回大学吧
EP04：この中にサファイアが…　|　这里面有蓝宝石…
EP04：やっぱりどう考えても狭い世界だよね　|　果然怎么想都是狭小的世界呢
EP04：砂粒が重ならないよう　軽く振って均一に広げるんだ　|　为了不让沙粒重叠 轻轻晃动让它们均匀展开
EP04：シャーレの動かし方は　端から規則的にな　|　培养皿要从一端开始规律移动
EP04：何か見つけたら教えて　|　发现什么了告诉我
EP04：サファイアだ　|　是蓝宝石
EP04：色も結晶の形も違う　|　颜色和结晶形状都不一样
EP04：水晶の破片だ　|　是水晶的碎片
EP04：水晶？　|　水晶？
EP04：これ見てみな　|　你看看这个
EP04：黒くて八面体の結晶　磁鉄鉱だ　|　黑色八面体的结晶 是磁铁矿
EP04：あの磁石がくっつく石？　|　就是那个会吸住磁铁的石头？
EP04：砂って　砂じゃないんだ　|　沙子不是单纯的沙子啊
EP04：もちろん　|　当然了
EP04：サファイア以外も気にしてみたらいい　|　除了蓝宝石之外也可以注意一下其他的
EP04：これは…　|　这个是…
EP04：早く代わって　代わって　|　快点让我看 让我看
EP04：もうやだ　|　受不了了
EP04：サファイアの数は少ないからな　|　蓝宝石的数量是很少的
EP04：わかってるけど　きついよ　|　我知道 但是很辛苦啊
EP04：砂を顕微鏡で眺め続けるって　窮屈すぎて耐えられない　|　一直用显微镜看沙子太无聊 受不了了
EP04：ほら　もう少し頑張れ　|　来 再坚持一下
EP04：それ　厳しすぎない　|　这太严苛了吧
EP04：あの砂を全部見る意気込みはどうした　|　之前要看完那些沙子的干劲哪去了
EP04：あれは知らなかったからで　|　那是因为当时不知道啊
EP04：凪さん　|　凪姐
EP04：こないだ言ってたけど　この中のどこが広いの　|　虽然你之前说过 但这哪里广阔了
EP04：やっぱり私は本当に広い所で探したい　|　果然我还是想在真正广阔的地方找
EP04：瑠璃　この砂　どこから来たと思う　|　琉璃 你觉得这些沙子是从哪来的
EP04：上から流れてきたんでしょ　|　是从上面流下来的吧
EP04：そうだ　石は動く　|　没错 石头是会移动的
EP04：すべて上流から運ばれてきた物だ　|　这些都是从上游带下来的
EP04：その一粒一粒は　もともと山にあった石　|　那一颗一颗原本都是山里的石头
EP04：本来　山に入り歩き回って初めて目にできる１粒だ　|　本来是要进入山中四处寻找才能见到的
EP04：そんな石が何十年何百年とたまった物が　今の川砂だ　|　那些石头经历了几十年至几百年 才形成现在的河沙
EP04：その間　風化の影響を受けない石などない　|　这段时间里 没有哪颗石头不受风化影响
EP04：つまり川砂には理論上　山の石がすべて含まれていることになる　|　也就是说 理论上河沙中包含了山里所有的石头
EP04：山でいくら採集をしても　すべての石を把握することは難しい　|　在山里怎样采集 也难以掌握全部的石头
EP04：だが　このシャーレの中では　それが可能になっているんだ　|　但是 在这个培养皿里就有可能做到
EP04：この中に　山にある石が全部　|　这里面 有山里全部的石头
EP04：川砂の調査はしかたなくやることではない　|　调查河沙并不是迫不得已才做的事
EP04：一見狭く感じても　|　即使乍看感觉狭小
EP04：そこには現実以上にスケールの広い世界が見えているんだよ　|　但能看到超越现实的广阔世界
EP04：すべての砂粒は産地が実在する証拠だ　|　所有沙粒都是产地确实存在的证据
EP04：たった１粒でいい　見つけられたら　|　只要找到一粒
EP04：その先にある本当の産地へ行くための　大きな足がかりになってくれるんだよ　|　就能成为通往真正产地的重要线索
EP04：こっちは水晶　|　这是水晶
EP04：この金色のは黄鉄鉱かな　|　这个金色的是黄铁矿吧
EP04：両方採りに行ったな　|　两个都去采过呢
EP04：これもしかして　あの場所の石？　|　难道这是那个地方的石头？
EP04：可能性はなくはない　|　不是没有可能
EP04：両方とも更に上流の位置にあるからな　|　因为两个地方都位于上游
EP04：だとしたら今　私は２つの山を同時に見てる　|　如果是那样 那我现在就在同时看着两座山
EP04：全然違う　あの場所と　あの場所を？　|　完全不同的 那个地方和那个地方？
EP04：なら確かに　この中は…　|　那样的话 这里面确实…
EP04：砂の中に見える世界は　広いのかもしれない　|　沙子中看到的世界 也许真的很广阔
EP04：小さなサンプルだが　大きな価値を持つものだ　|　虽然只是小小的样本 却拥有巨大的价值
EP04：そうだよ　|　对啊
EP04：こんなかけらを集めてる場合じゃない　|　光收集这种碎片可不够
EP04：本当の産地ででっかいサファイア見つけなきゃ　|　要在真正的产地找到大块的蓝宝石
EP04：早く山に行って探そう　|　赶快去山里找吧
EP04：いや　このまま川砂の調査を続けたい　|　不 我想继续调查河沙
EP04：なんで　|　为什么啊
EP04：もう証拠は手に入れたじゃん　|　不是已经拿到证据了吗
EP04：ならどの山に行く　|　那要去哪座山
EP04：そんなの　|　这个嘛
EP04：全部歩けば　いつかそのうち…　|　全部走一遍 迟早…
EP04：もしかして　めちゃ大変？　|　难道说 非常辛苦？
EP04：全エリアを踏破するからな　|　毕竟要走遍整个区域
EP04：普通の登山とは違うぞ　|　跟普通登山不一样哦
EP04：じゃ　じゃあ　川砂　|　那 河沙呢
EP04：こっちのが遠回りな気がするけど　|　感觉这个更绕远路
EP04：川砂の場合は　サファイアの産地となる山を目指し　|　调查河沙 是以蓝宝石的产地所在的山为目标
EP04：川を逆にたどる　|　逆流而上
EP04：まずは存在を確認しつつ　上流を目指す　|　首先一边确认是否存在 一边朝上游前进
EP04：分岐点では両方を確認　|　在分支点同时确认两边
EP04：そしてどこかで　これ以上上流では見つからなかったとなれば　|　然后如果在某处以上的上游找不到了
EP04：産地がこの間にあるという予測が立てられる　|　就能推测产地就在这之间
EP04：あった　|　找到了
EP04：あった　|　找到了
EP04：なかった　|　没找到
EP04：あった　|　找到了
EP04：あった　|　找到了
EP04：なかった　|　没找到
EP04：産地はここより上流　|　产地在此处上游
EP04：ここより下流　|　在此处下游
EP04：すると歩いて探す範囲はかなり絞ることができる　|　这样一来 实地调查的范围就大幅缩小
EP04：しかも　この方法は常に目標を捕捉しながら産地を目指せる　|　而且这个方法能一直锁定目标并朝着产地前进
EP04：あった　|　找到了
EP04：みつからない　|　找不到
EP04：あった　|　找到了
EP04：あっち　|　那边
EP04：ない　|　没有
EP04：このへんだ　|　这附近
EP04：あった　|　找到了
EP04：採集　観察　検証を繰り返し　正しい道をたどる　|　反复进行采集 观察 验证 走在正确的道路上
EP04：科学的アプローチだ　|　是科学的方法
EP04：川砂のほうが　可能性は高いってこと？　|　就是说 通过河沙的可能性更高？
EP04：確信を持って動けるからミスが少ない　|　因为能基于可信的证据行动 所以出错更少
EP04：私は川砂のほうを勧める　|　我建议调查河沙
EP04：わかった　そっちにする　|　明白了 那就这样吧
EP04：だけどそうなると　これからずっと顕微鏡見るのか　|　但这样一来 今后就一直要看显微镜了吗
EP04：遠回りに見えても　これが最短距離だ　|　虽然看起来是绕远路 但这才是最短路线
EP04：労力は抑えられている　|　也会更加省力
EP04：それでも大変ではあるが　|　虽然也还是会很辛苦
EP04：こんな作業普通耐えられないよね　|　这种工作正常人是受不了的吧
EP04：サファイアは手に入ったんだ　|　已经得到蓝宝石了
EP04：大変ならこれで終わりでもいいが　|　你觉得辛苦的话 也可以到此为止
EP04：より大きくきれいな物が採れる期待はある　|　但有希望采到更大更漂亮的
EP04：これを見て　瑠璃がどう判断するかだ　|　取决于你的选择了
EP04：もちろん　まだやるよ　|　当然要继续
EP04：顕微鏡くらい　いくらでも見てやる　|　区区显微镜 看多久都行
EP04：サファイアは必ずあるんだ　|　蓝宝石一定会有的
EP04：本当の産地　絶対に見つけてやる　|　真正的产地 我一定要找到
EP04：もうやめていい　|　可以结束了吗
EP04：どうした　|　怎么了
EP04：慣れてきたって言ってたじゃないか　|　你不是说开始习惯了吗
EP04：そう思ってた　|　我是那么觉得
EP04：けど川の分かれてる所でさ　|　但在河流分岔的地方
EP04：あった　|　找到了
EP04：すすめ　|　前进
EP04：こっちにあるってわかったのに　|　明明知道在这一边有
EP04：もう片方も確認するって　|　却还要确认另一边
EP04：この見つからないことを確かめるための作業が　|　这种确认没有的工作
EP04：こんなにつらいとは思わなかった　|　没想到会这么辛苦
EP04：片方で採れてるのがわかってる分　余計にやる気が起きない　|　正因为知道一边有 就更提不起劲去确认了
EP04：あったほうを進んでいいと思うんだけど　|　我觉得继续朝有的那边去就好了
EP04：それはだめだ　|　那可不行
EP04：ないならないで　しっかり確認する　|　没有的话也要好好确认
EP04：予定していた量は全部こなしてくれ　|　计划好的量全部做完吧
EP04：ねえねえ　楽しようよ　|　喂喂 轻松点嘛
EP04：見つかったほうだけでいいじゃん　|　在一边找到不就够了吗
EP04：ここまでやって見つからないんだから　もういいじゃん　|　这边找了这么久都没有 就不用找了嘛
EP04：ねっ　|　好不好
EP04：だめだ　|　不行
EP04：終わった　|　结束了
EP04：なかった　|　没有
EP04：ご苦労さん　|　辛苦了
EP04：私の言ったとおりだったし　やる必要なかったんだよ　|　跟我说的一样 根本没必要找
EP04：いや　結果は同じでも　|　不 即使结果一样
