EP01 IN
EP01：こっちだ　早く　|　在这边 快点
EP03：#人类 警戒塔莲
EP03：#利奇亚中央城塞
EP03：#虽然黄都是在女王统治下的统一国家，但掌握实权的是黄都二十九官。卿为文官，将为武官，且数字不决定上下地位。
EP03：#人类 晴天卡黛
EP03：#黄都 郊外某处
EP03 OUT

EP04 IN
EP04：本物の魔王が死んだ　|　真正的魔王已经死了
EP04：地平のすべてを恐怖させた世界の敵を　何者かが倒した　|　使大地上所有生灵恐惧的敌人 被某人打倒了
EP04：その１人の勇者はいまだ　その名も実在も知れぬままである　|　至今 人们也无法确定那位勇者的姓名与存在
EP04：恐怖の時代が終息した今　その１人を決める必要があった　|　在恐惧时代结束后的现在 必须决出这位勇者
EP04：ヒドウ様　メイジ市の本部より連絡が入りました　|　西多勿大人 有梅吉市本部的报告
EP04：なんだよ　新公国の案件はもう俺の管轄になってるのか　|　怎么 新公国的案件已经到我管了吗
EP04：今朝方　第三卿からの通達がありまして　|　是今天早上 第三卿下达的通知
EP04：ジェルキか　|　杰鲁奇吗
EP04：相変わらず　死ぬほど仕事の速い野郎だな　|　这家伙还是老样子 工作效率高得要死
EP04：で　なんだ　|　是什么报告
EP04：諜報部隊10名の定期連絡が　同時に途絶えました　|　与谍报部队10人的定期联络同时中断了
EP04：昨日　一日足らずの間にです　|　就在昨天一天之内
EP04：拠点を囲まれたか　|　据点被人包围了吧
EP04：逃げ延びたヤツは　１人もいないのか　|　就没一个人逃出来吗
EP04：はい　誰一人として　|　是 一个人都没有
EP04：第十七卿配下の精鋭です　|　他们都是第十七卿手下的精锐
EP04：お前　何人いればできると思う　|　你觉得需要多少人
EP04：今回の工作部隊ならば　|　这次的作战小队
EP04：16班の64名　|　需要16班的64人
EP04：狙撃班も必要でしょう　|　再加上狙击班吧
EP04：エレアちゃんに話は行ってるのか　|　你跟爱蕾雅说过了吗
EP04：エレアちゃん？　|　爱蕾雅？
EP04：第十七卿だよ　|　第十七卿
EP04：赤い紙箋のエレア　|　红纸签爱蕾雅
EP04：工作部隊の親玉だ　|　她是作战小队的首领
EP04：報告するなら　俺より優先すべきだろ　|　报告给我之前应该先报告给她吧
EP04：別件の潜入任務中だって話は聞いているが　|　听说她还在执行另一个潜入任务
EP04：なんでもラヂオ通信も困難な辺境に向かわれたそうで　|　似乎是前往了难以通信的边境
EP04：まずは責任者のヒドウ様に話をと　|　所以先跟负责人西多勿大人报告
EP04：責任者？　|　负责人？
EP04：正式な辞令はまだもらってないぞ　|　正式的任命书还没下来吧
EP04：そう言われましても…　|　就算您这么说…
EP04：ったく　どいつもこいつも好き勝手動きやがって　|　真是 怎么全都喜欢自作主张
EP04：新たな人員を　潜入させますか　|　要派遣新的谍报人员潜入吗
EP04：また部隊を送ったところで無駄死にだろ　|　就算派过去也是白白送死吧
EP04：別の手だ　|　要换个方式
EP04：メイジ市の作戦本部の東に　渓流に削られた窪地がある　|　在梅吉市作战本部的东边 有一块被溪流冲刷出的洼地
EP04：そこに野戦陣地を構築させろ　|　在那里建立野战阵地
EP04：窪地は確かにありますが　本部との距離は相当に離れています　|　确实有一块洼地 但离本部很远
EP04：その位置では防衛に用立ちませんが　|　在那里很难进行防守
EP04：攻めるための陣地だ　|　是为了进攻
EP04：そこなら鳥竜どもの目もあざむける　|　那个位置也能瞒过鸟龙
EP04：明日にでも築城に詳しいヤツを何人か送ってやる　|　明天就派几个善于修筑的人过去吧
EP04：了解しました　|　明白了
EP04：ところで　|　话说回来
EP04：濫回凌轢を釈放するというのは　その…　|　释放滥回凌轹这件事…
EP04：ヒドウ様の責任で　|　是西多勿大人负责吗
EP04：ああ　ちょっとどいてろ　|　对 你让一让
EP04：起きてるな　ニヒロ　|　你醒着吧 霓悉洛
EP04：大丈夫　今起きたよ　|　没问题 现在醒了
EP04：新公国の諜報部隊が10名　１日で全滅したそうだ　|　新公国的谍报部队10人 一天内被全灭了
EP04：お前なら何人でやれる　|　换作是你需要几个人
EP04：１人　|　一人
EP04：濫回凌轢ニヒロ　|　滥回凌轹霓悉洛
EP04：こいつは黄都の一方面軍を単機で滅ぼしている　|　这家伙凭一己之力消灭了黄都一个方面军
EP04：いや　|　说错了
EP04：１人と１体かな　|　是一人和一只吧
EP04：現存する記録上の　最悪の生体兵器だ　|　她是现存记录中最凶险的生物兵器
EP04：大婆ちゃんは言っていた　|　我的曾祖母说过
EP04：美は生まれる時に天使様が分け与えてくれた才能だと　|　美是天使大人在出生时给予你的才能
EP04：でも　|　但是
EP04：私の考えは違う　|　我并不这么认为
EP04：美は才能と努力がそろってこそあらわれる　|　拥有美需要兼具才能与努力
EP04：常に細心の注意で整え続けなければならない　|　并且要不懈怠地细心打理
EP04：ヤウィカさん？　|　亚维卡同学？
EP04：先生　|　老师
EP04：ねえねえ　もう黄都に帰ったかと思ってた　|　我以为您已经回黄都去了
EP04：先生の裸　すっごくきれい　|　老师的裸体好漂亮
EP04：そう　|　是吗
EP04：ありがとう　|　谢谢你
EP04：授業は終わりましたけど　明日までこの村にいますから　|　虽然课上完了 但我明天才会离开这个村子
EP04：最後にここのお風呂をと思って　|　最后想再在这洗个澡
EP04：キアも明日までいる　|　祈雅也会待到明天吗
EP04：もちろん　|　当然啦
EP04：発つ時にはみんなにも挨拶するはずですよ　|　出发时会跟大家都打个招呼的
EP04：ねえ　先生　授業して　|　老师 接着上课吧
EP04：私だけ続き　|　只给我上
EP04：しょうがないですね　|　真拿你没办法
EP04：じゃあ　ヤウィカさんがのぼせないよう　詞術の系統だけ　|　那为了不让亚维卡泡晕 讲一下词术的系统吧
EP04：やった　|　好耶
EP04：詞術には　大きく４つの系統があります　|　词术分为四大系统
EP04：森人はあまり区別をつけませんけれど　|　虽然森人不太会刻意区分
EP04：中央の…人間の学問ではそうではないんですよ　|　但中央的…人类的知识体系则不一样
EP04：熱術と工術と…　|　有热术和工术…
EP04：あと　なんだっけ　|　还有 哪些来着
EP04：すごい　よく２つも言えましたね　|　真厉害 能说出两个呢
EP04：自分で勉強したんですか　|　是自己学到的吗
EP04：隣のムヤ兄に聞いたの　|　听隔壁的穆亚哥哥讲的
EP04：ホントは３つ知ってたんだけど…　|　其实我知道三个的…
EP04：えっと…　|　那个…
EP04：熱術　工術　力術　生術　|　热术 工术 力术 生术
EP04：この４つですね　|　是这四个哦
EP04：思い出した　|　我想起来了
EP04：偉い　偉い　|　不错 不错
EP04：熱術は分かりますよね　|　你应该明白热术吧
EP04：ヤウィカさんのお母さんがいつも台所で使っている　あれです　|　就是亚维卡同学的妈妈会在厨房里用的那个
EP04：私　もう使えるよ　|　我也会用哦
EP04：じゃあ次に来た時は　ヤウィカさんの料理をごちそうしてもらいましょうか　|　那我下次来 就让亚维卡同学请我吃一顿吧
EP04：やった　任せて　|　好耶 交给我吧
EP04：次の力術は…　|　接下来是力术…
EP04：エレアよりイータの水へ　|　爱蕾雅致伊塔的水
EP04：羽持たぬ虫　ふくれた葉　やわらかなる背骨　|　无翅之虫 臌胀之叶 柔软背骨
EP04：飛べ　|　飞翔
EP04：ごめんなさい　|　抱歉
EP04：私　力術は少し下手で　|　我不太擅长力术
EP04：ううん　全然平気　|　我没事
EP04：今のがそうなんだよね　|　刚才那个就是力术吧
EP04：物を動かしたり　飛ばしたり　|　使物体移动或飞起
EP04：そういうのが力術ですね　|　这种就叫做力术
EP04：例えば　弓で射った矢を曲げたりするのを見たことは　|　比如 你见过从弓上射出的箭拐弯吗
EP04：ある　かも…　|　有吧…
EP04：自分に力術を使えるようになれば　|　如果能对自己使用力术
EP04：ほんのまばたきの間だけですけど　空を飛ぶことだってできますよ　|　就可以短暂地飞到空中
EP04：すごい　|　好厉害
EP04：じゃあじゃあ　工術っていうのは　|　那 工术呢
EP04：では　見ててくださいね　|　你仔细看哦
EP04：エレアよりイータの水へ　|　爱蕾雅致伊塔的水
EP04：十二の骨　海底の大地　終止の灰　|　十二根骨 海底大地 终末之灰
EP04：留まれ　|　停下
EP04：氷？　|　冰？
EP04：本当にそうですか　|　真的是冰吗
EP04：あったかい　氷じゃない　|　好暖 不是冰
EP04：なんで　|　为什么
EP04：工術は形を変える術です　|　工术是能改变形态的法术
EP04：木の形を変えて家具を作るように　|　就像改变木的形状制成家具那样
EP04：お湯だって　こんなふうに形を与えることができます　|　热水也能像这样被固定形状
EP04：すごい　|　好厉害
EP04：最後の１つ　生術は　|　最后是生术
EP04：簡単に言えば　お医者さんの術ですね　|　简单来说就是医生使用的法术
EP04：ケガや風邪を　治してくれる人がいるでしょ　|　有些人能治疗伤病对吧
EP04：ミッチ婆がやってくれる　|　米琪婆婆能治疗
EP04：でも最近は私　ケガとかしないんだから　|　但我最近都没有受过伤
EP04：けれど　ミッチ婆さんがどんなにすごくたって　|　不过无论米琪婆婆有多厉害
EP04：外から来た私のケガは治したりできません　|　都治疗不了我这个外来者
EP04：どうしてだか分かりますか　|　你知道为什么吗
EP04：んっと…　|　这个…
EP04：長い時間をかけてその人に向き合っていないと　|　没有与对象长时间相处过的话
EP04：詞術で伝える言葉が分からないからです　|　词术传递的语言就无法被理解
EP04：それは風や水　木々や鉄だって同じです　|　这一点对于风和水 木和铁都是一样的
EP04：私と先生でもダメ　|　我和老师也不行吗
EP04：ダメです　|　不行
EP04：でも　水は生き物と違って素直ですから　|　但是水和生物不一样 很听话
EP04：ここに来て　小６か月の私でも　|　即使是才来这里不到六个月的我
EP04：詞術を使うことができます　|　也能对它使用词术
EP04：生術でできることをもう１つ教えますね　|　再告诉你一件生术能做到的事
EP04：エレアよりイータの水へ　|　爱蕾雅致伊塔的水
EP04：畳む木の虚　黒き腱の塚　反射する殻　|　叠木之虚 黑腱之冢 反射之壳
EP04：融けよ　|　溶解吧
EP04：なめてみてください　|　你舔舔看
EP04：甘い　|　好甜
EP04：生術は工術のように物の形を変えるのではなく　|　生术不是像工术那样改变物体形态
EP04：物の性質を変える術なんです　|　而是改变物体性质的法术
EP04：水をお酒に変えたりもできるんですよ　|　甚至能把水变成酒哦
EP04：そうなんだ　|　这样啊
EP04：ミッチ婆になんでケガを治せるのって聞いたらね　|　我问过米琪婆婆为什么她会治疗
EP04：なんとなくできるって言ってた　|　她说不知不觉中就会了
EP04：森人は生術が得意ですから　そうなのかもしれませんね　|　森人很擅长生术 可能就是这样吧
EP04：先生も生術が一番得意なんですよ　|　老师我也最擅长生术了
EP04：そうなの　|　这样吗
EP04：じゃあ　私がケガしたら治してね　|　那我受伤了也治好我吧
EP04：もちろんです　|　没问题
EP04：やった　|　好耶
EP04：でも…　|　可是…
EP04：私が本当に得意なのは…　|　我真正擅长的是…
EP04：これで授業はおしまいです　|　课就上到这里
EP04：またこちらに立ち寄った時　続きを教えましょうね　|　之后的内容 我下次来再教你
EP04：あのね　先生　|　那个 老师
EP04：はいはい　なんです　|　怎么了
EP04：ちょっと　|　喂
EP04：先生　好き　|　好喜欢老师
EP04：黄都に帰っても　大好きだよ　|　回黄都了也喜欢
EP04：先生も　ヤウィカさんのことが大好きですよ　|　老师我也很喜欢亚维卡
EP04：おっぱいも大きくて　すごい　|　胸也好大 好厉害
EP04：それは関係ないでしょ　|　跟这个没关系吧
EP04：もう　|　真是的
EP04：私は少しの間だけ　|　我在这短暂的时光里
EP04：自分がこの村に来た理由を忘れることができた　|　得以忘记自己来这个村庄的理由
EP04：ヤウィカには決して言えない　その理由を　|　那个绝不能告诉亚维卡的理由
EP04：人間って　こんなにお風呂が長いの　|　人类泡个澡要这么久吗
EP04：キア？　|　祈雅？
EP04：ヤウィカを人間の長風呂に付き合わせないでくれる　|　别让亚维卡陪你泡那么久的澡好吗
EP04：腹黒先生　|　腹黑老师
EP04：人のことをそんなふうに呼んではいけませんよ　キア　|　不能这样称呼别人哦 祈雅
EP04：だって　そうじゃない　|　本来就是这样嘛
EP04：家ではだらしないのに　外では上品ぶっちゃってさ　|　明明在家很散漫 在外面就举止优雅
EP04：そんなことより　こんな所で何をしているんです　|　比起这个 你在这种地方干什么
EP04：先生が出てからお風呂に入ろうと思ってたのに　|　本来想等老师出来之后去泡澡的
EP04：長いんだもの　|　你泡太久了
EP04：詞術でのぞき見もいけませんね　|　用词术来偷窥也是不对的哦
EP04：バカにしないで　やらしい　|　你瞎说什么呢 真下流
EP04：高いとこのほうが虫とか来なくて休めるだけ　|　我只是觉得高处没有虫子适合休息
EP04：もしかしてキアも授業を受けたかったのですか　|　难道说祈雅也想听课吗
EP04：いや　勉強なんて絶対いや　|　不想 学习什么的绝对不要
EP04：ヤウィカがヘンテコなだけよ　|　想听课的只有亚维卡那种怪人
EP04：先生の前まであたしを下ろして　|　让我降到老师面前
EP04：戻って　|　回去
EP04：返すわ　|　还给你
EP04：ありがとう　|　谢谢
EP04：詞術は作用させる対象を理解した上で　|　词术需要在理解作用对象的基础上
EP04：その魂へ言葉を紡ぐための特別な詠唱が必要となる　|　用特别的咏唱将语言编织到灵魂
EP04：でも　例外が存在する　|　但是 也有例外存在
EP04：ただ１人　キアの詞術だけが　すべての原則に反している　|　只有一人 唯独祈雅的词术 违背了所有的原则
EP04：キア　|　祈雅
EP04：詞術はあまり自分勝手なことに使ってはいけませんよ　|　不要经常把词术用在任性的事情上哦
EP04：あなたの力は…　|　你的力量是…
EP04：人を幸せにするための才能だからって言うんでしょ　|　为了让人们幸福的才能 你想这么说对吧
EP04：いっつも同じことばっかり　|　你老是说同样的话
EP04：あなたの力は特別なんです　|　你的力量是特别的
EP04：普通と同じように使ってはつまらないでしょう　|　像普通人一样使用的话会很无聊吧
EP04：楽しく暮らせてるなら　普通でいいじゃない　|　只要能过得开心 普通点不也挺好的
EP04：イータの外では普通じゃありません　|　你在伊塔之外可不普通
EP04：すぐに黄都の学校に通うことになるんですからね　|　毕竟你马上就要去黄都上学了
EP04：でも　これから行くのは黄都じゃなくてリチアでしょ　|　但我们接下来要去的不是黄都 是利奇亚吧
EP04：リチアだって同じですよ　|　在利奇亚也是一样的
EP04：森人だけじゃなくて　|　不只是森人
EP04：山人やレプラコーンだっているんです　|　那里也有山人和小人
EP04：そんなのもいるの　|　连那种也有吗
EP04：だから他の人にどう見られるかも考えなさい　|　所以也想想别人会怎么看你
EP04：悪口を言われるかもしれませんよ　|　也可能会有人说你的坏话哦
EP04：そんなの全然気にしないわ　|　那种事我完全不在意哦
EP04：そんなヤツら　もしあたしが「死ね」って言えば　|　那种家伙 只要我说「去死」
EP04：みんな　死んじゃうんだから　|　他们都会死掉的
EP04：キア　|　祈雅
EP04：先生　|　老师
EP04：先生　どうも　|　老师 您好
EP04：あら　おはようございます　ヤウィカさん　シエンさん　|　哎呀 早上好 亚维卡同学 希恩同学
EP04：今日で先生たちが行っちゃうから　|　因为老师你们今天就要走了
EP04：シエンも来たいって　挨拶しに来たの　|　希恩也想过来打个招呼
EP04：いえ　僕は…その…　|　不 我是…那个…
EP04：そうなんですか　|　是这样啊
EP04：先生もシエンさんが来てくれてうれしいです　|　希恩能来我也很高兴
EP04：はい　|　好的
EP04：先生　キアはこんなですけど　|　老师 您别看祈雅她这样
EP04：村の子供も大人たちも先生には…　|　其实村里的孩子和大人们都对老师…
EP04：その…感謝してて　|　那个…很感谢
EP04：僕も…すごく感謝しています　|　我也…很感谢老师
EP04：先生のおかげで　みんな賢くなったんです　|　多亏了老师 大家都学到很多知识
EP04：本当です　|　是真的
EP04：もしもそうなら　先生にとって一番うれしいことです　|　要真是这样 对老师来说也是最开心的事
EP04：一度だけ授業で言ったことがありましたね　|　以前在课堂上说过一次吧
EP04：知恵とは種のようなもの　|　智慧就如同种子
EP04：学びの水を絶やさぬならば　それは自ら育つ　|　要是学习的水源不断 它就会自己生长
EP04：その種を最初にまいてくれたのは　|　而第一个播下这颗种子的人
EP04：エレア先生です　|　是爱蕾雅老师
EP04：なのに　なんのお礼も返せなくて　|　可我却无以为报
EP04：お礼なんて　|　回报什么的
EP04：かわいい教え子ができた以上にうれしいことなんてありませんよ　|　没有比教导了这么可爱的学生更让我高兴的事了
EP04：ね　ヤウィカさん　|　对吧 亚维卡同学
EP04：先生　大好き　|　最喜欢老师了
EP04：ホントに白々しいわ　|　真是虚情假意
EP04：こういうのが悪い大人なのよ　|　这种就叫坏大人
EP04：キアは黄都での勉強が嫌なだけだろ　|　祈雅只是不想去黄都学习吧
EP04：勉強なんて好きな子のほうがヘンテコなの　|　喜欢学习的小孩才是怪人吧
EP04：もう　キアさんはいつも素直じゃないんですから　|　真是的 祈雅同学总是那么不坦率
EP04：身分を偽ってまで　キアの黄都への留学を取りつけたのは　|　我不惜伪造身份让祈雅去黄都留学
EP04：たった１つの目的のためだ　|　只有一个目的
EP04：「勇者」を決定する上覧試合　|　决出「勇者」的御前比试
EP04：キアなら誰が相手でも勝てる　|　祈雅出战的话无人能敌
EP04：たとえ黄都そのものとだって戦える　|　即使和黄都本身也能一战
EP04：勝てば　妾の子の私でも　誰にも見下されないようになる　|　只要获胜 即使是侧室之女的我也能不再被蔑视
EP04：ねえ　キア　いつものとこ行こ　|　祈雅 去那个老地方吧
EP04：しばらくお別れだもん　|　毕竟要分开一段时间了
EP04：いいわよ　あんなとこ　|　不用了吧 那种地方
EP04：それって　どこのこと　|　是什么地方呢
EP04：キアさんのお気に入りの場所なんですか　|　是祈雅喜欢的地方吗
EP04：あたしじゃない　ヤウィカが好きなの　|　不是我 是亚维卡喜欢
EP04：あたしはついてってあげただけよ　|　我只是陪她一起啦
EP04：連れてって　|　快带我去啦
EP04：もう　分かったわよ　|　真是的 知道了啦
EP04：腹黒先生はついてこなくていいから　|　腹黑老师就不用过来了
EP04：大したとこじゃないし　|　不是什么大不了的地方
EP04：待って　|　等等
EP04：はいはい　|　好好
EP04：とか言いつつ　ついていっちゃったりして　|　虽然这么说 但我就要跟着去
EP04：もう　ホントにいいから　|　真的不用啦
EP04：あの坂　茂みの中に道があったんだね　|　原来那个坡的树丛中还有路啊
EP04：村のやぐらのてっぺんがちょっと見えるとこで抜けられるの　|　可以从稍微看到村庄瞭望塔顶的地方穿出去
EP04：この道はイノシシや鹿が使っているかもしれませんよ　|　说不定野猪和鹿也会从这条路走
EP04：別にイノシシくらいなら　僕が力術で追い払えます　|　只是野猪的话 我可以用力术把它们赶走
EP04：シエンはすごいね　|　希恩真厉害啊
EP04：あたしなんて群れごと高い木のてっぺんに引っかけてやるわ　|　我会把它们整群挂到很高的树上去
EP04：キアもすっごいな　|　祈雅也很厉害呢
EP04：もう　先生を置いてかないでくださいね　|　真是的 不要丢下老师不管啊
EP04：縦列なら人間の成人でも問題なく進行できる　|　排成纵列的话成年人也可以顺利前进
EP04：方向からして第四の山に出そうね　|　从方向来看出口应该在第四座山
EP04：収穫祭では　その熱と美しさに見とれながらも　|　在丰收祭上 热情与美好让我着迷
EP04：祭りの間の防御態勢がどうであるのかを記録した　|　但我也记录了祭典期间的防御态势
EP04：森の植物の使い道を教えるついでに　|　在教授森林中植物的用途时
EP04：薬草の詳細な記録を鳥に乗せて黄都へ送った　|　也用鸟把草药的详细记录送往黄都
EP04：濃霧が人跡を阻むこの秘境を調査した　|　我调查了这个因迷雾而人迹罕至的秘境
EP04：いずれ黄都の軍が　この村の何もかもを奪うだろう　|　总有一天黄都的军队会掠夺走这个村庄的一切吧
EP04：本物の魔王の時代にうわさとなった　|　在真正魔王的时代就有传闻
EP04：「全能の詞術を使う者」の村の位置は　|　「全能的词术使用者」的村庄位置
EP04：捕らえたリチアの兵から知った　|　我从抓来的利奇亚士兵那里得知
EP04：その兵もすでにこの世にはいない　|　那个士兵也已经不在世上了
EP04：あとは　私と世界詞とのつながりを知りえる者さえ始末すれば…　|　之后 只要处理掉知道我和世界词之间联系的人…
EP04：ほら　着いたわよ　|　看吧 已经到了
EP04：疲れたね　|　好累啊
EP04：先生も疲れてる　|　老师也累了吗
EP04：え　本当にここが　|　是啊 真的是这里吗
EP04：ほら　全然大したことないでしょ　|　看吧 完全没什么大不了的吧
EP04：だから　いいって言ったのよ　|　所以我就说不用来的
EP04：曇ってるからじゃない　|　会不会是因为阴天呢
EP04：キアが晴らせばいいじゃないか　|　祈雅让天放晴就好了吧
EP04：そうだね　キアがいてよかった　|　是啊 有祈雅在真是太好了
EP04：晴らすって　どういうことですか　|　让天放晴 是怎么回事
EP04：やめてよ　|　别这样嘛
EP04：２人とも簡単に言っちゃってさ　|　你们俩说得这么简单
EP04：でもまあ　|　不过
EP04：この村の最後の思い出がこれだなんて　さえないし　|　在这个村子最后的记忆是这样的话 也太没趣了
EP04：言っとくけど　別にムキになったわけじゃないから　|　先说好 我可没有在较真
EP04：晴れて　|　放晴
EP04：無敵だ　|　无敌
EP04：これは無敵の力だ　|　这是无敌的力量
EP04：きっとどんな相手が立ち塞がろうと　キアは勝つ　|　无论面对什么样的对手 祈雅都绝对会赢
EP04：ほら　別に全然大した景色なんかじゃないんだから…　|　都说了 不是什么大不了的风景…
EP04：先生？　|　老师？
EP04：どうかしましたか　|　怎么了吗
EP04：先生？　|　老师？
EP04：泣いてる　|　你在哭吗
EP04：泣いてませんよ　|　没有哭哦
EP04：先生…泣いてませんから　|　老师我…并没有哭
EP04：それはすべての摂理を無視して　あらゆる存在をねじ曲げる力を持つ　|　她拥有无视一切天理 扭曲一切存在的力量
EP04：それはすべてを一語のもとに支配し　いかなる自然をも凌駕する　|　她可以用一句话支配一切 凌驾于自然法则之上
EP04：それは万物の外にある特異点であり　一切の解析と予測をも拒絶する　|　她是超越万物的特异点 拒绝一切的解析与预测
EP04：現時点において　限界すら計測されていない　全能の魔才である　|　在当下 是连极限都未能被测量的全能魔才
EP04：詞術士　森人　世界詞のキア　|　词术士 森人 世界词祈雅
EP04：#黄都 中央拘留所
EP04：#伊塔森林道
EP04：#人类 黄都第十七卿 红纸签爱蕾雅
EP04：#语言：这个世界不存在共通的语言，各种个体都以其独特的语法和发音来构筑语言。通过词术得以翻译各种语言的含义。只要是拥有语言的存在，即使是非人种族或“彼方”的人类也可以进行对话。
EP04：#大海的希古尔雷与静歌娜斯缇库
EP04 OUT

EP05 IN
EP05：本物の魔王が死んだ　|　真正的魔王已经死了
EP05：地平のすべてを恐怖させた世界の敵を　何者かが倒した　|　使大地上所有生灵恐惧的敌人 被某人打倒了
EP05：その１人の勇者はいまだ　その名も実在も知れぬままである　|　至今 人们也无法确定那位勇者的姓名与存在
EP05：恐怖の時代が終息した今　その１人を決める必要があった　|　在恐惧时代结束后的现在 必须决出这位勇者
EP05：音斬りシャルク　海たるヒグアレ　|　斩音夏鲁库 大海的希古尔雷
EP05：名だたる２名を確保するとは上々の収穫だったな　ラナ　|　能将久负盛名的两位请来 收获不错啊 拉娜
EP05：ありがとうございます　|　感谢您的肯定
EP05：しかし　「世界詞」までは高望みだったかな　|　不过 「世界词」还是奢望了吗
EP05：さすがに尾ひれの付いたうわさだったんでしょうね　|　那应该只是夸张的传闻吧
EP05：全能の詞術なんて代物があれば　戦にも楽に勝てるでしょうが　|　真要有全能的词术 战争都能轻松取胜吧
EP05：たとえ実在したとて　|　如果真的存在
EP05：その者を制御する方策を考えなければならんかもな　|　就必须考虑对付它的方法
EP05：うわさは聞いているぞ　海たるヒグアレ　|　你的传闻我听过 大海的希古尔雷
EP05：辺境では無敗の剣闘士であったそうだな　|　你在边境是不败的剑斗士吧
EP05：はい　それなりに長く続けてきました　|　对 而且做了很长时间
EP05：人間の単位で言うと　13年か14年になるかと　|　以人类的单位来说 大概是十三十四年吧
EP05：奴隷剣闘か　|　是奴隶剑斗吗
EP05：辺境には人や獣の命を賭けに使う　野蛮な市もあった　|　在边境有野蛮的城市 把人类与野兽的性命当作赌注
EP05：無論　違法の所業だ　|　这自然是非法的行业
EP05：本物の魔王の時代には　王国の目が届かない地も多かったでしょうからね　|　在真正魔王的时代 王国管不到的地方挺多的吧
EP05：そういうことじゃない　|　这不是重点
EP05：14年間も奴隷商人の言いなりになってたんだろ　|　对奴隶商人惟命是从十四年
EP05：それで無敵っていうのはどうなんだ　|　这算什么无敌呢
EP05：確かに一理あるな　|　确实有道理
EP05：差し支えなければ聞かせてもらえるか　ヒグアレ　|　无妨的话可以讲给我们听听吗 希古尔雷
EP05：そうですね　|　说的也是
EP05：私は人族に名も知られぬ　西の果てに生まれました　|　我诞生在不为人族所知的极西之地
EP05：いたぞ　根獣だ　|　找到了 根兽
EP05：大収穫だな　|　赚大了
EP05：これで何をするのでしょうか　|　我该用这个做什么呢
EP05：何って？戦うに決まってんだろ　|　做什么？当然是战斗啦
EP05：戦う？　|　战斗？
EP05：抵抗もできねえ根獣を殺すだけじゃ　盛り上がんねえだろうが　|　杀一只没有还手之力的根兽 看着多无聊啊
EP05：分かりました　戦います　|　知道了 我会战斗
EP05：次の試合は　どなたが相手ですか　|　下一场战斗的对手是谁呢
EP05：上位闘士が３人だ　せいぜい上手に死ねや　|　是三名高级斗士 死得漂亮一点哦
EP05：死ぬ？　|　死？
EP05：死ぬとはどういう意味でしょう　|　死是什么意思呢
EP05：残念だがな　ヒグアレ　|　很遗憾 希古尔雷
EP05：この闘技場では　殺すか死ぬかなんだよ　|　在这斗技场里 要么杀要么死
EP05：殺すか　死ぬか…　|　要么杀 要么死…
EP05：殺すか　死ぬか…　|　要么杀 要么死…
EP05：お前は別の市に売ることにした　|　我把你卖到别的地方去了
EP05：私は　さらに強い者と戦わされるのでしょうか　|　我会与更强的人战斗吗
EP05：そうだな　お前はずっと殺される側だ　|　是啊 你会一直是被杀的那方
EP05：バケモノが人族に倒されるほうが映えるんだよ　|　怪物被人杀才是出好戏啊
EP05：私は死ぬのですか　|　我会死吗
EP05：まあ　そうなるだろうよ　|　应该会的吧
EP05：いいえ　死にたくはありません　|　不 我不想死
EP05：腰の回転だけでなく　|　不只是腰部的扭转
EP05：背骨を使って　刺突の速度を出している　|　还用上了脊柱 提高突刺的速度
EP05：私が再現するなら　体内の維管束を編んで…　|　如果要模仿的话 就得编织体内的维管束…
EP05：速度に追いついても　力では負ける　|　就算速度能跟上 力量也不及
EP05：私のつるの腕なら…　|　如果用我的藤蔓手臂…
EP05：指先の筋肉を見る　|　观察他们的指尖肌肉
EP05：銃弾の発射速度に斬撃が間に合うかどうか　|　斩击的速度能否跟上子弹
EP05：つるの射出反動で視界の外に消えれば…　|　如果能用藤蔓的弹射作用脱离他们视线…
EP05：次は誰と戦うのでしょう　|　接下来要跟谁战斗呢
EP05：お前はもう最強の闘士として名が知れている　|　你的名号已经是最强斗士了
EP05：観客の誰も　海たるヒグアレの敗北を望んでねえ　|　没有观众会想看大海的希古尔雷被打败
EP05：鍛錬を続けなければ　次は敗北するかもしれません　|　如果不继续锻炼 下一场也许就会输
EP05：無敵の奴隷のくせに　面白くねえヤツだな　|　都是无敌的奴隶了 真是无聊的家伙
EP05：私は生きていたいのか　|　我想活着吗
EP05：このまま生きていたとして　なんの意味がある　|　就算这样活着 又有什么意义呢
EP05：生に執着しているわけではない　|　我并不执着于活着
EP05：ただ…　|　只是…
EP05：死にたくはない　|　不想死
EP05：出ろ　お前も戦え　|　出来 你也来战斗
EP05：何があったんですか　|　发生什么事了
EP05：魔王だ　本物の魔王の軍勢だ　|　魔王 真正魔王的军队来了
EP05：クソ　もうこんなに　|　可恶 已经这样了
EP05：なるほど　|　原来如此
EP05：殺すか　死ぬか　|　要么杀 要么死
EP05：今まで何人も殺してきた　|　至今我已杀死很多人
EP05：今さら　この程度の敵に殺されるわけにはいかない　|　现在可不能被这种程度的敌人杀了
EP05：そうか　これが誇りというものか　|　这样啊 这就是自豪吗
EP05：発見された時　こいつは魔王軍を殺していたんだと　|　被人发现时 这家伙已经屠杀了魔王军
EP05：あの魔王軍のただ中に突っ込んでいこうと考えたヤツなんて　他に聞いたことがない　|　真不知道还有谁 会冲进那魔王军的中心
EP05：タレンちゃん　|　塔莲
