EP01 IN
EP01：行ってきます　|　我出门啦
EP03：周囲の木々が一斉にざわめいた　|　周围的树木一齐沙沙作响
EP03：蓮兄　|　莲哥
EP03：この本を書いたの　団地妻なの　|　这本书是团地妻写的吗
EP03：そうだよ　|　没错
EP03：おやすみ　乙　|　晚安 乙
EP03：次回　お風呂と掃除とサプライズ　|　下集 澡堂与打扫与惊喜
EP03：#小会议室
EP03：#如月
EP03：#真的怪异
EP03：#团地妻在内 追名逐利者 短粗眉
EP03：#注：剑山，一种插花用的带刺工具
EP03：#雌牛
EP03：#大脑皮质 边缘系统 视丘 脑干 小脑
EP03：#自己 他人
EP03：#高天原医院
EP03：#像犀牛角一样孑然独行 新人奖得奖作品 绪川堇子
EP03 OUT

EP04 IN
EP04：またか？化野君　|　你又来？化野君
EP04：菫子さん知ってますか　|　堇子小姐你知道吗
EP04：ヨーロッパでは　カッコウが鳴いた鳴き声の数で　|　在欧洲 人们会数布谷鸟叫了几声
EP04：自分が何年後に結婚するのかを占うそうですよ　|　来给自己占卜几年后结婚
EP04：なら私は　今まで３回聞いたから３年後か　|　那我听到过三声了 也就是说三年后啊
EP04：ご祝儀は弾んでくれていいぞ　|　可以给我多随点礼哦
EP04：人の婚期を勝手に後ろにずらすのはやめたまえよ　|　别给我婚期瞎往后拖
EP04：まったく　何が占うだ　|　拉倒吧 什么占卜啊
EP04：ほぼほぼ呪いじゃないか　|　不如说是诅咒
EP04：呪いで思い出しました　|　你提诅咒我就想起来了
EP04：畦目先生が学校に復帰するそうですね　|　畦目老师好像要回学校了
EP04：もう何事もなければいいが　|　可别再出什么岔子了
EP04：あの…　|　请问…
EP04：大丈夫ですか　お客様　|　这位客人您没事吧
EP04：いたたたた　|　疼疼疼
EP04：畦目先生　|　畦目老师
EP04：やっぱり　ここの店員さんだったのね　若作さん　|　装嫩同学你果然是这的店员呀
EP04：通りで見覚えがあると思ってたわ　|　我就说好像在哪见过你呢
EP04：何のご用ですか　|　请问您有什么事吗
EP04：この度は　ご迷惑おかけしてすみませんでした　|　之前给你们添了麻烦 万分抱歉
EP04：お二人が止めてくれなかったら私　|　要不是你俩及时出手阻止
EP04：取り返しのつかないことをしていたかもしれない　|　我可能就犯下无可挽回的大错了
EP04：本当にありがとう　|　真心感谢你们
EP04：何か憑き物が落ちたみたい　|　我现在就像驱除了上身鬼一样
EP04：これからは　お守りに頼らずにいじめをなくすわ　|　我今后不再仰仗护身符 要靠自己消除欺凌
EP04：それが私の新しい夢　|　这就是我新的梦想
EP04：えっと　緒川さんも　|　那个 绪川同学
EP04：小説　頑張ってね　|　写小说也要加油哦
EP04：じゃあ　また　|　再见啦
EP04：菫子さんは明日お休みだとか　|　堇子小姐你明天要休假吗
EP04：明日は執筆に専念するつもりだ　|　我明天想专心著书
EP04：何をしてるんだい　乙さん　|　乙小姐 你干啥呢
EP04：アニメの真似かい　|　模仿动画片吗
EP04：笑わないでよ　|　快别耍我了
EP04：ごめんなさい　蓮兄　|　对不起 莲哥
EP04：大丈夫　|　没事吧
EP04：大丈夫　|　我没事
EP04：「おじさん」に診てもらった方がいいんじゃない　|　要不让「大叔」给你看看吧
EP04：まあ　そうなんだけど　|　也是
EP04：よし　決めた　|　好 那就去吧
EP04：乙　お泊まりの準備をするんだ　|　乙 做好借宿的准备
EP04：お泊まり？　|　借宿？
EP04：君らは一体何者なんだ　|　你俩到底是什么人
EP04：そうか　世間は花見の季節ってわけなのか　|　原来已经到了赏花的季节
EP04：閃いたぞ　|　灵感来了
EP04：今すぐコンビニで酒を買ってきて　|　赶紧去便利店买点酒
EP04：ここから桜を見ながら一人花見　|　然后在这一个人赏樱花
EP04：これは整う　|　这样就完美了
EP04：整うぞ　|　就完美了
EP04：お前　まだいたのか　|　你怎么还在这
EP04：野良か　|　流浪猫吗
EP04：潤沢なるストック　|　我储备丰富了
EP04：整いました　|　万事俱备
EP04：明るいうちから　酒を飲みながら小説を書く　|　趁着天亮一边喝酒一边写小说
EP04：最高だな　|　太舒服了吧
EP04：あれ　|　咦
EP04：あれ　|　咦
EP04：こんの野郎…　|　你小子…
EP04：この　エロ河童めえ…　|　你个好色之徒…
EP04：サプライズ　|　惊喜
EP04：あの野郎　|　臭小子
EP04：それで　何でこんなことになってるのか　説明はしてもらえるのかい　|　所以为什么会这样 能跟我解释一下吗
EP04：蓮兄は　牛鬼の件で怪我したから　その治療とか　|　莲哥在牛鬼事件中受伤了 需要治疗
EP04：なるほど　|　原来如此
EP04：そいつは大変そうだ　|　那还真是糟糕
EP04：というか　君らは保険証とか持ってるのか　|　话说 你们俩有医保吗
EP04：悪かったよ　もう聞かないから　|　抱歉 我不问了
EP04：分かったよ　|　我明白了
EP04：好きなだけ泊まってっていいよ　|　你想待多久就待多久吧
EP04：我が家だと思ってくつろいでくれ　|　就当是自己家 别太拘束
EP04：団地妻…　|　团地妻…
EP04：ありがとう　|　多谢
EP04：でも　豚箱はいや　|　但是 我不想住猪圈
EP04：君の言葉は時に辛辣すぎるぞ　|　你讲话偶尔过于尖锐了
EP04：とはいえ…　|　不过…
EP04：相わかった　|　懂你意思了
EP04：ならば大掃除だ　|　那就来大扫除吧
EP04：手伝え　乙ちゃん　|　来帮忙吧 小乙
EP04：墓穴を掘りました　|　自掘坟墓了
EP04：ゴミ袋十個か　|　十袋垃圾
EP04：こんなもんでいいだろう　|　这样就差不多了
EP04：しかし　不思議と全く片付いた感じがしないな　|　不过 竟然感觉和没收拾一样
EP04：何なのこの部屋　|　这房间怎么回事
EP04：手伝ってくれてありがとう　乙ちゃん　|　谢谢你帮忙了 小乙
EP04：いえいえ　何のお役にも立てませんで　|　不客气 我也没帮上什么
EP04：荷物の中に下着の替えは入ってる　|　换洗的内衣你带了吗
EP04：タオルは　|　毛巾呢
EP04：ない　|　没带
EP04：じゃあ　タオルは貸してあげるよ　|　那就借你条毛巾用
EP04：いい汗かいたし　|　也流不少汗了
EP04：次はさっぱりしに行こうか　|　接下来去清爽一下吧
EP04：さっぱり？　|　清爽？
EP04：大きい　|　好大
EP04：あれはおっちゃん　|　是小乙
EP04：そしてもう一人はどこかで　|　旁边那人好像在哪见过
EP04：さあ　入ろうか　|　走 进去吧
EP04：いらっしゃいませ　|　欢迎光临
EP04：大人二人ね　|　成人两位
EP04：はい　|　好的
EP04：ここで脱いでいいの　|　就在这脱吗
EP04：好きなロッカー使いなよ　|　随便找个锁柜放就行
EP04：はい　タオル　|　给 毛巾
EP04：乙ちゃんは銭湯初めてなのかい　|　小乙是第一次来澡堂吗
EP04：そろそろ湯船に入ろう　|　去浴池里面泡会吧
EP04：乙ちゃんはさ　あの潰れた駅にお兄さんと一緒に住んでいるのかい　|　小乙 你和哥哥一起住在那个废弃车站里吗
EP04：うん　まあ　|　嗯 算是
EP04：二人だけで？　|　就你们俩？
EP04：うん　まあ　|　嗯 算是
EP04：普段はお風呂とかどうしてるんだい　|　那你们平时洗澡怎么办
EP04：まあ　適当に…　|　就 随便洗洗…
EP04：団地妻は…　|　团地妻你…
EP04：家にお風呂があるのに　今日はどうしてここに来たの　|　家里有浴室 为什么今天还要来这边呢
EP04：乙ちゃんがいるから広い方がいいかと思ってさ　|　小乙也在 地方宽敞点也好嘛
EP04：ほら　うちのユニットバスは狭いから　普段はギュウギュウなんだ　|　你看我家那一体化浴室那么窄 平时就很挤了
EP04：まあ　子供サイズになれるようになったから　今は足も伸ばせるけど　|　但现在我能变成小孩了 也能伸展开
EP04：でもそれ　団地妻が痩せれば済む話なんじゃ　|　不过 团地妻你瘦下来不也可以吗
EP04：おい　やめろ　|　喂 别说了
EP04：それ以上言うと様々な問題が発生するぞ　|　再说下去我也难说会发生什么哦
EP04：さっき君に訳もなく殴られたこの胸がまだ痛むのだが　|　被你莫名其妙打一拳 现在胸口还在痛
EP04：泊めてもらうお礼にこれ買いたいけど　お金ない　|　想送你这个来感谢你让我住下 但我没钱买
EP04：買ってあげるよ　乙ちゃん　|　我给你买吧 小乙
EP04：やっぱ風呂上がりはコーヒー牛乳だよな　|　果然洗完澡出来就得喝咖啡牛奶啊
EP04：はい　|　给你
EP04：フルーツ牛乳の方が美味しい　|　还是水果牛奶比较好喝
EP04：奢ってもらってるんだから少しは我慢したまえよ　|　你又没付钱就别挑三拣四了
EP04：さて　どっかで晩御飯食べようじゃないか　|　接下来 去哪吃晚饭呢
EP04：何がいい　|　想吃什么
EP04：ラーメン　|　拉面
EP04：乙ちゃんはラーメンが好きなんだ　|　小乙喜欢吃拉面啊
EP04：いいよ　ラーメン食べよう　|　好呀 就吃拉面
EP04：出てきた　|　出来了
EP04：ということは　おっちゃんのリュックにはおっちゃんの下着が　|　也就是说 小乙的背包里装着小乙的内衣
EP04：そしてあの　|　然后是那个
EP04：見覚えはあるけど誰だか思い出せないおねえさんのバッグには　|　有点印象但记不起是谁的大姐姐的袋子里
EP04：見覚えはあるけど誰だか思い出せないおねえさんのエッチな下着が　|　装着有点印象但记不起是谁的大姐姐的色色内衣
EP04：見たい　|　好想看
EP04：麻里　|　麻里
EP04：はい　|　在
EP04：私うちに戻るから　しばらく番台代わってちょうだい　|　我要先回去了 麻烦你暂时帮忙看下店
EP04：はい　|　好的
EP04：おい　ちょっと君　|　喂 你等一下
EP04：なんでこんなとこにいんの　|　为什么在这种地方
EP04：だめだよ　こんなところに来ちゃあ　|　来这种地方可不行哦
EP04：おっさん　|　大叔
EP04：ひっさしぶり　|　好久不见
EP04：化野君？　|　化野君？
EP04：捜したよ　|　找你好久
EP04：ちょ　おい　勘弁してくれよ　|　喂 饶了我吧
EP04：そんな大声出したら　「上」に気付かれちまう　|　别发出这么大的声音 会被「上面」发现的
EP04：痛い痛い　|　痛痛
EP04：ここは本来　人がいていい場所じゃないんだぜ　|　这里可不是人来的地方
EP04：悪いこた言わねえから　さっさと帰りな　化野君　|　说这些也是为你好 赶快回去吧 化野君
EP04：そんなこと言うなら　土産はいらないんだね　|　这么说的话 礼物就不要了吧
EP04：待っていたぞ　化野君　大歓迎だよ　|　等你好久了 化野君 非常欢迎
EP04：うまい　|　爽
EP04：不健康なおっさんだなあ　|　真是个不健康的大叔
EP04：次は　葉巻とウイスキーで頼むよ　君　|　下次麻烦给我带点雪茄和威士忌 老弟
EP04：こんなところに来ちゃだめじゃなかったのかよ　|　不是说我不该来这种地方吗
EP04：だめだよ　|　不能来哦
EP04：だめだけど　どうせ来るなら　よろしくね　|　虽说不能来 但终究要来的话 就麻烦你了
EP04：わかったよ　|　知道了
EP04：さて　|　那么
EP04：んじゃ　本題に入ろうぜ　|　回归正题吧
EP04：住民票に保険証　戸籍謄本　銀行口座　パスポート　一とおりあるよ　|　户口本 保险证 户籍副本 银行账户 护照 一应俱全
EP04：マイナカードもある　|　个人编号卡也有
EP04：安全性は折り紙つきだ　|　安全性我可以打包票
EP04：どれがいい　|　要哪个
EP04：ちょっと待てよ　|　等等
EP04：もしかして君　「目」を使ったの　|　难不成 你用了「眼睛」吗
EP04：おいおい　図星かよ　|　不是吧 被我猜中了
EP04：言っただろ　使うなって　|　我说过让你别用的吧
EP04：使えば使うほど　その目は君の体を壊してく　|　越是用它 越会对你的身体造成破坏
EP04：妹を送り返す前に　君が死んじまうぜ　|　把妹妹送回去之前 你会先死的
EP04：それでもやらないと　|　即便如此不用不行啊
EP04：もう時間がないんだ　|　已经没时间了
EP04：ちょっと目見してみ　そのために来たんでしょ　|　眼睛给我看看 你就是为此而来的吧
EP04：おっさん　|　大叔
EP04：どれ　|　我看看
EP04：エグ　|　好吓人
EP04：OK　|　OK
EP04：わかった　もういい　|　知道了 够了
EP04：頼りない　|　真靠不住
EP04：さっ　遠慮なく食べてくれ　|　那么 请放开吃吧
EP04：いただきます　|　我开动了
EP04：乙ちゃんはさあ　どこから来たんだい　|　小乙 你是从哪来的啊
EP04：団地妻はどこから来たの　|　团地妻你是从哪来的
EP04：私は別に　|　我又没啥特别的
EP04：どこからというか　|　要说从哪来的话
EP04：実家から出てきただけ　|　就只是从老家来的
EP04：私は　あっちから来た　|　我是从那边过来的
EP04：あっち？　|　那边？
EP04：どっち　|　是哪边
EP04：さあ　|　谁知道呢
EP04：お兄さんの他に家族はいるのかい　|　除了哥哥还有别的家人吗
EP04：団地妻は家族いるの　|　团地妻有家人吗
EP04：いるよ　地元に　|　有的 在老家
EP04：私も　地元にいる　|　我也是 在老家
EP04：化野君は「乙ちゃんを返す」とか言ってたけど　|　化野说过「送小乙回去」之类的话
EP04：それはどういう意味だい　|　那是什么意思
EP04：乙ちゃん？　|　小乙？
EP04：何か気に障ったのかな　|　什么话惹她生气了吗
EP04：団地妻　|　团地妻
EP04：なに　|　什么
EP04：替え玉　追加していい　|　可以加面吗
EP04：よく正気を保ってるねえ　君　|　亏你还能保持理智啊
EP04：一応　医者に連れてってやるけど　気休めだよ　|　我姑且会带你去看医生 但也只是心理安慰
EP04：ありがとう　おっさん　|　谢谢你 大叔
EP04：焦らなくても　|　即便不那么着急
EP04：ここならたぶん　怪異は見つかると思うけどね　|　在这的话 我觉得很快能找到怪异
EP04：なんせここは　新しい街だからね　|　毕竟 这里是新的街区
EP04：ある意味　一種の空白地帯みたいなもんだ　|　从某种意义上讲 类似空白地带
EP04：そして　新しい土地には　|　并且 新的土地上
EP04：新しい神が宿るのさ　|　寄宿着新的神灵
EP04：だから　もっと肩の力を抜いて　|　所以 更加放松一点
EP04：じっくりいきなよ　|　慢慢行动吧
EP04：そんな怖い顔してたら　妹に嫌われちまうぜ　|　绷着这么一张可怕的脸 可是会被妹妹讨厌的
EP04：さっ　行くか　|　那么 走吧
EP04：眠くなったらそのベッドで寝ていいよ　|　要是困了的话就在那张床上睡吧
EP04：この本　団地妻が書いたって　蓮兄が言ってたけど　|　这本书 哥哥说是团地妻你写的
EP04：私が15歳のときに書いた　ただ一冊の著書　|　这是我15岁时写的 我唯一的著作
EP04：15歳？　|　15岁？
EP04：若かったわけさ　|　那时候还很年轻
EP04：私と同じ年だ　|　和现在的我同岁
EP04：そうなんだ　|　这样啊
EP04：まっ　若さに嫉妬するような人間じゃないがね　|　不过我不会嫉妒别人年轻
EP04：寝つくの早っ　|　入睡好快
EP04：いったい化野君と君って…　|　化野君和你到底是…
EP04：蓮兄？　|　莲哥？
EP04：蓮兄　|　莲哥
EP04：おはよう　乙ちゃん　|　早上好 小乙
EP04：団地妻　|　团地妻
EP04：まだそれ食べてないのか　|　那个还没吃吗
EP04：こないだ乙ちゃんにもらった食事のお礼　だったんだけどな　|　那是之前小乙给我食物的回礼
EP04：私は学校があるから　もう少し何か食べたい　|　我还要去学校 还想再吃点别的
EP04：ウソウソ　|　开玩笑的
EP04：朝ごはん買ってきたよ　|　早饭买回来了
EP04：天なるや　月日のごとく　吾が思へる　|　愿君如天日 愿君如天月
EP04：君が日に異に　老ゆらく惜しも　|　君今日日老 叹息意难平
EP04：あの　お手洗い　|　那个 想上厕所
EP04：悪い悪い　|　不好意思
EP04：お待たせ　準備できたよ　|　久等了 我准备好了
EP04：今日は一緒に行こうじゃないか　|　今天一起走吧
EP04：どこへ　|　去哪
EP04：もちろん学校さ　|　当然是学校了
EP04：でも　|　可是
EP04：さあさあ　トイレ空いた　ほら　|　别磨蹭了 厕所空出来了
EP04：この前は怪異のことにかかりきりで　|　之前出于怪异的缘故
EP04：せっかく高校生になったというのに　青春を謳歌できなかったからね　|　难得变回高中生了却没能好好讴歌青春
EP04：小説を書かなきゃいけないんでしょ　|　你不是还有小说要写吗
EP04：心配はいらないさ　|　不必担心
EP04：青春を謳歌しつつ　取材も兼ねているからね　|　讴歌青春的同时 也兼顾收集素材
EP04：次回　下着とお菓子と紅い服　|　下集 内衣与点心与红衣
EP04：#澡堂与打扫与惊喜
EP04：#这个街区有很多只画了「!」的标识 他如此说到。这是某种不寻常的迹象。常人无法看到这些路标,可这对兄妹…
EP04：#芥末
EP04：#现在方便吗，堇子小姐。
EP04：#怎么了？借钱我可没有
EP04：#你自己都喝着廉价发泡酒 还好意思说。
EP04：#咦？你在监视我吗。
EP04：#这是直觉。
EP04：#话说回来有件事想拜托你。
EP04：#真是突然啊。出什么事了？
EP04：#我有点事必须得出门。
EP04：#想让你帮忙照顾乙两三天。
EP04：#请去门口看看。
EP04：#拜托你啦!!
EP04：#澡堂
EP04：#自助洗衣房
EP04：#注：个人编号卡，类似身份证的证件
EP04：#丝兰
EP04：#注：改自「一兰拉面」
EP04：#像犀牛角一样孑然独行 新人奖得奖作品 绪川堇子
EP04：#内衣与点心与红衣
EP04 OUT

EP05 IN
EP05：あたし　そろそろ帰るよ　|　我差不多该回去了
EP05：もうちょいダベろうぜ　|　再跟我聊一会呗
EP05：いよいよ明日は夢の美容師デビューだし　|　我明天终于能当朝思暮想的美发师了
EP05：準備すんのよ　準備　|　可得好好准备一下
EP05：夢をかなえて立派だにゃ　|　能实现梦想 了不起喵
EP05：何それ　キモい　|　说什么呢 好恶心
EP05：にゃあ　|　喵
EP05：あんたが応援してくれたおかげだよ　|　多亏了你给我加油
EP05：ありがとね　シズク　|　多谢啦 雫
EP05：じゃあこれ　就職祝　|　这个送你吧 祝贺你就职
EP05：これから一雨くるんだってさ　|　说是过一会要下雨来着
EP05：ホントだ　降ってきた　|　还真是 下起雨了
EP05：さっさと帰んな　|　赶紧回去吧
EP05：遅刻すんなよ　美容師　|　可别迟到了 美发师
EP05：ねえ　今度あたしに髪切らせてね　|　喂 下次让我给你剪剪头发吧
EP05：約束だぜ　|　一言为定
EP05：まったな　|　再见啦
EP05：またな　トモコ　|　再见了 智子
EP05：土手沿いの一直線の通学路　|　上学路沿着河堤不断延伸
EP05：大勢のお嬢様が練り歩く　|　大小姐们悠哉地结伴而行
EP05：なんて爽やかな通学風景だ　|　何等爽朗的上学风景呀
EP05：青春の津波って感じがしないかい　乙ちゃん　|　感受到青春之浪的拍打了吗 小乙
EP05：あの…　|　那个…
EP05：この状況　そのせりふ　ドラマの再放送ですか　|　这情景 这台词 难道是电视剧重播吗
EP05：おっちゃん　|　小乙
EP05：ごきげんよう　|　贵安
EP05：ごきげんよう　のどか　麻里　|　贵安 和 麻里
EP05：ごきげんよう　若作先輩　|　贵安 装嫩前辈
EP05：若作という名もだんだん板についてきたような気がするな　|　感觉装嫩这个名字我越来越习惯了
EP05：じゃあ　お先に　|　我们先走一步了
EP05：お先に　|　先走一步
EP05：なるほど　なんということのない日常の繰り返し　|　我懂了 这周而复始的平静日常
EP05：青春とはすなわち　ドラマの再放送なのかもしれないな　|　青春 说不定就是重播的电视剧
EP05：放課後はまた　青春ドラマをしようではないか　乙ちゃん　|　放学之后 也跟我一起演绎青春的剧本吧 小乙
EP05：勝手知ったる　このトイレ　|　进了这厕所跟回家一样
EP05：今日は準備万端　怠りないのであるぞ　|　今天我准备万全 可不能懈怠
EP05：昼休みか　|　到午休啦
EP05：うま　|　真香
EP05：のどかちゃん　|　小和
EP05：団地妻　|　团地妻
EP05：乙ちゃん　|　小乙
EP05：若作先輩　|　装嫩前辈
EP05：お待ちしてました　|　等你好久了
EP05：お待ちしてましたっす　|　等你好久啦
EP05：みんな　どうしたの　|　各位这是怎么了
EP05：おっちゃんの後つけてきた　|　我们跟了小乙一路
EP05：さっ　また若作先輩とお話しするチャンスですね　|　这下又有机会跟装嫩前辈说话了
EP05：屋上に行くっす　|　上房顶去吧
EP05：なんで　|　为啥
EP05：これ　|　这个好
EP05：おっちゃん　|　小乙
EP05：今日こそはこっちの膝に来るっす　|　今天该来我腿上坐一坐了吧
EP05：でも　|　可是
EP05：そのタピオカ　私が買ってきたっす　|　那杯珍珠奶茶可是我买的哦
EP05：また中等部の集まりに連れてきちゃって　すみません　先輩　|　又被我们初中部的人给叫过来 不好意思啦 前辈
EP05：いやいやいや　望むところだよ　|　哪里哪里 我自己想来的
EP05：おっちゃんの友達は　もはや私たちの友達っすよ　|　小乙的朋友 那也是我们的朋友
EP05：おっちゃん　これどうぞ　|　小乙 这个给你
EP05：ありがとう　|　谢谢你
EP05：そうだ　畦目先生　今日から学校に戻ってきてよかったですよね　|　对了 畦目老师今天回学校 真是太好了
EP05：そうだね　|　是啊
EP05：そういえば…　|　说起来…
EP05：畦目先生　黒くてエッチな下着でした　|　畦目老师的黑色内衣很色
EP05：アンタ　いつそんなの見たの　|　你什么时候看见的
EP05：あの転んだとき　|　她摔倒那次
EP05：あなたたち　いじめはダメだって言ってるじゃ…　|　你们几个 都说了不能霸凌…
EP05：大丈夫ですか　|　你没事吧
EP05：そう　あの一瞬のチャンスを　私のこの目はしっかりと捉えていたの　|　没错 那转瞬之机 被我的眼睛敏锐地捕捉到了
EP05：さすがは麻里　|　不愧是麻里
EP05：温厚なふりして　私らの中ではいちばんのムッツリだもんね　|　装作老实 实际上是我们中最闷骚好色的
EP05：麻里ちゃんってそうなの　|　小麻里是这种人吗
EP05：そうそう　|　就是就是
EP05：だって麻里は銭湯の娘だもんね　|　毕竟麻里家是开澡堂的嘛
EP05：そんなの関係ないよ　|　跟那没关系啦
EP05：おっちゃんも誤解しないでね　|　小乙也别误会了
EP05：おっちゃん　全然興味持ってねえっす　|　小乙完全不感兴趣哦
EP05：それにしても　畦目先生が黒のエッチな下着　|　话说回来 畦目老师居然穿色情黑内衣
EP05：意外だわ　|　真想不到
EP05：じゃ　どんなんならいいんだ　|　那她该穿什么样的好
EP05：もっとかわいい系かと思ってたわ　|　更偏可爱系的吧
EP05：こんなふうな　|　像这种的
EP05：いやいや　清楚系こそむしろエロいじゃないっすか　|　不对不对 清纯的人才该穿色情的吧
EP05：わかってないな　|　你真是不懂
EP05：ねえ　|　我说
EP05：黒いパンツなら　私よくはいてるよ　|　黑色内裤的话 我经常穿哦
EP05：ほら　|　看吧
EP05：マジ？　|　当真？
EP05：えっぐ　|　好强
EP05：なるほど　清楚系こそエロ下着　|　原来如此 清纯的人才穿色情内衣
EP05：ということは…おっちゃん　|　这么说来…小乙
EP05：おっちゃんは　どんな下着なの　|　小乙穿的哪种内衣
EP05：下着？　|　内衣？
EP05：布　|　布
EP05：布？　|　布？
EP05：ごもっとも　|　言之有理
EP05：今日は楽しかったな　|　今天可真开心
EP05：ふ菓子がおっきかった　|　麸果子好大
EP05：いや　そこじゃなくて　|　我不是在说那个
EP05：今日もお風呂屋さん　|　今天也去澡堂吗
EP05：そうさ　|　是啊
EP05：あれ　たしか麻里ちゃんが銭湯の娘とかなんとか　|　对了 好像说小麻里家是开澡堂的
EP05：あら　化野さん　|　真巧 化野同学
EP05：それに緒川さん？　|　还有绪川小姐？
EP05：畦目先生　|　畦目老师
EP05：こんなところで会うなんて　お仲間ね　|　居然在这碰到 咱们想一块了呢
EP05：いらっしゃいませ　|　欢迎光临
EP05：おっちゃん　畦目先生　|　小乙 畦目老师
EP05：ごきげんよう　|　贵安
EP05：大人３人で　|　成人三位
EP05：はい　|　好的
EP05：見覚えはあるけど　誰だか思い出せないおねえさん　|　有点印象但记不起是谁的大姐姐
EP05：どうかしたかい　|　怎么了吗
EP05：あの　|　请问
EP05：どこかでお会いしたことありますよね　|　我们是不是在哪见过
EP05：どうだったかなあ　|　是吗
EP05：その人は　駅前の本屋の店員さんだから　|　她是车站前书店的店员
EP05：見たことあるんじゃない　|　你应该见过吧
EP05：みどり書店の　|　青绿书店
EP05：お世話になってます　|　承蒙您关照
EP05：毎度どうも　|　多谢您的惠顾
EP05：ごゆっくりどうぞ　|　请您慢慢享受
EP05：ありがとうございます　畦目先生　|　谢谢你了 畦目老师
EP05：私これから…　|　接下来我能看见…
EP05：あの３人の…　|　她们三人的…
EP05：脱衣シーンが見られる　|　脱衣场景
EP05：エッチです　|　太色情了
EP05：でもだめ　いけないわ　|　但是不行 我不能看
EP05：私は銭湯の娘　|　我生于澡堂之家
EP05：不埒なことを考えてはいけない　|　不能心怀鬼胎
EP05：先生　銭湯が大好きなの　|　老师我 最喜欢澡堂了
EP05：ここではよろいを脱いで　みんな平等にくつろげるから　|　因为在这能卸下武装 大家一起放松休息
EP05：早く脱がないかなあ　|　能脱快点吗
EP05：なんだか意外ですね　|　还真是意外
EP05：先生のようなお嬢様然とした人が　銭湯好きなんて　|　老师这样大小姐气质的人 居然会喜欢澡堂
EP05：私がお嬢様？　|　我像大小姐？
EP05：誤解よ　|　你搞错了
EP05：話し込むムードになっちゃったよ　|　完了 她们聊起来了
EP05：むしろ　真逆って感じかしら　|　不如说正好相反呢
EP05：そうだったんですね　|　是这样呢
EP05：完全に見逃した　|　什么都没看到
EP05：おっちゃん　脱ぐの速すぎるよ　|　小乙脱得也太快了
EP05：目を離してるうちに　エッチな感じの書店員さんの脱衣が進んでる　|　一眼没盯着 色情店员就脱了一件
EP05：緒川さん　すごいスタイルがいいのね　|　绪川小姐 身材真好啊
EP05：とんでもない　こんなの不摂生の賜物ですよ　|　没有的事 都是生活不加节制的后果
EP05：でも　私の本命は畦目先生　|　不过 我最感兴趣的还是畦目老师
EP05：今度こそ　先生の下着を確認するのです　|　这次一定 要看清老师的内衣
EP05：私はもっと背は高くなりたいですな　|　我还想再长高一点呢
EP05：なんだか　お尻ばっかり大きくなって　|　总感觉只有屁股在长肉
EP05：いいじゃないですか　セクシーで　|　没什么不好啦 很性感
EP05：緒川さんに言われてもなあ　|　被你夸也没有实感啦
EP05：脱がんのかい　|　到底脱不脱
EP05：さて　|　好了
EP05：ついに　|　总算
EP05：麻里　交代の時間よ　|　麻里 换班时间到了
EP05：引っ込んでて　お母さん　|　别打扰我 妈妈
EP05：私は今　番台に命を懸けてるの　|　我现在 把命都押在前台了
EP05：命を？　|　把命押了？
EP05：ようやく　先生のアレが見えるんだから　|　总算 能看见老师的那个了
EP05：終わってる　|　已经结束了
EP05：見逃したあ　|　什么都没看到
EP05：ワレワレハウチュージンダ　|　我们是外星人
EP05：ダンチヅマヲラチスル　|　拐走团地妻
EP05：風呂上がりのコーヒー牛乳は　麻薬みたいなもんですねえ　|　洗完澡后的咖啡牛奶 就和毒品一样
EP05：例えが最悪だけど　おおむね同意だわ　|　虽然这个比喻很糟糕 但我基本同意
EP05：ところで緒川さん　|　话说回来 绪川小姐
EP05：今日も乙さんを預かるんでしょ　|　今天也是你照顾乙同学吧
EP05：ええ　彼女の兄に頼まれて　|　嗯 她哥哥拜托我的
EP05：よかったら　私のうちに泊まらない　|　可以的话 来我家过一晚怎么样
EP05：晩ごはんもごちそうするわ　|　晚饭我也会做给你们吃
EP05：そんな　ご迷惑おかけするわけには　|　这也太麻烦你了
EP05：教師として生徒を保護するのは当然だから　|　作为老师 保护学生是理所应当的
EP05：気にしないで　|　别在意
EP05：乙ちゃん　どうする　|　小乙 你怎么说
EP05：でも　|　但是
EP05：お菓子もいっぱいあるわよ　|　还有很多小点心哦
EP05：チョロすぎる　|　也太好骗了
EP05：今どきお菓子で釣られるなんて　|　这个时代居然还会被点心诱惑
EP05：化野さん　たくさん食べてね　|　化野同学 多吃点
EP05：昆布茶ですね　|　是海带茶啊
EP05：そうなの　|　是的
EP05：それにしても　|　话说回来
EP05：シックな部屋だ　渋いです　|　这房间还真有品味呢 很素雅
EP05：そう言ってもらえると　うれしいわ　|　很高兴能被这么评价
EP05：文豪の住まいみたいな趣です　|　感觉就像是文豪住的地方
EP05：いい小説が書けそうだ　|　在这应该能写出好的小说
EP05：さすが作家ね　|　不愧是作家
EP05：お菓子のセンスのほうは　おばあちゃんちの趣があります　|　点心的品味倒是像老婆婆一样
EP05：そう　|　是吗
EP05：でも　乙さんには大好評よ　|　但是 乙同学很喜欢呢
EP05：ほら　ピーナツを水あめで固めたやつを　あんなに一心不乱に　|　你看 那个用糖浆粘住花生的东西 她吃得多专注
EP05：名前すら不確かな菓子　買ってんすね　|　连名字都不确定的点心你也买啊
EP05：じゃあ　晩ごはんの用意するわね　|　那么 我要准备晚饭了
