EP1 IN
EP1：よっ　鬼殺し　|　哟 杀鬼人
EP5：レストレイド警部と　君と　|　雷斯垂德探长 你
EP5：フォッグ氏合わせて108人か　|　再加上福克先生 共108人吗
EP5：煩悩の数だ　縁起悪い　|　这是烦恼之数啊 不太吉利
EP5：ちょいと増やすか減らすかしませんか　|　不能加一点或减一点吗
EP5：明日にはフランスからガニマール警部が見えるそうです　|　法国的葛尼玛探长明天会赶到这里
EP5：それとあと二人　|　除此之外还有两人
EP5：ロイズの諮問警備部がエージェントを派遣してくださるそうです　|　劳合社的咨询警备部也将派特工过来
EP5：ロイズ…　|　劳合社…
EP5：そいつはちょっと面倒だな　|　那可真是有点棘手啊
EP5：ただの保険組合だろ　|　不过是保险交易所而已
EP5：200年もの歴史を持つ　巨大な保険機構だぞ　|　那可是有200年历史的庞大保险机构
EP5：顧客の近くで怪物が現れたり　クーデターが勃発した時　|　顾客身边出现怪物之时 或是发生政变之时
EP5：絶対的な力を持ってそれを守るプロフェッショナルだ　|　都能以绝对的力量保护委托人的专家
EP5：どういう連中なんだ　|　那是群什么样的家伙
EP5：メンバーは７人　|　一共有七位成员
EP5：実力順に番号が振られている　|　按照实力分配序号
EP5：年齢も国籍もバラバラ　|　年龄和国籍各不相同
EP5：俺は六番手に追われたことがあるが　|　我曾经被六号追捕
EP5：そいつは東洋人だった　|　那家伙是东洋人
EP5：じゃ　共通点はなしか　|　没有共同点吗
EP5：三つある　|　有三个共同点
EP5：全員白づくめだ　|　所有人都穿一身白
EP5：二つ　全員ふざけた暗号名がついている　|　第二点 所有人都有荒诞的代号
EP5：あとは　|　然后呢
EP5：全員死ぬほど強い　|　所有人都强到不行
EP5：ロイズ諮問警備部第五エージェント　|　劳合社咨询警备部第五特工
EP5：レイノルド・スティングハート　|　雷诺·史汀哈德
EP5：フィリアス・フォッグだ　|　我是斐利亚·福克
EP5：握手は結構　手袋が汚れるので　|　握手就不必了 会弄脏手套
EP5：すみませんすみません　|　抱歉抱歉
EP5：第七エージェント　ファティマ・ダブルダーツです　|　我是第七特工 法蒂玛·达布尔达兹
EP5：先輩が無礼ですみません　|　前辈有失礼数 实在抱歉
EP5：私が二人分握手します　|　我来替前辈握手
EP5：チンドン屋かなんかですか　|　他们是来表演的吗
EP5：あんなのとややこしくなる予定はないですが　|　我可不打算和那种家伙搅合在一起
EP5：予定しておけ　|　你还是早做打算吧
EP5：そういう類の相手だ　|　他们就是那种家伙
EP5：不死と鬼混じり　|　不死和混鬼
EP5：人間社会に溶け込んだ怪物　|　混进人类社会的怪物
EP5：実に汚らわしい　|　真是肮脏
EP5：では　皆さんをダイヤの元へお連れしましょう　|　接下来 我带各位去看钻石
EP5：ただの保険屋じゃなさそうですね　|　看来那并非单纯的保险机构
EP5：保険市場で最大の邪魔者は　|　保险市场最大的碍事者
EP5：私たちのような理屈が通じない生き物　|　就是像我们这样不讲道理的生物
EP5：やつらは狂信的な怪物廃絶主義者だよ　|　他们都是狂热的怪物灭绝主义者
EP5：地下か　|　地下吗
EP5：急用を思い出したので帰る　|　突然想起还有急事 先告辞了
EP5：だめですよ　行っとかないと　|　不行 必须要去
EP5：この屋敷はもともと　テンプル教会が所有していた建物　|　这座宅邸原本是圣殿教堂所有的建筑
EP5：内部は相当に改装しましたがね　|　虽然内部经过相当大的修整
EP5：地下はほとんど手つかずです　|　但地下几乎保留着原貌
EP5：今はダイヤの保管室にしていますが　|　现在作为钻石的保管室
EP5：もともと何の用途だったのか　|　也不知道最初是作何用途
EP5：広いな　|　好宽阔
EP5：ここは控えの間と呼んでいます　|　这里被称作等候室
EP5：そして　あれがダイヤを保管している余罪の間　|　而那里就是保管钻石的余罪室
EP5：これは　|　这就是
EP5：余罪の間か　|　余罪室吗
EP5：ここでかつて何が行われていたかなど　想像したくないな　|　真不敢想象这里曾经是用来做什么的
EP5：それがダイヤですか　|　那就是钻石吗
EP5：最後から二番目の夜です　|　这就是倒数第二夜
EP5：すごい　さすがルパンが狙うだけはあるな　|　厉害 不愧是鲁邦盯上的东西
EP5：でも天然のダイヤではないのです　|　但这并非天然的钻石
EP5：人造ダイヤならそんなに価値がないのでは？　|　人造钻石没那么高的价值吧
EP5：でも金庫は純銀製ですね　|　但保险箱是纯银制成的
EP5：吸血鬼や人狼が忌み嫌う金属だ　|　吸血鬼和狼人厌恶的金属
EP5：フォッグさん　ダイヤの曰くというのをお聞かせ願えますか　|　福克先生 可以讲一讲这钻石的故事吗
EP5：20年前に手に入れたものです　|　这是我二十年前得到的
EP5：ドイツの友人が14世紀の遺跡から発掘し　|　我的德国友人在十四世纪的遗迹中发掘出来
EP5：金庫ごと譲ってくれました　|　连同保险箱一并赠与了我
EP5：14世紀　そんなバカな　|　十四世纪 怎么可能
EP5：私は中が気になり　|　我很好奇里面的东西
EP5：この複雑な機械の解錠方法を探り続けました　|　便不断探索打开这复杂机械的办法
EP5：もう一心不乱に　|　乃至心无旁骛
EP5：そして10年後　|　十年后
EP5：出てきたのがこの石でした　|　我才终于得见这钻石
EP5：専門家によると非常に特殊な組成で　|　专家说它的组成十分特殊
EP5：炭素のほかユーロピウムなども微量に含まれているそうです　|　除了碳之外还有微量的铕
EP5：加えてこの文字　|　再加上这文字
EP5：津軽　|　津轻
EP5：夜明けは血のような赤　|　黎明红似血
EP5：日没は死体のような紫　|　日落紫如尸
EP5：夜の月に照らされる醜い私をどうか見ないで　|　勿看月下鄙人丑
EP5：私の中には狼がいるから　|　只因狼居身
EP5：パスパルトゥーとともにこのダイヤの素性を調べたところ　|　我和路路通一起调查了这颗钻石的来历
EP5：たどり着いたのが最後から二番目の夜です　|　结果就是 倒数第二夜
EP5：かつて南ドイツで栄えたドワーフ族が　|　据说以前在德国南部兴旺的矮人族
EP5：ある人狼の一族に滅ぼされたと言われています　|　后来被一族狼人给灭掉了
EP5：追い詰められたドワーフたちは復讐を誓い　|　走投无路的矮人们发誓要复仇
EP5：敵の隠れ里を後世に伝えるため　|　为了向后人传达敌人的藏身处
EP5：独自の精錬技術で二つの作品を生み出した　|　他们通过独有的精炼技术制造了两件物品
EP5：決して砕けない宝石と　|　坚固无比的宝石
EP5：敵が苦手とする純銀製の金庫　|　和让狼人为难的纯银保险柜
EP5：なるほど　|　原来如此
EP5：ルパンが欲しがる理由がよくわかりました　|　这下就知道鲁邦为什么想要它了
EP5：これは唯一無二な品だ　|　这是独一无二的珍宝
EP5：全力で守らせていただきます　|　我会尽全力保护它
EP5：ヴィクター　|　维克多
EP5：新聞があったら見せてくれないか　|　报纸来了的话能给我看看吗
EP5：ルパンの話題で持ちきりだ　|　净是鲁邦的消息
EP5：最後から二番目の夜か　|　倒数第二夜吗
EP5：まったく　あの怪盗小僧とはよく狙いがかぶる　|　真是的 没想到这小贼跟我们目标一样
EP5：いかがなさいます　|　如何是好
EP5：旧友に挨拶しなくてはな　|　得去找老朋友聊聊
EP5：どうなさいましたか　|　怎么了
EP5：別の旧友までもがはるか東洋から来ているよ　|　有其他老朋友从遥远的东洋过来了
EP5：鉄製のこの扉は四人がかりでないと開きません　|　这扇铁门得要四个人才能打开
EP5：錠前は特注したディテクター・ロックが三つ　|　门上装了三个特制的探测锁
EP5：それぞれキーも違う　|　每个的钥匙都不一样
EP5：そこの伝声管だけが部屋の外と連絡が取れます　|　只能通过那个传声筒和外界联络
EP5：なるほど　ほぼ完璧でしょう　|　那这样几乎万无一失了
EP5：ほぼですか　|　几乎吗
EP5：僕がルパンならあらゆる方法と進入経路を探る　|　我要是鲁邦肯定会想尽办法寻找通道
EP5：例えば　トンネルを掘ったなら　|　比如挖个地道
EP5：この深さまで気づかれずに掘るのは不可能です　|　挖到这么深不可能不被察觉
EP5：あれは　|　那是什么
EP5：通気口です　|　通风口
EP5：あれがないと我々は窒息してしまいます　|　要是没那个我们都会窒息
EP5：それは進入経路になるじゃないか　|　那不就给人钻空子了吗
EP5：不可能です　通気口は子供がやっと通れるかどうか　|　不可能 通风口连小孩都不一定进得去
EP5：侵入者対策で曲がりくねっており　鉄格子でふさがれています　|　里面还专门做成弯曲的 并用铁格栅挡住了
EP5：ではルパンは変装の名人だという観点に立ってみよう　|　可鲁邦还是个乔装高手
EP5：この中にもしルパンが混じっていたら　|　如果他混入了我们之中
EP5：まあ　今日はこのくらいにしておこう　|　不过今天就先到这儿吧
EP5：行こうか　ワトソン君　|　我们走吧 华生
EP5：帰りに杖屋に寄らないと　|　回去路上去一趟手杖店
EP5：うん　そうだな　|　嗯 好
EP5：本物でしょうか　|　这是真品吗
EP5：間違いない　|　没错
EP5：予定通り実行する　|　按计划行事
EP5：抜かるなよ　|　不要大意
EP5：では明日の夕方までに　|　那我们明天傍晚再见
EP5：なんだい　|　怎么了
EP5：些細なことだ　気にするな　|　没什么 一点小事
EP5：師匠にゃなんかルパン対策がありますか　|　师父有什么好办法对付鲁邦吗
EP5：一つ考えたが　バカバカしすぎてうまくいくかどうか　|　我想到一个办法 但太笨了不知道是否可行
EP5：どんな策です　|　什么办法呢
EP5：ヒントは　|　提示
EP5：石川五右衛門　|　石川五右卫门
EP5：#伦敦的不死者
EP5：#注：佛教中认为人生有一百零八种烦恼
EP5：#注：日本古代的一位盗贼
EP5 OUT

EP6 IN
EP6：さあ　着いた　|　我们到了
EP6：鍵が開いておる　|　没上锁
EP6：ない　風呂敷がみんななくなっとる　|　没了 行李全都不见了
EP6：なんてこった　泥棒に入られた　|　竟然让贼进来了
EP6：つまり　防犯は大事というお話でござい…　|　所以说 防盗十分重要…
EP6：普通に言え　|　好好说话
EP6：ビネガーはいらんよ　|　不要放醋
EP6：塩だけでいいから　|　只放盐就行了
EP6：あたくしも食べよっと　|　我也吃点吧
EP6：まだ予告までは時間がありますけど　どうなさいますか　|　离预告时间还有一会儿 我们怎么办
EP6：せっかくロンドンまで来たし　|　好不容易来一次伦敦
EP6：タッソー夫人の蝋人形館にでも行ってみたい　|　我想去杜莎夫人蜡像馆看一看
EP6：では　見当をつけてまいります　|　那我先去准备一下
EP6：師匠も食べます？　|　师父也来点吗
EP6：やあ　ワトソン君　|　你来了 华生
EP6：取り込み中だったかな　|　你在忙吗
EP6：いや　もう解決した　|　没有 已经解决了
EP6：ところで　今夜の作戦は立てなくていいのかね　|　话说 不制定一下今晚的作战方案吗
EP6：攻めるのは向こうだ　|　要进攻的是对方
EP6：警備も想定より多くなった　|　警备也比预想的要多
EP6：君は警備に懐疑的ではなかったのか　|　你不是对警备持怀疑态度吗
EP6：昨日はね　|　昨天是的
EP6：今日は違う　|　今天就不这么想了
EP6：ワトソン君　僕は楽しみなんだ　|　华生 我十分期待
EP6：フランス代表のアルセーヌ・ルパンと真っ向に勝負するチェスの試合を控えているかのようだ　|　像是要与法国代表亚森·鲁邦正面交锋一盘象棋
EP6：マイクロフトさん　|　迈克罗夫特先生
EP6：やあ　兄さん　|　你好 哥哥
EP6：ちょっと伝えておきたいことがあって来たのだが　|　我来是有些事要告知
EP6：君は誰だね　|　你是谁
EP6：弟の顔も忘れたのかい　|　连弟弟的脸都忘了吗
EP6：よく似せてはいるが　君はシャーロックではない　|　确实挺像的 但你并不是夏洛克
EP6：何を根拠に？　|　为什么这么说
EP6：爪だよ　|　指甲
EP6：シャーロックとは三日前に顔を合わせたが　その時の爪は切ってあった　|　我三天前见过夏洛克 那时指甲是剪了的
EP6：なるほど　|　原来如此
EP6：でもそれを証明するものはない　|　但你无法证明这一点
EP6：僕なら証明になるか　|　那就由我来证明吧
EP6：初めまして　シャーロック・ホームズ　|　初次见面 夏洛克·福尔摩斯
EP6：お会いできて光栄だ　|　很荣幸见到你
EP6：君はアルセーヌ・ルパン君だね　|　你就是亚森·鲁邦吧
EP6：これは…　|　这是…
EP6：ロンドンまで来て　蝋人形館なんてどこに行かなくてもいいんじゃないですかね　|　都到伦敦了 没必要特意去一趟蜡像馆吧
EP6：恐怖の部屋という特別展示があって　|　听说有名为恐怖之屋的特别展示
EP6：残酷な人形がたくさんあるそうです　|　里面有许多可怕的人偶
EP6：人形みたいな人なら見慣れてるってもんですが　|　人偶一样的人我倒是看习惯了
EP6：いや　なんでもありません　|　我什么都没说
EP6：すぐそこがベーカー街なんだ　|　那边就是贝克街
EP6：師匠　ホームズさんのところに寄って行きます？　|　师父 要不要去福尔摩斯那里看看？
EP6：師匠ってば　拗ねてるんですか　|　师父 你在闹别扭吗
EP6：北北西　異常なし　|　西北偏北 没有异常
EP6：レースの柄が違う　|　花边的样式不对
EP6：ハローハロー　|　你好 你好
EP6：これが本当の「鳥違い」　|　这就是真正的「鸟笼失」
EP6：君は確かに強敵だが　|　你确实很强
EP6：厳重な警備下の奈落の密室にて　金庫は守られている　|　可保险柜在警备森严的地下密室之中
EP6：それで探偵側の勝率は？　|　那么侦探方的胜率是？
EP6：限りなく百に近い　|　无限接近于百分之百
EP6：いい品だ　|　这个不错
EP6：君の国の政府からもらった　|　是你们国家的政府送我的
EP6：シャーロック　鍵という道具が持つ最大の特徴はなんだ　|　夏洛克 锁最大的特征是什么
EP6：本質的な機能とは？　|　其本质的功能是？
EP6：何かを閉ざしうること？　|　把东西给锁住？
EP6：開けられることさ　|　是被打开
EP6：鍵が…　|　锁被…
EP6：余罪の間のディテクター・ロックなんて所詮は三つの鍵穴さ　|　余罪室的探测锁也不过是三个锁孔罢了
EP6：あの金庫の鍵もかい　|　那个保险柜的也是吗
EP6：あれは人外の技術だから　そう簡単にはいかないが　|　那是人类之外的技术 不会这么简单
EP6：フォグという人間が開けられたのなら　俺にも開けられる　|　但像福克这样的人能打开的话 我也能
EP6：ではホームズさん　並びにワトソン先生　|　那么福尔摩斯先生与华生医生
EP6：また今夜お会いしましょう　|　今晚我们再会吧
EP6：噂にたがわぬ派手好きだ　|　和传闻一样讲究排场
EP6：よく似ているよ　お前の若い頃に　|　跟你年轻时挺像的
EP6：ホームズとは話せたか　|　和福尔摩斯聊过了吗
EP6：話すどころかお茶を飲んだ　|　何止聊过 还一起喝了茶
EP6：首尾は上々　種は二つとも撒いた　|　进展很顺利 两颗种子也已播下
EP6：列車の時間は？　|　列车何时出发
EP6：５時25分　ウォータールー駅　|　5点25分 滑铁卢站
EP6：まだ余裕があるな　|　还有些时间
EP6：どこかそこら辺で　|　在附近找个地方
EP6：危ない　|　小心
EP6：お怪我はありませんか　|　您有受伤吗
EP6：あの　この辺りで鳥籠を見かけませんでしたか　|　请问 有在附近看到过鸟笼吗
EP6：鳥籠　見たか　|　鸟笼 你有看到吗
EP6：いや　|　没有
EP6：ありがとうございます　|　非常感谢
EP6：お待ちください　ご婦人　|　请等一下 小姐
EP6：どうしよう　|　怎么办啊
EP6：ホームズさんも輪堂さんもインタビューできなかったら　|　要是福尔摩斯先生和轮堂小姐都采访不到
EP6：真打さん　|　真打先生
EP6：って　その顔どうしたんですか　|　你的脸怎么了
EP6：どうも　アニーさん　|　你好 安妮
EP6：ロンドンに来ていたんですね　|　你来伦敦了啊
EP6：うちの師匠を見ませんでした？　|　有看到我师父吗
EP6：運転していたのは顔の右側を隠した男だった　|　开车的是名遮住右脸的男人
EP6：きっと彼がファントムだ　|　他一定就是魅影
EP6：オペラ座の怪人というやつか　|　被称为歌剧魅影的家伙吗
EP6：古い劇場にはああいう手合いがよく出るな　|　在古老的剧场里经常会出现那种家伙
EP6：ドルリー・レーン劇場にも幽霊話はありますからね　|　德鲁里巷剧院也有这种鬼故事
EP6：なんでルパンはわざわざ君に会いに来たのかね　|　为什么鲁邦要特意来见你呢
EP6：一つだけ確かなことは　|　唯一能确定的是
EP6：僕もルパンも厄介な呪縛に支配されているということさ　|　我和鲁邦都被一个麻烦的诅咒所束缚
EP6：「紳士」という呪縛だ　|　名为「绅士」的诅咒
EP6：紳士は自分の指し手に関して決して嘘をつかない　|　绅士绝不会对自己的招数说谎
EP6：プライドが許さないからね　|　因为自尊心不允许
EP6：ああ　やつも可哀想に　|　啊 那家伙也真是可怜
EP6：油断は禁物だぞ　シャーロック　|　不能疏忽大意 夏洛克
EP6：ロイズのエージェントが来ているそうだが　|　听说劳合社的特工已经来了
EP6：会いましたよ　|　我见过了
EP6：頼りなさそうな二人でしたが　ダイヤを共に守る味方です　|　看起来不太可靠 不过也是共同保护钻石的同伴
EP6：分かってないな　|　你还是没明白啊
EP6：彼らは怪物撲滅を目指しているんだ　|　他们的目的是消灭怪物
EP6：どういうことです？　|　此话怎讲
EP6：最後から二番目の夜は人狼を探す鍵だと言われているのさ　|　倒数第二夜据说是寻找人狼的关键
EP6：人狼　|　人狼
EP6：ロイズはルパンの犯行を妨げはしないだろう　|　劳合社应该不会阻碍鲁邦偷窃吧
EP6：その後にルパンを追い詰め　無力化した上でダイヤを奪い　|　等鲁邦得手再进行追捕 打败他后夺走钻石
EP6：盗難の罪は全てルパンに着せられるだろう　|　被盗的罪责全由鲁邦背上
EP6：そんなこと　|　还有这种事
EP6：もしそうなったなら　僕がダイヤを奪い返す　|　如果真的发生了 我会去夺回钻石
EP6：言うほど簡単ではないぞ　|　没有你说的那么简单
EP6：彼らは強い　|　他们实力很强
EP6：僕には奥の手もある　|　我也留有后手
EP6：バリツか　シャーロック　|　巴顿术吗 夏洛克
EP6：お前はもう若くないんだぞ　|　你已经不再年轻了
EP6：ルパンにはファントムがついていて　|　鲁邦有魅影跟随
EP6：おまけにロイズの二人も味方じゃないか　|　劳合社的二人也并非同伴
EP6：八年前　モリアーティ教授と戦った頃を思い出さないか　|　有没有想起八年前和莫里亚蒂教授战斗的日子
EP6：日本の探偵　鳥籠使いは信用できるだろうか　|　日本的侦探 鸟笼使值得信任吗
EP6：わからないが　彼らも怪物だから　|　我不知道 但他们也是怪物
EP6：ロイズに狙われて　混乱に乗じて殺される可能性も　|　有可能被劳合社盯上 趁乱杀死
EP6：いや　彼女は死なないんだっけ　|　不 她是死不掉的吧
EP6：津軽のやつ　|　津轻那家伙
EP6：何ひいた？　|　撞到什么了
EP6：なんだ　|　什么
EP6：昨日の生首じゃねえか　|　这不是昨天的头颅吗
EP6：何してんだこんなとこで　|　你在这种地方做什么呢
EP6：君たちこそ逮捕されたんじゃなかったのか　|　你们不是被逮捕了吗
EP6：なあ君たち　運んでくれると助かるんだが　|　我说你们 如果能搬着我走就帮大忙了
EP6：待て　|　等等
EP6：待て待て　|　等等
EP6：待て待て待て待…　|　等等…
EP6：なんで鳥籠なんか我々が　|　为什么我们要帮忙找鸟笼
EP6：しっかり捜せ　|　仔细找
EP6：もう一度　大通りに戻っていただけますか　|　能再回大道一趟吗
EP6：はいよ　お客さん　|　好的 客人
EP6：あの車を追ってください　|　请追上那辆车
EP6：空だ　|　空的
EP6：助手がオウムと取り違えて輪堂さんが死亡したなんて記事　|　助手错拿鹦鹉鸟笼导致轮堂小姐死亡这种报道
EP6：書きたくありませんよ　|　我可不想写啊
EP6：ですから師匠は死にませんって　|　我都说了师父是不会死的
EP6：フラフラしてりゃ　案外ひょっこり…　|　随便逛逛 说不定就…
EP6：津軽　|　津轻
EP6：静句さんが　|　是静句小姐
EP6：すみません　|　抱歉
EP6：借ります　|　借用一下
EP6：お帰りなさいませ　師匠　|　欢迎回来 师父
EP6：迎えが遅い　|　太慢了
EP6：後でお仕置きだ　|　之后再惩罚你
EP6：輪堂さん　|　轮堂小姐
EP6：無事でよかった　|　你没事真是太好了
EP6：なんだ　お転婆記者か　|　原来是淘气记者
EP6：君もロンドンに来ていたのか　|　你也来伦敦了啊
EP6：はい　|　是的
EP6：鴉夜様　|　鸦夜小姐
EP6：ご無事で何よりです　|　您没事就好
EP6：私がついていながら　申し訳ありません　|　发生了这种事情 非常抱歉
EP6：静句　あのお二人は？　|　静句 那二位是？
EP6：はい　|　对了
EP6：捜索に協力していただいた…　|　他们是帮助我寻找的…
EP6：お名前をまだ　|　还未请教姓名
EP6：いえいえ　名乗るほどの者では　|　不必了 我们不值得留名
EP6：鳥籠で女で　鴉夜様　|　鸟笼 女性 鸦夜小姐
EP6：あんた達が鳥籠使いか　|　你们就是鸟笼使吧
EP6：そういう君は奇妙な格好をしているね　|　你的穿着也颇为奇妙
EP6：シャーロック・ホームズ氏と同じ服装だ　|　和夏洛克·福尔摩斯先生一模一样
EP6：静句　お前はどうやらアルセーヌ・ルパンの車に乗せてもらったらしいぞ　|　静句 你似乎在不知不觉间上了亚森·鲁邦的车呢
EP6：鳥籠使いがお嬢さんだったとはね　|　原来鸟笼使就是小姐你呀
EP6：ホームズと会った日に　|　和福尔摩斯见面的日子
EP6：もう一人の探偵と会えるとは面白い一日だ　|　居然碰到另一位侦探 真是有趣的一天
EP6：厄日の間違いだろ　|　是倒霉的一天吧
EP6：初めまして　輪堂鴉夜　|　初次见面 轮堂鸦夜
EP6：いかにも俺がアルセーヌ・ルパンだ　|　我就是亚森·鲁邦
EP6：こっちは部下のエリック　|　这是我的部下艾瑞克
EP6：本名で呼ぶな　|　别叫我的本名
EP6：ああ　悪い　|　啊 抱歉
EP6：ファントムだ　|　是魅影
EP6：こちらこそ初めまして　|　初次见面
EP6：ところでそちらの二人は助手？　|　话说旁边的两位是助手？
EP6：弟子とメイドの静句さんです　|　是弟子和女仆静句
EP6：お前名前は？　|　你的名字是？
EP6：あたくし　戦慄恐怖の鬼殺し　真打津軽と申します　|　我是令人战栗恐惧的杀鬼人 名为真打津轻
EP6：以後お見知りおきを　|　以后烦请关照
EP6：鬼殺しとはなんだ？　|　杀鬼人是什么意思
EP6：ルパンより強いって意味です　|　就是比鲁邦更强的意思
EP6：今夜の仕事があるから体力は温存しておきたいんだが　|　本来想为今晚的工作保存一下体力
EP6：遊んでやる　|　陪你玩玩
EP6：アルセーヌ・ルパンとかけまして　夜中の銭勘定と解きます　|　亚森·鲁邦为谜面 午夜数钱为谜底
EP6：その心は？　|　你知道是什么吗
EP6：じゃらじゃらうるさい　|　哗啦哗啦吵死了
EP6：こっちが本命　|　这边才是重点
EP6：一つ忠告しておく　|　给你一个忠告
EP6：この事件から降りろ　輪堂鴉夜　|　放弃这个案件 轮堂鸦夜
EP6：負けました　|　我输了
EP6：見ていたよ　|　我看到了
EP6：さて　フォグ邸に向かうとしよう　|　那么 去福克宅邸吧
EP6：ルパンに降りろと言われましたけど　|　鲁邦说让小姐放弃这个案件
EP6：ファルスの下準備だ　|　笑剧的预先准备
EP6：やれやれ　身体検査とは　|　真是的 还要搜身
EP6：予備の弾丸は持ってきたかい　|　有带备用子弹吗
EP6：十発ぐらいなら　|　十发左右
EP6：ありがたい　|　太好了
EP6：後で六発に譲ってくれ　|　等会给我六发
EP6：僕の弾倉は三時間以内に空になる　|　我的弹匣会在三小时内打空
EP6：銃を撃つ予定が？　|　你要用枪吗
EP6：私も通っていいですか　|　能让我也过去吗
EP6：靴はまだ新しいのに底が擦り減っている　|　鞋子很新 鞋底却磨损得厉害
EP6：頻繁に歩き回るお仕事を？　|　你的工作需要经常走路吧
EP6：刑事です　パリ市警の　|　我是巴黎市警局的刑警
EP6：ガニマールさんですね　|　是葛尼玛先生吧
EP6：確かめてもよろしいですか　|　可以让我确认一下吗
EP6：初めまして　ガニマール警部　|　初次见面 葛尼玛探长
EP6：お噂通りルパンの専門家のようだ　|　看来您是正如传闻的鲁邦专家
EP6：パリ市警のガニマール警部です　|　我是巴黎市警局的葛尼玛探长
EP6：お待ちしてました　|　恭候多时
EP6：鳥籠使いはまだ来ていないのかな　|　鸟笼使还没到吗
EP6：先ほどいらしたのですが　これをあなたへと　|　刚才已经到了 这是他们给您的
EP6：お邪魔にならないよう地上階の警備にあたります　|　为了不妨碍诸位 我们将负责地上的警备
EP6：地下はよろしくお願いします　|　地下就交给诸位了
EP6：地上のどこを守るつもりだろう　|　他们打算守卫地上的哪里啊
EP6：塔の上だとおっしゃっていました　|　据说是塔顶
EP6：まあいい　|　也罢
EP6：彼らには彼らのやり方があるのだろう　|　他们也有自己的行事风格
EP6：持ち場の確認です　|　确认一下管辖范围
EP6：今夜は総勢111人が屋敷を守りますが　|　今晚虽有111人守卫宅邸
EP6：余罪の間に残る人間は厳選した方がいい　|　但是留在余罪室的人要严格筛选
EP6：変装したルパンが紛れ込む可能性もあるので　|　鲁邦很可能会乔装混入我们中间
EP6：俺とファティマは地上階を守る　|　我和法蒂玛在地上警备
EP6：こんな埃っぽい場所にはあと一秒たりともいられん　|　这种满是灰尘的地方我一秒也待不下去了
EP6：そっちの方がダイヤを盗み終えたルパンを囲い込みやすいからだな　|　毕竟那样才更容易抓住偷到钻石的鲁邦嘛
EP6：俺たちの仕事はフィリアス・フォッグ氏の財産を守ること　|　我们的工作是保护斐利亚·福克先生的财产
EP6：それだけだ　|　仅此而已
EP6：ワトソン君　勝ってから吸いたまえ　|　华生 等赢了再抽
EP6：そっちの方がうまい　|　那样会更加美味
EP6：本当に勝てるんだろうな　|　真的能赢吧
EP6：ではこの部屋には我々６人だけが残るということで　|　那么这间屋子就留我们六人
EP6：予告時間までは３時間近くありますが　|　距离预告时间还有近三个小时
EP6：施錠は早い方がいい　|　早点锁门比较好吧
EP6：閉めてください　|　请把门关上
EP6：フォッグさん　ダイヤは？　|　福克先生 钻石呢
EP6：皆さんがいらっしゃる前に確認しました　|　在诸位到来之前已经检查过了
EP6：３時間後も盗まれていないことを祈りましょう　|　祈祷三小时后钻石不会被偷走
EP6：さて　師匠　|　那么 师父
EP6：不肖真打津軽　|　弟子不才
EP6：「釜泥」を勉強させていただきます　|　且观摩学习「釜泥」
EP6：何だ　|　怎么了
EP6：何が飛び込んだ　|　什么东西掉进去了
EP6：正門の方だ　急げ　|　在正门那边 快去
EP6：早くしろ　|　快点
EP6：何？　|　什么？
EP6：何者かが北館から侵入したそうです　|　有人从北馆入侵
EP6：警官の制服が一着奪われていたらしく　|　抢走了一套警官制服
EP6：まだ11時までには50分近くあるな　|　离十一点还有近五十分钟
EP6：おいホームズ　聞いていたか　|　福尔摩斯 你在听吗
EP6：何ということを？　|　你干什么
EP6：ということだ　|　为何如此
EP6：この扉は開かなくなった　|　这扇门打不开了
EP6：我々はもうこの部屋から出られない　|　我们出不去了
EP6：永遠にというわけじゃない　|　又不是永远出不去
EP6：朝一で腕のいい鍵屋を呼べば開くでしょう　|　明天一早去找个厉害的锁匠就能开了
EP6：しかし朝一から呼んでも五六時間はかかるぞ　|　可即便早上找锁匠也得花五六个小时
EP6：半日くらい食べずとも死にはしません　|　半天不吃东西饿不死
EP6：重要なのは何者でも午後11時から11時半の間にこの部屋に侵入することは不可能という事実です　|　重点是没人能在晚上十一点到十一点半入侵这间屋子
EP6：ルパンはどんな鍵でも開けられると明言していた　|　鲁邦说他什么锁都能开
EP6：だが　破るべき錠が最初からなければ　|　但是 只要没有锁
EP6：いくらルパンでも開けられるはずがない　|　他再厉害也开不了
EP6：素晴らしい　|　好
EP6：これで警備は完璧になった　|　这下就万无一失了
EP6：さて　ルパン　|　鲁邦
EP6：どの手で来るか　|　你会出什么招呢
EP6：10時55分　|　10点55分
EP6：念には念をも　|　要加倍小心
EP6：ホームズさん　ワトソンさん　金庫を手で押さえていてください　|　福尔摩斯先生 华生先生 请你们用手按住保险柜
EP6：わかりました　|　好的
EP6：10時58分　|　10点58分
EP6：何も起きないな　|　什么也没发生啊
EP6：何だ　|　怎么了
EP6：水か？　|　水？
EP6：塔の下の外壁が爆薬で吹き飛ばされたそうです　|　好像是塔下的墙壁被炸药炸开了
EP6：やられた　|　糟了
EP6：堀の水だ　|　是护城河的水
EP6：液体なら通気口を通れる　|　液体能够从通风口流入
EP6：水なんか入れたって金庫は…　|　但放水进来保险柜也…
EP6：でも　僕らにも水中で金庫を守ることはできない　|　不过 我们也没法在水里保护保险柜
EP6：何という事だ　|　怎么会这样
EP6：#怪盗和侦探
EP6：#注：一种混合格斗术
EP6：#注：「釜泥」为落语名，与上一话提到的日本古代盗贼「石川五右卫门」有关
EP6 OUT

