EP01 IN
EP01：世の中には二種類の人間がいる　|　这个世界上有两种人
EP03：ディアナ　|　狄安娜
EP03：大丈夫ですか　一体何が…　|　您没事吧 究竟发生什么事了
EP03：賊が侵入したようです　|　好像有贼人入侵了
EP03：侵入？　|　入侵？
EP03：正面から逃げた　|　从大门逃走了吗
EP03：いやいや　侵入者なんて　|　不会吧 怎么会有入侵者
EP03：でも確かに裏口から入ってきた　|　但那人确实是从后门进来的
EP03：裏口？番犬たちがいるのに　|　后门？那边有看门狗在
EP03：あいつらが吠えないのは旦那様とお嬢様だけで　|　那些狗只认老爷和大小姐
EP03：カイにも懐いてましたっけ　|　好像还很亲凯来着
EP03：カイさんを疑っているんですか　|　你在怀疑凯先生吗
EP03：まさか　|　怎么会呢
EP03：でも自分の警備は完璧だったからな　|　但我觉得自己的警卫工作没有问题
EP03：エリーゼの擦り傷を見てはひっくり返ってるあなたの警備が　|　你看到艾莉丝的擦伤就大惊失色 值得相信吗
EP03：それは血が出てるから　|　那是因为流血了
EP03：責任逃れはやめたら　|　别再逃避责任了
EP03：やめなさい　お嬢様の前で　|　在大小姐面前还不住口
EP03：いや　どう考えてもカイでしょ　|　怎么想都是凯干的吧
EP03：ディアナさんも共犯とか　|　狄安娜是同伙对吧
EP03：旦那様をさぞ恨んでたでしょうし　|　你应该很恨老爷吧
EP03：そんなのみんなそうだわ　|　大家不都一样吗
EP03：エリーゼだって　|　艾莉丝也是
EP03：私は…　|　我…
EP03：エリーゼちゃんが人殺しなんてするわけないだろ　|　艾莉丝才不是杀人凶手
EP03：今　今気づいた　|　我现在才察觉到
EP03：紅茶が台無しだよ　|　红茶都浪费了
EP03：そんなのどうだっていいだろ　|　这种事根本不重要吧
EP03：僕にとってはこの言い争いの方がそんなのだけど　|　对我来说这种争吵才不重要
EP03：お父様が死んだこと　誰も…　|　没有人对父亲的死…
EP03：まあ　零れちゃったけど　|　虽然打翻了
EP03：味は変わらずおいしいはずだから　|　但味道应该还是一样不错
EP03：何言ってんだ　お前　|　你在说什么呢
EP03：わからない　|　听不懂吗
EP03：なめて味わえって言ってるんだけど　|　我要你给我舔干净
EP03：誰一人悲しんでない　|　没有一个人感到悲伤
EP03：狂ってんのか　|　你疯了吗
EP03：そんなことより犯人はカイだって言ってんだろ　|　这不重要 我说了犯人就是凯
EP03：カイさんが犯人なわけないでしょ　|　凯先生怎么可能是犯人
EP03：そうかな　|　是吗
EP03：どう考えてもあやしいけど　|　怎么想他都很可疑
EP03：今まで私が見ていたものは…　|　一直以来我所看到的东西…
EP03：いい加減にしないか　|　闹够了没有
EP03：頭を冷やしてきます　|　我去冷静一下
EP03：夜が明けたら警察を呼びます　|　天亮后我就去报警
EP03：ですが…　|　但是…
EP03：もう決めたことです　|　我已经决定了
EP03：お父様が殺された時　|　能告诉我父亲遇害的时候
EP03：何をしていたのか教えてもらえますか　|　大家都在做什么吗
EP03：アルネ　アルネってば　|　阿尔涅 阿尔涅啊
EP03：あれから返事もないや　|　那之后就没消息了
EP03：でも面白くなりそう　|　不过感觉变得有趣起来了
EP03：#祸不单行
EP03：#注：阿加莎·克里斯蒂所著系列推理小说中的名侦探
EP03 OUT

