EP01 IN
EP01：どうして　|　为什么
EP03：だって　現世にいたとき　このホテルについての噂を聞いたことがありますか　|　毕竟 你们在阳间的时候 有听到过这间旅店的传闻吗
EP03：ないでしょう　|　没有吧
EP03：では　現世に戻ったら　|　那么 回到阳间之后
EP03：僕たちは全員知らない人同士になるということですか　|　我们都会不再认识彼此了吗
EP03：さあ　阿鳥君　|　好了 阿鸟君
EP03：お客様を解放して差し上げなさい　|　放开这位客人
EP03：何がおかしいんですか　|　有什么好笑的
EP03：失礼　|　抱歉
EP03：君たち従業員でも　ホテルのルールについて知らないことがあるんだなと思いましてね　|　你们这些员工对旅店的规则也并不是了如指掌啊
EP03：支配人　地獄は本当にあるんですか　|　经理 真的存在地狱吗
EP03：はい　|　存在的
EP03：発狂することすら許されない永遠の苦痛と聞いております　|　我听说那是连发疯都不被允许的永恒痛苦
EP03：死が一瞬ではなく永遠に続くと　|　死亡不再是一瞬而是永恒持续
EP03：それは遠慮しておきたいですね　|　那我还是不去为妙呢
EP03：大外さん　今すぐここから出て行ってください　|　大外 请你立刻离开这里
EP03：ここは　生死の分からない人がたどり着くホテルですから　|　这里是不知自己生死的人才会抵达的旅店
EP03：名残惜しいが　お別れだ　|　虽然有些不舍 但是再见了
EP03：お客様　チェックアウトです　|　这位客人 办理退房
EP03：音子ちゃん　よく見抜いたね　|　音子 真亏你能看穿呢
EP03：すごいよ　お疲れ様　|　你真厉害 辛苦了
EP03：あの…　|　那个…
EP03：さっきはその…　|　刚才的事…
EP03：ありがとう　|　谢谢
EP03：一応言っとく　|　姑且说一声
EP03：でも別にあんたに助けてもらって嬉しいとかそんなことは　|　但我才不是因为被你救了而高兴
EP03：大体　元々いえばあんたが探偵気取って推理なんて始めるから　|　再说 本来就是因为你扮侦探玩推理才会变成这样
EP03：さあ　そろそろ仕事に戻らないと　|　好了 该回去工作了
EP03：大外さん　|　大外
EP03：お帰りなさいませ　|　欢迎回来
EP03：どうして戻ってきたんですか　|　你为什么回来了
EP03：どこへ行けばいいか分からない　|　因为我不知道该去哪
EP03：そもそも僕は自分が生きてるか死んでるか分からないんだ　|　我根本就不知道自己是生是死
EP03：では　ここに戻ってくるのは当然のこと　|　那么 回到这里是理所当然的
EP03：顔を取り戻してもご自身の生死が分からなければ　行き先も分かりませんからね　|　即使找回了面容 但若不清楚生死 依然不知何去何从
EP03：支配人　そいつは犯罪者よ　ここに泊めないで　|　经理 这家伙可是个罪犯 别让他住在这里
EP03：僕は決して君たちに危害を加えたりしないよ　|　我肯定不会伤害你们的
EP03：そもそも子供はタイプじゃないし　地獄にも行きたくないしね　|　再说我对小孩没兴趣 而且也不想下地狱
EP03：現世で接点もないのに　無意味に争う必要はないですよね　阿鳥さん　|　我们在阳间没有交集 没必要无意义地争斗了 阿鸟先生
EP03：しかし…　|　但是…
EP03：当ホテルではお客様による貴賤はございません　|　本旅店对所有客人一视同仁
EP03：それが善良な市民であろうと殺人鬼であろうと　|　无论是善良市民还是杀人凶手
EP03：それがホテルのルールなら　仕方ないですね　|　如果这就是旅店的规则 那也没办法
EP03：一時休戦ということにしましょう　|　那就暂且休战吧
EP03：分かってくれるかい　|　你能理解吗
EP03：ねえ　少なくともこのホテルの中だけの話ですけどね　|　嗯 不过仅限于在这间旅店内
EP03：もちろん　このホテルの中での話だとも　|　当然 仅限于这间旅店内
EP03：では　チェックインのお手続きを　|　那么 请办理入住手续吧
EP03：その前に一つご忠告を　|　在此之前给您一句忠告
EP03：このホテルに永遠にいられる魂はございません　|　没有灵魂能永远停留在这间旅店
EP03：時が来たら消失してしまいます　|　时机一到 他们就会消失
EP03：皆様には記憶を取り戻したら速やかに出て行かれることをおすすめします　|　各位一旦找回记忆还是尽早离开为好
EP03：顔はその人のアイデンティティーか　|　脸是一个人身份的象征吗
EP03：でも　なんでパンジーだったんだろう　|　但是 为什么会是三色堇呢
EP03：#染血的三色堇
EP03：#注：三途川，中日佛教文化中生界与死界的分界线
EP03：#夏洛克·福尔摩斯全集 血字的研究 柯南·道尔 著
EP03 OUT

