EP01 IN
EP01：「眠りから目覚めたら」　|　「从睡梦中醒来」
EP06：辛　|　好辣
EP06：でもあと引く　|　但停不下来
EP06：うま　|　好吃
EP06：明るいうちから飲むのっていいよね　|　你大白天喝没事吗
EP06：君も仕事置いてきたんだろ　|　你不也把工作放一边了吗
EP06：いや　それが全然進まなくて　|　其实我一点进展也没有
EP06：笠町君ってさ筋トレしてる　|　笠町你在健身吗
EP06：筋トレ　|　健身
EP06：わりと頑張ってるでしょずっと　|　你是不是一直在坚持啊
EP06：いや　頑張るっていうか好きなんだよ体動かすの　|　说不上坚持 我喜欢活动身体的感觉
EP06：ていうか聞いてくれよ　|　你听我说
EP06：いやいや　そんなばかな　|　不不 怎么可能
EP06：単に運動好きだからジムいくだろ　|　我只是因为喜欢运动才去健身房
EP06：でさ食べたい味食べたいから弁当作るわけ　|　只是想吃喜欢吃的东西才做便当
EP06：こんなにエロかったか　|　这家伙有这么性感的吗
EP06：そしたら「なんか笠町さんって本当に意識高いですよね」とかって　|　然后就有人说「笠町先生真的好精致啊」
EP06：なんか悪意あんだろ　|　是不是在找茬啊
EP06：意識高い　|　好精致
EP06：あい　焼きギョーザ　|　煎饺来喽
EP06：あなた昔からそういうのでそしられ　|　以前你就被人这么说
EP06：ではないな　|　也不是
EP06：やゆされること多かったよね　|　就是经常被调侃
EP06：お坊ちゃんとかな　|　说我是小少爷
EP06：頑丈そうだから　|　毕竟你看着很结实
EP06：いじってもいいと思われるんだよきっと　|　大家肯定觉得开开玩笑也没啥
EP06：お坊ちゃんだけどさ仲よくしてやって　|　他有点小少爷 还请多包涵
EP06：そりゃなんだって指さされりゃ欠点のように感じるだろ　|　但总被这么说 确实会觉得自己哪里不好
EP06：懐かし　|　好怀念
EP06：でも君がその手のからかいに全く乗らなかったのが　|　不过你从来不跟他们一起说我
EP06：ありがたかったんだよな　|　我其实内心很感谢你
EP06：そうだっけ　|　是吗
EP06：まあお坊ちゃん好きだしな　|　我还挺喜欢小少爷的
EP06：そりゃあ初耳だな　|　这我还是第一次听你说
EP06：好きな人いますか　|　你有喜欢的人吗
EP06：いやいやいや　|　不不不
EP06：お坊ちゃんといえば　|　说到小少爷
EP06：あの若い弁護士さんはどうなんだよ　|　你觉得那个小律师怎么样
EP06：彼もお坊ちゃんっぽかったろ　|　他看起来也是个公子哥
EP06：個別に面談させていただけたらと思いまして　|　我希望能与她单独面谈
EP06：気に障られたらあれかなと思ったのですが　|　希望不会令你不快
EP06：なんか勉強君って感じ　|　他看起来更像个好学生
EP06：勉強君？雑なあだ名だな　|　好学生？这外号太随意了
EP06：あの高代さんの著作をいくつか拝読したのですが　|　我也拜读了高代小姐您的几部著作
EP06：フィクション全く見ないんだって　|　他说从来不看小说
EP06：それはどうもありがとうございます　|　那真是太感谢了
EP06：正直なところ　私小説は読まないので　|　说实话 本人从不看小说
EP06：理解はできなかったんですが　|　有很多地方不太能理解
EP06：これはやはり中学生くらいの年代を対象にしていらっしゃるんでしょうか　|　作品看起来像是以中学生为读者群体的 对吗
EP06：えっとお読みにならないんですか小説　|　您不看小说的吗
EP06：はい　全く　|　是的 从不看
EP06：全く？　|　从不看？
EP06：映画も漫画も　そういったものは全般的に　|　包括电影 漫画 这类我都不看
EP06：物語を必要としない方なんですね　|　看来您是完全不需要故事的一类人呢
EP06：すみません　|　对不起
EP06：いえ　いらっしゃいますから必要でない方も　|　哪里 确实存在这样不需要故事的人
EP06：必要ですか物語は　|　需要故事吗
EP06：なぜ　|　为什么
EP06：物語は私にとってはかくまってくれる友人でした　|　对我来说故事就像一群庇护我的朋友
EP06：特に子どものころ　|　尤其是小的时候
EP06：かくまう　|　庇护您
EP06：初めての違う国に連れていってくれるような　|　是他们最初将我带到不一样的国家
EP06：違う国ですか　|　不一样的国家吗
EP06：ええ　|　嗯
EP06：いや　その辺はまた今度　|　不过 下次有机会再说吧
EP06：まあ　じゃあ君の好みではないな　|　所以他不是你喜欢的类型
EP06：うん　まあ　|　嗯 算是吧
EP06：にらと餅のやつ頼んでいい　|　要不点个韭菜饼吧
EP06：どれ　|　哪个
EP06：ああいいね　|　看起来不错
EP06：なあ　どれだっけ白菜の　|　哪个来着 带白菜的吗
EP06：これだ　|　这个啊
EP06：落ち着け　|　冷静啊
EP06：だめだろ　|　这样不行吧
EP06：こんなの　|　居然这么
EP06：こんな　|　这么
EP06：大事にせねば　|　必须要好好珍惜
EP06：友達だろ　|　他是朋友吧
EP06：むらむらする　|　我好想要
EP06：出てくんなって　|　别冒出来啊
EP06：この人は私が一方的に失望させて傷つけた　|　我单方面让他失望 伤了他的心
EP06：ビールください二つ　|　两瓶啤酒
EP06：はい　|　好的
EP06：あど…　|　还有…
EP06：それをどの面下げて…　|　现在居然厚着脸皮想…
EP06：笠町君にはわかんない　|　笠町你是不会懂的
EP06：ギョーザ食っちゃっていい　|　能先吃饺子吗
EP06：この人に２度恋をする資格が　私には　|　我这样的人 哪有资格再跟他谈恋爱
EP06：そこの公園まで歩こうぜ　腹ごなしに　|　我们去那边公园走走吧 消消食
EP06：意識高いですね　|　你还真精致啊
EP06：おい　泣くぞ　|　喂 我要哭咯
EP06：君は運動してる　|　你呢 还有在运动吗
EP06：あんまり　|　不太
EP06：ていうか全然ですね　|　其实根本没运动了
EP06：じゃあまた時々散歩に連れ出してやるよ　|　那我再经常带你出来散散步吧
EP06：今考えたら　あのころ私足腰強かったわ　|　现在想想 我那会腿脚可厉害多了
EP06：だろ　|　对吧
EP06：１人で歩いてるとさ　なんか考え事ばっかりしちゃって　|　一个人散步的话 总是会胡思乱想
EP06：たまに人と歩くとしゃべるからいいよね　|　偶尔跟人一起散散步说说话还挺好的
EP06：たまにな　|　偶尔呢
EP06：そう　よくおわかりで　|　对 还是你懂我
EP06：いや　理解するのに時間を要しましたよ　|　毕竟这么久的交情了
EP06：コーヒー買ってくればよかった　|　早知道买杯咖啡了
EP06：この辺にはなさそうだな　コーヒー　|　这附近好像没卖咖啡的
EP06：ごめん　嫌だったか　|　抱歉 你不喜欢吗
EP06：嫌じゃない　|　没有不喜欢
EP06：ていうかめちゃくちゃしたい　|　其实我超级想要
EP06：そうなの　|　是吗
EP06：そりゃどうも　|　那 谢谢了
EP06：もうなんかわからん　|　我啥也不知道了
EP06：なんだ　どうした　|　你怎么了
EP06：何がわからん　|　不知道什么
EP06：あなたを大事に思うことと友人であることに　|　我想要好好珍惜你 作为好朋友
EP06：これはなんか泥を塗る気がして　|　做这种事好像是种玷污
EP06：またいろいろ考え過ぎてるな　|　你又想太多了
EP06：考えないで行動したら絶対後悔する　|　不想清楚就行动 最后肯定会后悔
EP06：考えなくていいよ　|　不用多想
EP06：友達の距離感で干渉はしない　|　我会保持朋友的距离 不去干涉你
EP06：でも体は求め合う　|　但我们的身体互相渴求
EP06：ピンチのときには頼り合う　|　紧急情况下互相帮助
EP06：どうだ　|　怎么样
EP06：それあまりにも私がずるくない　|　这也太便宜我了吧
EP06：ずるくないよ　|　一点也没占便宜
EP06：むしろずるいのは俺だ　|　应该说是我占便宜才对
EP06：俺は君を俺に頼らせたいんだ　|　我希望你能依赖我
EP06：弱い君を望んでるとかじゃなくてさ　|　也不是说希望你变得软弱
EP06：なんでこんなこともできないんだろう　|　为什么我连这点小事都做不好呢
EP06：私には人に助けてもらう価値がない　|　我不值得别人施以援手
EP06：そう思ってしまう　|　我总会这么想
EP06：なんでそんな悲しいこと言うんだよ　|　为什么要说这么悲伤的话
EP06：ごめんごめんごめんごめん　|　抱歉抱歉抱歉抱歉
EP06：また同じてつを　|　我又犯相同的错误了
EP06：難しい　|　好难
EP06：難しいよ　|　太难了
EP06：ただ大切にするというだけのことが　|　仅仅是珍视对方这种事情
EP06：こんなにも難しい　|　居然会这么难
EP06：あなたさ　いい匂いするよね　|　你身上好好闻啊
EP06：出会ったころから思ってたけど　|　初次见面时我就有这种感觉
EP06：他の男はそんな匂いしないだろ　|　其他男人没有这种味道吧
EP06：違う　|　不对吗
EP06：違わないよ　|　对
EP06：#希望你能被所有人喜爱
EP06：#朝·私人物品
EP06：#重叠
EP06：#血红素铁
EP06：#三天前
EP06：#<笠町
EP06：#今天多谢了。多谢款待
EP06：#我谢你才对。一个人 吃的话总是一成不变。 下次再约
EP06：#知道了下次联系
EP06：#你好 最近你一直给我家送东西 不如久违地出去喝一杯？ 而且朝也安定下来了
EP06：#已读
EP06：#去呗 那个地板滑滑的中华餐厅！
EP06 OUT

EP07 IN
EP07：「朝」　|　「朝」
EP07：「あなたの名前は必ず来る新しくて」　|　「你的名字包含着必定到来的」
EP07：「美しいものという意味を込めて一生けんめい考えました」　|　「崭新而又美好的事物 是妈妈努力想出来的」
EP07：「あなたが誰からも愛されるように心から願っていますし」　|　「我从心底盼望着你能被所有人喜爱」
EP07：「そのためにきっと何でもしてやろうと思います」　|　「为此我觉得自己能为你做任何事」
EP07：「朝」　|　「朝」
EP07：「お母さんはあなたのことが…」　|　「你是妈妈的…」
EP07：どもども　|　你好你好
EP07：すまんですね　ご足労いただいちゃって　|　不好意思 麻烦你专门跑一趟
EP07：全然　|　没事
EP07：冷たいカフェラテ下さい　|　麻烦来份冰拿铁
EP07：かしこまりました　|　我明白了
EP07：槙生さんは元…　|　槙生她最近…
EP07：槙生は元…　|　槙生她还好…
EP07：その話は後ほど　|　之后再聊她吧
EP07：だな　|　是啊
EP07：ていうか知らなかったよ転職したの　|　话说我才知道你换工作了
EP07：１年前にね　|　换了一年吧
EP07：なので人脈も地盤も弱っちくてさ　|　所以既没有人脉也没有基础
EP07：ほんとすまんね　相談乗ってもらっちゃって　|　真不好意思 还找你帮忙
EP07：お役に立てるならうれしいよ　|　能帮上忙我也很高兴
EP07：結論から言うと　先方だいぶ醍醐さんに会いたい感じでした　|　先说结论吧 对方还挺想和你见一面的
EP07：よっし　|　好
EP07：やりたいことも近いみたいだし　|　你们的想法也相近
EP07：うまくつなげられると思う　|　我觉得会很顺利
EP07：どうする　交流会とか　|　要怎么做 开个交流会吗
EP07：いや　もう即仕事の話がしたいんで　|　不 我想尽快聊工作的事
EP07：了解了解　|　懂了懂了
EP07：じゃあ連絡先教えるね　|　那我把联系方式发你
EP07：助かりまーす　|　谢谢啦
EP07：ファミレス久しぶりです　|　我很久没来家庭餐厅了
EP07：子どもいると便利なんですよ　|　带孩子来还挺省心的
EP07：槙生さんとお呼びしていいのかしら　|　叫你槙生小姐可以吗
EP07：今日はお時間作ってくださってありがとうございます　|　谢谢你今天特地抽时间出来
EP07：ああ　いえ　|　啊 没事
EP07：朝ちゃんとは小学校から一緒で　|　她和朝从小学就是朋友
EP07：ご両親ともわりに長いおつきあいだったんです　|　和她的父母也认识挺长一段时间了
EP07：だから正直　亡くなったことが今もまだ　|　所以老实说 他们的离世直到现在
EP07：消化しきれないというか　|　该说是难以接受呢
EP07：本当に突然起こるんだなって　|　还是该说实在是太突然了
EP07：それでね　|　说起来
EP07：卒業式も入学式も見えないのは　|　毕业典礼和开学典礼都没见到你
EP07：大丈夫な人なのって思ってしまって　|　还担心过是不是什么不正经的人
EP07：それはすみません　|　那真是对不起
EP07：ご不安を与えてしまって　|　让您感到不安了
EP07：いや　ごめんなさい　|　不是 抱歉
EP07：えみりや朝ちゃんからお話聞いて　ねっ　|　我从女儿和小朝那听说了
EP07：全然大丈夫だってことはもう　|　现在已经知道您是个正经人了
EP07：大丈夫かと言われるとだいぶ不安ではありますが　|　我也不知道我算不算得上正经
EP07：精いっぱい　はい　|　不过我会尽力的 嗯
EP07：子育てはずっとそうですから　|　养育孩子就是这样的
EP07：お会いできてよかったです　|　很高兴能与您见面
EP07：じゃあ槙生さんからは何も聞いてない　|　就是说槙生什么都没告诉你
EP07：しばらく会ってないもん　|　我们最近没见面嘛
EP07：それはつまり何かあったってことか　|　所以说发生了点什么吗
EP07：詳しく詳しく　|　细说细说
EP07：いや　槙生さんが親友に話さないことを俺が話していいのか　|　这 槙生她自己都没和好朋友说的事我也不方便说
EP07：あいつと恋バナなんてしないよ　気持ち悪い　|　我才不会和那家伙聊恋爱话题呢 恶心死了
EP07：親友と言われるのも　ベー　|　而且你也别说我们是好朋友
EP07：その辺の距離感が俺には独特なんだよな　|　你们之间的这种距离感对我来说很独特啊
EP07：笠町君さ　|　笠町你啊
EP07：昔私らに会ってみたいって言いだしたの笠町君でしょ　|　以前主动说过想要和我们见面吧
EP07：でなきゃ一生紹介されてなかったと思うよ　|　不然的话她应该一辈子也不会介绍我们认识哦
EP07：一生　|　一辈子
EP07：まあ　あんときは会話の速さについていけなかったな　|　那时候实在是跟不上你们聊天的速度
EP07：で何があったの　|　所以发生了什么
EP07：醍醐さんには歓迎されないと思ってたんだ　|　我觉得你听了不会高兴的
EP07：また俺が彼女に近づくことは　|　我再次接近她的事
EP07：うちとかさ家族で来てもお父さんひとっ言も発さなくてさ　|　我家里啊 哪怕全家一起来了爸爸还是一句话不说
EP07：１人で来てんのって感じで　|　感觉和一个人来的一样
EP07：あれすげえ嫌だった　|　我超讨厌那样的
EP07：よくああやってご両親のお話をするんですよ　|　她们经常这样聊父母的话题
EP07：そんなことまで話しちゃっていいのかしらって　|　我一开始还在觉得她们说那么多
EP07：最初はびっくりしたんですけど　|　这样会不会不太好
EP07：でもああしてざっくばらんにおしゃべりするほうがかえっていいのかな　|　不过像她们这样坦率可能反而比较好
EP07：そうですね　|　确实如此
EP07：私は姉とは没交渉だったので　|　我和姐姐很久不往来了
EP07：ねえねえ　お母さん　|　喂喂 妈妈
EP07：なにもう　|　干嘛啊
EP07：ごめんなさい　|　抱歉啊
EP07：朝と水着買いに行ってもいい　|　我能和朝去买泳衣吗
EP07：水着ならあるじゃない　|　你不是有泳衣了吗
EP07：背伸びたもん　|　我长高了嘛
EP07：なにその顔は　|　你这副表情是想干嘛
EP07：何センチ伸びたの　|　你长高了多少
EP07：５センチ　|　五厘米
EP07：私も　|　我也要买
EP07：持ってるんじゃないの　|　你没有吗
EP07：知らないじゃん槙生ちゃん　|　你这不是都不知道嘛
EP07：知ってる知らないの問題ではなく　|　这不是知不知道的问题
EP07：私も背伸びたの　|　我也长高了啊
EP07：2cmだけね　|　只有两厘米
EP07：えみり裏切り　|　绘美里你这个叛徒
EP07：ちょっと待って　うつ？　|　你说什么 抑郁？
EP07：槙生さんと別れたあとにね　|　在和她分手以后
EP07：なのに私えらい怒りのメール送りましたよね笠町君に　|　但是我当时给你发过怒骂你的邮件吧
EP07：うそでしょ　ごめんなさい　|　不是吧 对不起
EP07：いや　別れたこともお叱りメールも関係ない　|　不是 这跟分手和你发的邮件都没关系
EP07：銀行なんてもう無理だなって思い詰めちゃっただけで　|　只是当时我很焦虑 感觉干不下去银行业了
EP07：ほんとに　|　真的吗
EP07：大丈夫　|　没事的
EP07：なんか意外って言うのも失礼だけど　|　说感到意外好像不太礼貌
EP07：意外だわ　|　但我真的很意外
EP07：正直俺がって思った　|　说实话我也没想到
EP07：じゃあ5000円ね　|　那就5000日元哦
EP07：クラウドに書いとくから　|　写在云笔记上了
EP07：しゃ　|　好耶
EP07：クラウドって　|　云笔记
EP07：クラウドでメモを共有して掲示板として使ってるの　|　我们用云笔记共享当留言板来用
EP07：私がいろいろ忘れちゃうから　|　因为我老忘事
EP07：忘れちゃうんですか　|　忘事吗
EP07：忘れちゃうんです　|　老忘事
EP07：忘れるって何を　|　忘记什么
EP07：それは　|　这个嘛
EP07：何もかもですね　|　什么都会忘吧
EP07：それでこの前けんかしたもんね　|　而且前阵子还吵架了
EP07：けんかではない　|　那不算吵架
EP07：いいアイデアですね　|　是个好主意呢
EP07：友人のアドバイスです　|　是朋友的建议
EP07：槙生ちゃん片づけらんないんだもん　|　因为槙生都不收拾的嘛
EP07：人の話聞いてないし聞いても忘れてるし　|　而且也不听人说话 听了也会忘掉
EP07：それってさ…　|　那就是说…
EP07：そうですよね　|　是会这样的
EP07：突然親になられたわけですもの　|　毕竟突然为人父母了
EP07：激変でしょ　|　很不适应吧
EP07：親ではないんですが　|　不过我不是她的父母
EP07：でも親じゃないし　|　但是她又不是我父母
EP07：でも決断なさったわけでしょ　|　但你已经下定决心了对吧
EP07：朝ちゃんの親になろうって　|　要成为小朝的父母
EP07：いや　私は親にはなれません　|　不 我当不了她的父母
EP07：なるつもりもないし　|　也没有这个打算
EP07：保護者ではあるけど　|　虽然我是她的监护人
EP07：泣いてそのまま動けなくなってさ　|　我哭了 就那样僵在原地
EP07：なんで俺がって　|　心想着为什么会这样
EP07：もっとうまく立ち回れよ　|　再做得好一些啊
EP07：やり過ごせよ　|　挺过去啊
EP07：努力が足りないんだろ　|　还不够努力吧
EP07：言葉にしなくても周りに対して思ってたことがさ　|　那些对身边的人和事未曾说出口的意见
EP07：全部自分に返ってきたんだよな　|　居然都反弹到了自己身上
EP07：自分が弱い立場の人間になるなんて想像もしてなかった　|　之前从没想过自己会成为如此弱小的人
EP07：傲慢だったんだ　|　我太傲慢了
EP07：槙生には話したの　|　你和槙生说了吗
EP07：最近ね　|　最近才说的
EP07：転職するまで誰にも話せなかったし　|　换工作前对谁都说不出口
EP07：槙生の反応もちょっと怖かったんだけど　|　也有点害怕槙生的反应
EP07：いっぱい寝た　|　睡了很久
EP07：めちゃくちゃいっぱい　|　睡了非常久
EP07：じゃあよかったね　|　那就好
EP07：以上　|　就这样
EP07：あいつ　|　那家伙
EP07：いや　構えていたのがばかみたいでさ　|　不 我之前忍着不说真是太蠢了
EP07：ほっとしたよ　|　她这样让我松了口气
EP07：そういう人だからほれたんだよな　|　正因为她是这样的人我才会迷上她
EP07：あら　|　啊呀
EP07：あらあら　まあまあ　|　啊呀啊呀
EP07：そろそろ時間が　|　时间差不多了
EP07：じゃあきっかけだけ教えて　|　至少给我讲讲契机吧
EP07：あの　なれないということはないわよ　|　那个 并没有什么做不到的
EP07：愛情があれば　|　只要有爱的话
EP07：いやその　なんて言えばいいんでしょうか　|　这个 怎么说才好呢
EP07：彼女の親は彼女をここまで育てた彼らしかいないんです　|　她的父母只有养育她至今的他们
EP07：どんな親だったのか私には知りようもないですけど　|　虽然我无法得知他们是怎样的父母
EP07：お母さんってどんな人だったんだろう　|　我妈妈是个怎样的人
EP07：でももう彼女が親から受け取るはずだったものは　|　但她本应从父母那得到的东西
EP07：どうしたって得られません　|　已经无论如何都得不到了
EP07：いいことも悪いことも　|　不论是好东西或是坏东西
EP07：孤独を絶望を表す言葉をまだ知らないというのは　|　还不会用言语表达孤独和绝望
EP07：一体どんな苦しみだろう　|　这到底有多么痛苦
EP07：生涯をかけても見つからないことにさえ　|　甚至穷极一生也找不到答案
EP07：私たちはおびえていなければならない　|　而我们也活在这样的恐惧之中
EP07：だから　|　所以
EP07：今までもらったものでやりくりしていくしかないと思うんです　|　我觉得她只能依靠至今得到的东西走下去
EP07：彼女を守ることはできても私に育てることは　|　我即便能守护她也未必能养育她
EP07：どうされました　|　你怎么了
EP07：また泣いてる　|　又在哭
EP07：気にしなくていいですよ　CM見ても泣く人なんで　|　不用管她 她看个广告都能哭
EP07：えみりママチワワみたい　|　绘美里妈妈和吉娃娃一样
EP07：じゃあ水着買ってきまーす　|　那我们去买泳衣了
EP07：すみませんもう　|　对不起
EP07：いえ　|　没事
EP07：もうね自分だったらって考えちゃって　|　我一想到如果是我的话
EP07：そうですよね　|　是的呢
EP07：あの美知子さんに伺ってよいでしょうか　|　我可以请教一下美知子小姐您吗
EP07：私　|　我吗
EP07：やだ　いつもえみりママって呼ばれてるから新鮮で　|　抱歉 别人都叫我绘美里妈妈 一时没反应过来
EP07：はい　なんでしょう　|　请说 什么事
EP07：姉はどういう人間でしたか　|　我姐是个怎样的人
EP07：弁護士　|　律师
EP07：朝さんのことで付いてくれてるっていう　|　就是在处理朝的事情的那位
EP07：知らない　|　不知道
EP07：それがさ美青年なんだよ　|　那是个小帅哥
EP07：俺みたいなのと違ってなんか涼しげな　|　和我不同 他给人一种很清爽的感觉
EP07：それでちょっと焦って　|　所以我有点急
EP07：槙生面食いじゃないよ　|　槙生不是颜控哦
EP07：でも頭のいいやつが好きだろ　|　但她喜欢聪明人吧
EP07：自分のことかこの野郎　|　你这家伙在说自己吗
EP07：弁護士は俺より頭いいだろ　|　律师比我还聪明吧
EP07：なに　嫉妬　|　咋了 嫉妒
EP07：いや違う　|　也不是
EP07：でも槙生さんモテるだろ　|　但槙生很受欢迎吧
EP07：まずいだろほっといたら　|　放着不管会很糟糕吧
EP07：あんなめんどくせえやつ一部の好事家しかほれねえわ　|　那么麻烦的家伙除了少数好事者外还有谁会喜欢
EP07：好事家　|　好事者
EP07：お前のことだよお前の　|　说的就是你啊 你啊
EP07：醍醐さん　声　|　醍醐小姐 小声点
EP07：実里さん私にとっては朝ちゃんママ　|　实里小姐于我而言是小朝妈妈
EP07：そうね自分に厳しい人だったかも　|　是个对自己非常严格的人
EP07：ご自分の求める理想が高いというか　|　或者说她追求的目标很高
EP07：あんた　こんなこともできないの　|　为什么这点小事都做不好
EP07：こんなこと　|　这点小事
EP07：ねえ　なんでできないの　|　喂 为什么做不好
EP07：なるほど　|　原来如此
EP07：そういうところは似てらっしゃるのかな　|　在这方面你们或许很像
EP07：ご自分に厳しそう　|　对自己似乎很严格
EP07：違うかな　|　不是吗
EP07：あの　|　那个
EP07：なぜ姉は籍を入れなかったのか聞いたことはありますか　|　你有听说过为什么我姐姐没有结婚入籍吗
EP07：それは　|　这件事
EP07：私もニュースで初めて　|　我也是看了新闻才知道的
EP07：朝ちゃんは知ってたのかしら　|　小朝她之前知道吗
EP07：どうでしょう　|　我也不清楚
EP07：なんだか知らない人みたいだ　|　总感觉她像个陌生人
EP07：私も　|　我也是
EP07：親になる前と後では違う人間みたいに見えてるのかも　|　成为母亲前后或许真的判若两人
EP07：わかりませんよね本当のところは　|　真相如何已无从得知了
EP07：後悔は　|　有后悔吗
EP07：親になって？　|　为人父母？
EP07：もちろん　|　当然
EP07：でもどの選択をしてもきっと後悔はしたし　|　但不管怎么选肯定都会后悔
EP07：いいの今となっては　|　现在这样就好
EP07：引き取らなかったほうが後悔したかな　|　我要是不收养她 或许会更加后悔吧
EP07：したんじゃないかなご自分に厳しそうだから　|　应该会后悔吧 因为您看上去对自己很严格
EP07：そんなに真面目じゃないです　|　也没有那么一板一眼
EP07：えみりさ　|　绘美里
EP07：こないだ桜井君から聞いたんだけど　|　最近从樱井同学那听说了
EP07：篠崎に告られたんでしょ　|　你被篠崎告白了吧
EP07：つきあわないの　|　不交往吗
EP07：桜井が言ったの　|　樱井说的吗
EP07：てか篠崎知ってるんだっけ　|　话说你认识篠崎啊
EP07：体育祭同じチームだった　|　体育节同一个组的
EP07：つきあわないです　|　不交往
EP07：なんで　|　为什么
EP07：好きじゃないから　|　因为不喜欢
EP07：彼氏作んないの　|　不找男朋友吗
EP07：自分が欲しいんじゃないの　|　不是你自己想找吗
EP07：欲しいけど　|　虽然想
EP07：今はバンド楽しいし人の恋バナでキャーキャーしたい　|　但现在玩乐队很开心 只想听别人的八卦爽爽
EP07：不純　|　动机不良
EP07：てかほんとにさ　|　我说真的
EP07：しつこい　|　烦死了
EP07：とにかく作らない彼氏は　|　总之我不交男朋友
EP07：何それ　|　这算什么
EP07：じゃあ彼女ならいいの　|　那女朋友的话可以吗
EP07：マジでしつこい　|　你真的很烦
EP07：この話はもう終わり　|　这个话题到此为止
EP07：槙生ちゃんみたい　|　怎么和小槙一样
EP07：笠町君の話聞こうとしたらそんな感じでさ　|　我一想打听笠町就是这种感觉
EP07：朝がしつこいからだよ　|　因为朝太烦人了
EP07：違うよ　|　才不是
EP07：槙生ちゃんは変わってるじゃん　|　难道不是因为小槙很奇怪吗
EP07：全然的外れかわからないけど　|　也可能完全不知所云
EP07：あなたが誰を好きになってもならなくても　|　一个关于不管你喜欢或是不喜欢谁
EP07：それは罪ではないという話　|　都不是你的错的故事
EP07：別に私変わってないし　|　我并不奇怪
EP07：だから槙生ちゃんと同じなのは変でしょ　|　所以和小槙一样不是很奇怪吗
EP07：変だよ変　|　很奇怪哦
EP07：朝さんいると思ってたから多かったな　|　我还以为朝在家 是不是太多了
EP07：明日食べるよ　|　明天还能吃
EP07：友達とごはん食べてくるって連絡あって　|　她有说要去和朋友吃饭
EP07：悪いことすんなよって言っといたけど　|　我有嘱咐她别干坏事
EP07：悪いこと　|　坏事
EP07：そうだ　|　对了
EP07：あげる弁当日記　|　给你便当日记
EP07：うちの母のレシピの参考に　|　我妈妈的 给你当作参考菜单
EP07：ちょっと人の日記　|　这可是人家的日记
EP07：本当に弁当のことしか書いてないんだよ　|　真的只写了便当相关的东西
EP07：いやいやいやいやいやいやいや　|　不不不不
EP07：じゃあ貸すってことで　|　那就当借给你了
EP07：いただきます　|　我开动了
EP07：人の手書きって読むのにエネルギー使う　|　看人手写的东西很消耗能量啊
EP07：生っぽさ　|　因为写得乱吗
EP07：「信吾は隠しているようだが桜でんぶは好物のよう」　|　「虽然信吾好像想瞒着 不过他应该喜欢吃樱花鱼松」
EP07：隠してたかな　|　我有瞒着吗
EP07：ものすごくきっちりした方だね　|　感觉是个很认真的人
EP07：今はいいかげんだよ　|　现在就随便多了
EP07：しょっちゅう友達と旅行行って　|　经常跟朋友一起出去旅游
EP07：じゃあこれはこれで愛なんじゃない　|　这也是她表现爱的方式吧
EP07：彼女は自分が思う完璧なものを与えていれば　|　她觉得只要自己付出最好的东西
EP07：俺が彼女の望む完璧な息子になると思ってたんだ　|　我就能成为她理想中的完美儿子
EP07：どっかで　|　在她内心深处
EP07：それって愛かな　|　这算不算爱呢
EP07：そんなの本人にしかわからないよね　|　这只有本人才知道了
EP07：どう受け取るかはあなたの問題だし　|　要如何感受就取决于你了
EP07：姉もさ日記を残してたの　|　我姐姐也留下了一本日记
EP07：日記　|　日记
EP07：悪いなと思いつつ残すべきか判断したくて　|　虽然不太好 但为了决定要不要保留下来
EP07：ちらっと中を見たんだけど　|　我稍微看了一点内容
EP07：朝宛てだった　|　那是写给朝的
EP07：朝さんに向けて書いてたってこと　|　内容是写给朝看的
EP07：そう　|　对
EP07：この弁当日記もいわばあなた宛てでしょ　|　这本便当日记其实也算是写给你的吧
EP07：ただ姉のはもっと私的な　|　不过姐姐的日记更加私人一些
EP07：「あなたが20才になったらあげようと思って書きはじめました」って　|　开头就是「这本日记是为了在你20岁时交给你而写的」
EP07：それは手紙だな　|　那这应该算是信吧
EP07：そう　|　嗯
EP07：それ以上は読んでないんだけど　|　后来我就没再看了
EP07：文章なんか全然書かない人だったの　|　她那人从来不写东西的
EP07：それが一体どんな気持ちで　|　究竟是怎样的心情
EP07：あんなにたくさん書くに至ったんだろうって　|　让她写了那么多文字
EP07：書くのはとても孤独な作業だから　|　毕竟写作其实是很孤独的事情
EP07：それこそ愛とか　|　这不正表现了她的爱
EP07：姉には二十歳になっても結局渡さないって選択肢もあったと思う　|　我觉得即使朝二十岁了 姐姐也不一定会把日记给她
EP07：あと５年も生きてたら　|　如果她还能再活五年
EP07：まあな　|　也是啊
EP07：でも亡くなってしまった以上は渡さないと　|　但她既然都死了 还是要交给朝的吧
EP07：いつ　|　什么时候呢
EP07：二十歳になったら？　|　等她二十岁？
EP07：朝は今も母親に会いたがってる　|　朝至今为止还是很想念她的母亲
EP07：日記の中には母親は生きてるでしょ　|　母亲还活在这本日记里
EP07：今こそ読みたいときかもしれないし　|　她可能现在就想看
EP07：彼女自身が読むときを決めるべきかもしれない　|　或许应该由她自己决定是否要看
EP07：いつ渡してやるべきかね　|　那就剩应该什么时候给她了
EP07：何それ　|　这算什么
EP07：勝手に死んだんじゃん　|　是你擅自死掉的
EP07：うちの母親…　|　我妈妈…
EP07：日記の中には母親は生きてるでしょ　|　母亲还活在这本日记里
EP07：何それ　|　什么啊
EP07：死んでるじゃん勝手に　|　已经擅自死掉了
