EP01 IN
EP01：「旅にでたい」　誰しも一度は思ったことがあるだろう　|　「好想去旅行」 谁都曾有过这样的想法吧
EP03：言わないだけ　それができるのがすごいと思うんです　|　只是不向他人倾诉就很厉害了
EP03：心配だったけど　先輩は先輩でよかった　|　虽然之前很担心 但学姐没变真是太好了
EP03：ちか先輩　暦さんにはちょっと弱ったところ見せますよね　|　在历姐面前千花学姐会展现出自己脆弱的一面吧
EP03：悔しいけど　私はその場所にはなれない　|　虽然很不甘心 我无法成为学姐的栖身之所
EP03：だから　せめてずっと後輩として先輩の背中を…　|　所以 至少让我作为学妹 永远在您的身后…
EP03：そうだ　ゆい　|　对了 唯
EP03：見守っまっまももまも…　|　守守守守望…
EP03：急に振り返るの反則です　|　突然回头犯规啦
EP03：ごめん　|　抱歉
EP03：物思いにふけってるときに　|　在我思绪万千的时候
EP03：それでさ　|　所以说
EP03：また旅　でようね　|　下次再一起旅行吧
EP03：はい　|　好的
EP03：今度はもうちょい静かなとこがいいね　|　下次去更安静的地方吧
EP03：それは　まあ　|　毕竟
EP03：ゴールデンウイークですから　|　现在是黄金周嘛
EP03：四国地方うどん県香川の高松へ旅してきました　|　四国地区乌冬县香川高松市的旅行结束了
EP03：市内市外に歴史的な建物や見どころが点在していて　|　市内外有着许多历史建筑和景点
EP03：正直一泊じゃ足りなかったかも　|　说实话只住一晚可能无法尽览
EP03：だけど憧れのうどん屋さんにも行けたので満足　|　但是能去憧憬已久的乌冬面馆 所以很满足
EP03：人生で一番うどんを食べた二日間だったかも　|　这两天可能是我人生中吃乌冬面最多的日子
EP03：ごちそうさまでした　|　多谢款待
EP03：ちーちゃん　高松楽しかったって　|　小千说在高松玩得很开心
EP03：ねえ　りりちゃんは今回なんで旅行行かなかったの？　|　莉莉这次怎么没去旅行？
EP03：締め切りギリギリだったからね　|　因为截稿日快到了
EP03：ちーちゃんにヘルプ入ってもらえばいいのに　|　可以让小千帮忙啊
EP03：旅でお金使っちゃうから仕事増やそうかなって言ってたよ　|　她还说旅行花销太高 正想多接点工作呢
EP03：香川のうどんか　おいしそ　|　香川乌冬面啊 看起来真好吃
EP03：四国なら徳島ラーメンもいいなあ　|　说到四国 德岛拉面也不错啊
EP03：卵入れるんだよ　生の　|　加生鸡蛋那种
EP03：冬音　|　冬音
EP03：旅で重要なのは「地の食べ物」「人との触れ合い」　|　旅行的重点在于「当地美食」与「人文交流」
EP03：けれど　最も大事なのは…　|　但最重要的还是…
EP03：なのは？　|　是？
EP03：酒　|　酒
EP03：もうりりちゃん　お酒ばっかり　|　真是的 莉莉就只顾着酒
EP03：#随性地图
EP03：#第3旅 就要这个劲道
EP03：#作品内登场的地点·费用·名称等可能与实际不同。
EP03：#注：大正12年即1923年
EP03：#旧影街
EP03：#即将迎来100周年
EP03：#游客咨询中心
EP03：#釜饭 关东煮 河鹿美食坊
EP03：#注：釜饭，日本的一种传统锅饭
EP03：#「萤火鱿釜饭」
EP03：#黑部旅馆
EP03：#监控摄像头运行中
EP03：#第二天 取材日3月29日上午9:48
EP03：#黑部峡谷观光电车
EP03：#回声观景台
EP03：#关于电车营业运行的通知
EP03：#电车营业运行的开始事宜，经研究决定如下，特此告知。
EP03：#1.营业运行时间与路段
EP03：#2.运行时间表与票价
EP03：#黑部峡谷观光电车
EP03：#早上泡了温泉…顶级的奢华享受…
EP03：#为了搜集漫画的素材打算黄金周去旅行。从东京往哪个方向走好？
EP03：#投票结果果然是四国地区占压倒性优势。
EP03：#香西 昭和町
EP03：#乌冬县 又名香川县
EP03：#赞岐乌冬站
EP03：#注：打入垒砌法、天然垒砌法，是日本石墙的垒砌技法
EP03：#总店 乌冬本阵 山田家
EP03：#手工乌冬面
EP03：#平假名 铃森千花
EP03：#乌冬县 香川县
EP03：#第85号札所
EP03：#注：札所，日本佛教文化中巡礼者领取或供奉护身符的寺院
EP03：#正在香川吃乌冬面
EP03：#接待处
EP03：#商务旅馆 Happiness 费用说明 单人 双人 带浴室洗手间 有停车场(含税)
EP03：#前台
EP03：#古迹 高松城遗址
EP03：#鲷鱼喂食体验
EP03：#注：鯛願城就，日语「大願成就」的谐音，为大梦成真之意
EP03：#注：用来盛洗手水的容器
EP03：#呼，By the sea
EP03 OUT

