EP01 IN
EP01：灯荒仁です　|　我叫灯荒仁
EP03：こんなもん履かせんのはシグマのヤツらしかいねえ　|　只有西格玛那帮家伙会这么做
EP03：ぜってえ許さねえ　|　绝不能原谅
EP03：魅那斗　|　魅那斗
EP03：何すんだ　テメェ　|　干什么啊 你们
EP03：そっちが先にやってきたんだろうが　|　是你们的人先动手的吧
EP03：んの野郎　|　混蛋
EP03：魅那斗の野郎ども　|　魅那斗那帮混蛋
EP03：もう勘弁ならねえ　|　已经忍不了他们了
EP03：とりあえず　病院に連れていきました　|　总之 先把他们送去医院了
EP03：アバラが折れてるそうです　|　好像肋骨被打断了
EP03：それに　ひでえカッコさせられてて　|　而且 还被弄得那么惨
EP03：なんだ　テメェら　|　干什么 混蛋们
EP03：何か　用ですか　|　有什么事吗
EP03：借りは返さないとね　|　有仇必报
EP03：出てこいよ　拳一郎　|　出来吧 拳一郎
EP03：来週もぶっちぎっちゃおう　|　下周也绽裂吧
EP03：#拳击爱！世界上唯一的鹌鹑蛋
EP03：#Welcome
EP03：#注：两人猜拳，输者将脸转向一方，赢者指向任意一方，如果方向一致，则指向方获胜。
EP03：#浩气
EP03：#啾啾饭店
EP03：#啾啾饭店
EP03：#注：ミニデリ，便当店。
EP03：#下一个就是你
EP03：#停止战争！偶尔吃点苦瓜杂炒
EP03 OUT

