EP01 IN
EP01：あすトろ…　|　外星…
EP06：これに　ウスターソースをかけて食べるのが　太助さん流のライスカレーなんですよ　|　在这上面浇辣酱油是太助先生自创的咖喱饭做法
EP06：おいしそう　|　听起来不错
EP06：ちょっと　うんこへ行ってくるので　カレーを見といてもらえます　|　我去拉个粑粑 麻烦你帮我看一下咖喱
EP06：はい　|　好的
EP06：ムダな抵抗をやめて　出てこい　|　放弃无谓的抵抗 快点出来
EP06：静かに　|　别出声
EP06：地球とミボー星は　時間の流れが違います　|　地球和米博星的时间流速不一样
EP06：ミボー星での１年は　地球での３年になるのです　|　米博星的一年相当于地球的三年
EP06：あなたも私より年上になってしまう前に　鍵を持って　ミボー星に帰ってきてください　|　趁着你年龄还没超过我 尽快带上钥匙回来
EP06：ミボー星と　宇宙の平和のために　|　为了米博星和宇宙的和平
EP06：鍵の場所ですが　鍵の光が導いてくれるはずですが　|　至于钥匙的所在地 钥匙的光芒会指引你
EP06：太助さんが場所を変えていなければ　庭に　|　太助先生没有挪动的话 就在庭院里
EP06：お玉　|　汤勺
EP06：危ない　|　危险
EP06：親愛なるお母さま　|　亲爱的母亲大人
EP06：お母さまは　太助さんのカレーに沈んで爆死しました　|　您掉进太助先生的咖喱里爆炸了
EP06：縁起でもないこと言うなよな　|　别说这些不吉利的
EP06：事実です　|　我说的是事实
EP06：ミラの実の父親は　この下高井戸太助って人なのか　|　米拉的亲生父亲 是这个叫下高井户太助的人吗
EP06：いきなりそんなこと言われても　困る　|　突然这么说 我也很混乱
EP06：鍵のヒントは庭だ　|　钥匙的线索在庭院里
EP06：ゴシュ人にもそのことを知られたかもな　|　说不定戈休人也知道了
EP06：鍵の光が導いてくれるとも言ってたけど　|　虽然说了钥匙的光芒会指引我
EP06：どういうことだろう　|　什么意思呢
EP06：で　彼はどうするの　|　然后 他要怎么办呢
EP06：忘れてた　|　我都忘了
EP06：随分とショックを受けてるみたいだけど　|　看来受了不小的刺激
EP06：変な夢を見ているに違いない　|　肯定是在做奇怪的梦
EP06：そうだ　うん　犬がしゃべるわけないもんな　|　没错 狗怎么可能会说话呢
EP06：現実だ　|　这是现实
EP06：悪いが　お前が見たことは誰にも言わないでもらえるとありがたい　|　不好意思 希望你不要把看到的事告诉任何人
EP06：まあ　言ったところで　変人扱いされるだけだと思うが　|　不过就算你说出去 也只会被当作怪人吧
EP06：ミボー人　|　米博人
EP06：そうだ　我々は　惑星ミボーから来たミボー人だ　|　没错 我们是从米博星来的米博人
EP06：ミラさんはミボー人　|　米拉小姐是米博人
EP06：僕もね　|　我也是
EP06：ご主人はイカで　部屋にいた男は犬　|　老公是鱿鱼 房间里的男人是狗
EP06：なんだ　そうだったんだ　|　什么嘛 原来是这样啊
EP06：未亡人じゃなくて　ミボー人ね　|　不是寡妇是米博人
EP06：なんだ　|　什么啊
EP06：宮坂さん？　|　宫坂先生？
EP06：彼　大丈夫　|　他没事吧
EP06：庭に埋めたのか　|　是埋在庭院里了吗
EP06：片っ端から掘り起こす？　|　从一边开始挖？
EP06：ミラ　|　米拉
EP06：ごめん　何だっけ　|　抱歉 你说什么
EP06：どうしたの　|　你怎么了
EP06：前に　正吉さんが　太助さんはよくここに座って星を眺めてたって　|　之前正吉先生说过 太助先生经常坐在这里仰望星空
EP06：太助さんは　このアパートで　自分の部屋で倒れてたの　|　太助先生倒在了这栋公寓 自己的房间里
EP06：土曜日で　朝食のない日で　|　那天是星期六 没有早餐
EP06：夜まで誰も気づかなかったんだって　|　听说天黑前都没人注意到
EP06：この国では　老人が１人で死ぬことを　孤独死っていうんだって　|　据说这个国家管老人独自死去 叫作孤独死
EP06：ずっとお母さんを　ここで待ってたんじゃないかな　|　他是不是一直在这里等妈妈呢
EP06：太助さん　かわいそう　|　太助先生真可怜
EP06：ミラ　しっかりしろ　|　米拉 振作一点
EP06：感傷的になってる場合じゃないぞ　|　现在不是伤感的时候
EP06：ミラの父親が誰だろうと　ミラが王位継承者で　|　不管米拉的父亲是谁 你都是王位继承人
EP06：宇宙の平和はミラに懸かってるんだ　|　宇宙和平的重任就在你身上
EP06：分かってるよ　|　我知道的
EP06：俺はもう一度　この建物について調べてくる　|　我再去调查一下这栋建筑物
EP06：ミラ　今やれることをやるんだ　|　米拉 做好现在力所能及的事
EP06：本当にそうなのかな　|　真的是这样的吗
EP06：下高井戸太助は　かわいそうだったのかな　|　下高井户太助先生真的可怜吗
EP06：太助さんのことを知りたい？　|　你想了解太助先生？
EP06：ええ　どんな人だったのかなと　興味がありまして　|　是的 我对他的为人很感兴趣
EP06：人ねえ　どうだろうなあ　|　为人啊 怎么说呢
EP06：いや　太助さんが倒れてるのを発見したのは私なんだけど　|　说起来 是我发现太助先生倒下的
EP06：太助さん　しっかり　|　太助先生 振作一点
EP06：なに　太助さん　何だ　|　什么 太助先生 你说什么
EP06：シャケ…　|　鲑鱼…
EP06：最期まで朝ご飯のことを考えている人だった　|　太助先生在最后还想着早餐
EP06：人がおいしそうにご飯を食べるのを見ているのが好きな人だったなあ　|　他很喜欢看别人幸福吃饭的样子
EP06：そういう人だったよ　|　就是这样一个人
EP06：太助さんねえ　|　太助先生啊
EP06：そういえば　仕事で遅く帰ったときに　|　说起来 有一天我工作回来很晚
EP06：パソコンで何か見てたから　|　他在用电脑看些什么
EP06：おじいちゃんでもエロい動画とか　見てんのかなって思ったらさあ　|　我还以为老爷子也看色情视频
EP06：リスが　ずっと何か食べてる動画だった　|　结果是松鼠吃东西的视频
EP06：深夜に水飲みに　キッチンに行ったら　まだ見てたからね　|　半夜我去厨房找水喝 结果他还在看
EP06：３時間近く　ずっとリスが食べてるとこ見てんの　|　将近3个小时一直看着松鼠吃东西
EP06：多分　太助さんって　変態だったと思うね　|　可能太助先生也挺变态的
EP06：まあ　そういうとこもかわいくて　私は好きだったなあ　|　不过这也是他的可爱之处 我很喜欢
EP06：太助おじいちゃんのことより　どうしてこうなったのか　こっちが聞きたいんだけど　|　比起太助爷爷的事 我想先听听你们是怎么弄成这样的
EP06：えっと…　|　这个…
EP06：蓮　父さんが悪いんだ　|　莲 是爸爸不对
EP06：ミラさんに　ちょっとカレーを見といてくれと頼んでしまったばかりに　|　都怪我让米拉小姐帮忙看了会咖喱
EP06：だからって　こんなになる？　|　所以就成这样了？
EP06：思い出しなさい　宮坂くんが来る前の　朝ご飯の大惨事を　|　你回想一下 宫坂君来之前的早餐惨案
EP06：なるか　|　那确实
EP06：ごめんなさい　|　对不起
EP06：ライスカレーだったかな　|　是叫咖喱饭吧
EP06：太助さんのレシピだったんですよね　|　按照太助先生的配方做的对吧
EP06：すっごくおいしいんだぞ　|　非常好吃哦
EP06：父ちゃん　パソコンで東京ガールズフェスティバルの動画見ていい　|　爸爸 我可以用电脑看东京少女节的视频吗
EP06：宿題　終わったらな　|　要先做完作业哦
EP06：30分だけだぞ　|　只能看30分钟哦
EP06：若林さんは　なぜそのレシピを知っているんですか　|　若林先生是怎么知道那个配方的呢
EP06：教わったんですよ　|　太助先生教我的
EP06：太助さんが両腕骨折したときに　いろんなレシピをね　|　那时他双手骨折 就教我做了很多菜
EP06：ほかにも　トルタン・タロンとか　|　比如说 茄子煎蛋
EP06：レチョン・カワリとか　|　炸五花肉
EP06：ハロハロとか　|　还有哈啰哈啰
EP06：ちょっと待って　|　等等
EP06：いろいろと気になる所があるんですけど　|　虽然我有很多想问的
EP06：太助さん　両腕を骨折したんですか　|　太助先生是双手都骨折了吗
EP06：そうなんですよ　キャバクラ行ったときにね　|　是的 去夜总会时弄的
EP06：きゃばくら？　|　夜总会？
EP06：女の子たちと　楽しくお酒を飲める場所ですよ　|　就是和女孩们纵情饮酒享乐的地方
EP06：そこで　女の子をお姫さまだっこしようとして　|　太助先生想给女生来个公主抱
EP06：そのまま　両腕骨折　|　结果就骨折了
EP06：バカでしょう　|　搞笑吧
EP06：トルタン・タロンとか　ハロハロは　|　茄子煎蛋和哈啰哈啰又是什么
EP06：フィリピン料理ですよ　|　是菲律宾料理
EP06：いっとき　フィリピンパブにドハマりしてね　|　他有一段时间很沉迷菲律宾酒吧
EP06：フィリピンパブっていうのは　フィリピンの美しい方々が働いているパブです　|　菲律宾酒吧就是有很多菲律宾美女做服务员的酒吧
EP06：フィリピン料理を持っていくと　すっごい喜ばれるんですよ　|　带上菲律宾料理去的话 她们会很高兴的
EP06：私も何度も連れてってもらいましたけど　|　他还带着我去了好几次
EP06：太助さんはね　相当なおっぱい星人でしたね　|　太助先生他啊 是个十足的巨乳星人
EP06：おっぱい星人？　|　巨乳星人？
EP06：おっぱいが大きな女の子が大好きなんですよ　|　就是超级喜欢巨乳女生的人
EP06：いや　楽しかったなあ　|　真是段美好时光啊
EP06：太助さん　生きてたら駅前にできたおっパブに連れてってあげたかったなあ　|　要是太助先生还在 真想带他去车站前新开的巨乳酒吧
EP06：おっパブというのはですね…　|　对了 巨乳酒吧指的是…
EP06：いいです　なんとなく察しましたので　|　不用解释了 我大概能懂
EP06：宅配便です　|　有您的快递
EP06：下高井戸太助さん宛てです　|　下高井户太郎先生的快递
EP06：いいの　いいの　|　没关系 就是这
EP06：ご苦労さまです　|　麻烦你了
EP06：何だろうな　|　会是什么呢
EP06：いいんですか　勝手に開けちゃって　|　擅自拆开真的好吗
EP06：いいの　いいの　|　没关系 没关系
EP06：この秋田さんって人はね　昔　このあすトろ荘に住んでた人なんだ　|　寄件的秋田先生以前也是外星庄的住户
EP06：とうもろこし　|　是玉米
EP06：秋田さんは　太助さんが亡くなられたことをご存じなんですか　|　这位秋田先生知道太助先生已经不在了吗
EP06：もちろん　|　当然知道的
EP06：昔　ここがあすなろ荘だったころから住んでいた人たちは　|　以前还叫处星庄的时候 住在这里的人
EP06：苦学生とか　食べていくのがやっとの人たちで　|　大多都是穷学生这样吃饭都成问题的人
EP06：そういう人たちが恩返しとばかりに　食べ物を送ってくれるんだよ　|　他们就像报恩一般 经常寄食物过来
EP06：秋田さん以外にも　たくさんいるよ　|　除了秋田先生还有很多
EP06：太助さんに助けられた人たちが大勢　|　太助先生帮过的人太多了
EP06：まあ　私も　そのひとりだけどね　|　说来 我也是其中一员呢
EP06：太助さん？　|　太助先生？
EP06：そりゃ　いい人に決まってるよ　|　他当然是好人啦
EP06：ここら辺の人は　みんな　お世話になってんじゃない　|　周围的人哪个没受过他照顾
EP06：悪く言う人はいないよね　|　没有人会说他不好
EP06：いや　俺　あいつを許さないね　|　不 我可不会原谅他
EP06：将棋で勝負してたのに　|　说好用将棋决胜负
EP06：勝ち越したまま　勝手に逝っちまいやがってよ　|　那家伙领先我之后就那么走了
EP06：そのうちそっちに行くから　待ってろよ　じじい　|　我也快去那边了 你等着吧 老头
EP06：たまにおしゃれして　|　他偶尔还会好好打扮
EP06：バラの花１輪とか買ってくんだよ　|　来买上一朵玫瑰花
EP06：きっと　キザなことしてたんじゃねえのか　|　肯定是在装有风度吧
EP06：ありえるね　あの人　バカなとこあったから　|　像他会做的事 那人有时候也挺傻的
EP06：下高井戸太助は　生き物が食べているところを　ずっと見るのが好きなおっぱい星人である　|　下高井户太助是个喜欢一直观察生物进食的巨乳星人
EP06：ちょっと　|　什么啊
EP06：太助さん　かわいそうなんかじゃないんじゃないかな　|　太助先生 过得也不是那么凄惨吧
EP06：本当のところは本人しか分からないけど　|　虽然实际如何 只有他自己清楚
EP06：みんなに愛されていたってことは事実なんだから　|　但大家一直爱着他也是事实
EP06：そうだね　|　是啊
EP06：ありがとう　ショーイン　|　谢谢你 松阴
EP06：いただきまーす　|　我开动了
EP06：ほれ　|　给
EP06：また無味無臭だろう　|　还是没味道吧
EP06：あの　この間のことなんですけど　|　那个 之前的事
EP06：大丈夫です　誰にも言ってません　|　别担心 我没跟别人说
EP06：ありがとうございます　|　非常感谢
EP06：あの…　|　还有…
EP06：大丈夫ですか　|　你还好吗
EP06：その　なんか元気ないというか　|　感觉 你没什么精神
EP06：宮坂さん　いつもと違うっていうか　|　跟平时的宫坂先生不太一样
EP06：大丈夫かなって思って　|　有点担心你
EP06：大丈夫です　|　我没事
EP06：そうですか　良かった　|　是吗 那就好
EP06：失礼します　|　我先进去了
EP06：全然　大丈夫じゃなかった　|　怎么可能没事
EP06：ミラさんは　ミボー星から来たミボー人　|　米拉小姐是来自米博星的米博人
EP06：つまりはエイリアンってことだろう　|　也就是所谓外星人
EP06：こんなふうに人間を襲ったりするのか　|　她会像这样攻击人类吗
EP06：ミボー星から来たミボー人って　俺の脳の理解可能領域をはるかに超えてる　|　来自米博星的米博人 这远超我大脑的理解范围
EP06：まだ　夫を亡くした未亡人だって言われたほうがよかったぜ　ちくしょう　|　还不如说是死了丈夫的寡妇呢 可恶
EP06：あら　宮坂くんじゃない　元気　|　真巧 这不是宫坂吗 还好吗
EP06：なんか顔色悪いけど　大丈夫　|　感觉你脸色好差 没事吧
EP06：そういえばこの間　ミラちゃんがイケメンの彼氏　ショーインさんだっけ　|　说起来之前小米拉跟她的帅哥男友 叫松阴来着
EP06：デートしてたけど　|　去约会了吧
EP06：あの人がラブホに入ってった人だと思うわ　|　他好像就是之前一起去情侣酒店的人
EP06：宮坂くん　今日は生きのいいタコが入ってるよ　|　宫坂老弟 今天的章鱼很新鲜哦
EP06：ショーインさん　イギリス人なんでしょう　|　松阴先生是英国人吧
EP06：エネルギーを　何かしてる社長とかで　|　是什么能源公司的老板来着
EP06：地位も名誉も金もあるんだもん　|　地位高 又出名 还有钱
EP06：しかもあのルックス　|　再加上他的长相
EP06：ミラちゃん　いい人捕まえたわねえ　|　小米拉真是找了个优秀的人啊
EP06：ミラちゃんとショーインさん　ホントにお似合いよね　|　小米拉跟松阴先生 真是天作之合呢
EP06：理想のカップルだわ　|　真是理想中的情侣啊
EP06：飴ちゃん　食べる　|　吃糖糖吗
EP06：ショーインはミラさんの彼氏じゃないし　|　松阴不是米拉小姐的男朋友
EP06：あそこはラブホじゃないし　|　那地方也不是情侣酒店
EP06：イギリス人でもありません　|　他也不是英国人
EP06：じゃ　何人なの　|　那他是哪里人
EP06：それは…　|　这…
EP06：それ全部ください　|　那些我全要了
EP06：ミラさんがミボー人なのも　ナオスケがしゃべることも驚いたけど　|　米拉小姐是米博人 直助会说话 这些我都挺震惊的
EP06：いちばん俺の心をざわつかせてるのは　|　最让我烦躁的是
EP06：ショーインもミボー人だってことだ　|　松阴也是米博星人
EP06：おかえりなさい　|　你回来了
EP06：何ですか　それ　|　那是什么啊
EP06：タコです　|　章鱼
EP06：タコ？　|　章鱼？
EP06：宮坂さん　大丈夫かな　|　宫坂先生 真的没事吗
EP06：宮坂くん　ちょっと心配ですよね　|　宫坂有点让人担心啊
EP06：ここだけの話だけど　|　我也就跟你说说
EP06：いろいろと思い悩むことがあるみたいですよ　|　他好像有很多烦心事
EP06：気分転換が必要なんじゃないかなあ　|　也许需要转换下心情吧
EP06：心配じゃないですか　|　你也担心他吧
EP06：どうすればいいんですか　|　我能做什么呢
EP06：ほら　あれだ　|　要不这样
EP06：興味ありそうな所に　一緒に行くのはどうですか　|　一起去他可能感兴趣的地方怎么样
EP06：興味？　|　兴趣？
EP06：映画とか　週末にやってるイベントとか　|　看电影 或者周末的娱乐活动
EP06：行きたい所に誘ってみたらどうでしょう　|　试着约他去他想去的地方吧
EP06：どうやって　|　我该怎么做
EP06：「一緒に行きませんか」って　|　就问他「要不要一起去」
EP06：あの子と宮坂拓己がうまくいってくれればと思ったんだが　|　本来想让她能跟宫坂拓己有点进展
EP06：やっぱりダメか　|　还是不行啊
EP06：来た　|　来了
EP06：どうした　頑張れよ　|　怎么回事 加把劲啊
EP06：葵ちゃん　|　小葵
EP06：あ…あの　|　那…那个
EP06：良かったらこれ　一緒に　|　要不要一起去 这里
EP06：こん虫まつり？　|　昆虫节？
EP06：初めて誘うデートでこん虫祭りはハードル高いぜ　|　第一次约会邀请就去昆虫节 难度太大啦
EP06：これ　町内会の　|　居委会办的吗
EP06：前から気になってたんだ　|　之前我就挺想去的
EP06：ウソだろう　|　真的假的
EP06：一緒にこん虫　食べませんか　|　要一起去吃昆虫吗
EP06：怖いよ　葵ちゃん　|　太恐怖了 小葵
EP06：#早餐是生命之源
EP06：#今日菜单 生姜烧肉 味噌汤
EP06：#注：改自「动画少女节」，面向女性的活动
EP06：#注：把甜豆、果冻、炼乳和碎冰等掺在一起的甜点
EP06：#第40届昆虫节
EP06：#今年也如约而至2023年「昆虫节」!!观察·触碰·品尝昆虫大合集！
EP06：#昆虫也是能吃的哦♪
EP06：#震惊！
EP06：#「碗子蜂蛹大会」开幕!!谁能吃掉最多蜂蛹!?
EP06：#免费参加！一定要来玩哦
EP06：#现场表演!!活动不断！
EP06：#终于向宫坂发出约会邀请的小葵
EP06：#小葵很久之前就对宫坂抱有好感
EP06：#然而，在他们约会的「昆虫节」上
EP06：#事情以令人意想不到的态势发展!?
EP06 OUT

EP07 IN
EP07：葵ちゃん　|　小葵
EP07：あ…あの　|　那…那个
EP07：よかったらこれ　一緒に　|　要不要一起去 这里
EP07：こん虫まつり？　|　昆虫节？
EP07：これ　町内会の　|　居委会办的吗
EP07：前から気になってたんだ　|　之前我就挺想去的
EP07：一緒にこん虫　食べませんか　|　要一起去吃昆虫吗
EP07：「ラジオ　レジェンダリー　POWER STONE」　|　「广播 传奇 POWER STONE」
EP07：さあ　今夜も始まりました　|　今晚的广播时间
EP07：パーソナリティーの　DJ次郎です　|　我是主持人 DJ次郎
EP07：あのとき　|　那一天
EP07：あなたを見たとき　|　见到你时
EP07：あすトろ…　|　外星…
EP07：ここだよな　|　是这里吧
EP07：心が爆発するかと思った　|　感觉心都要跳出来了
EP07：大丈夫ですか　|　没事吧
EP07：大丈夫　ですか　|　你没事吧
EP07：せーの　テルルルルーン　|　一 二 Terurururun
EP07：今日は大いに飲もうじゃないですか　|　这不值得我们今天痛饮一番吗
EP07：あなたは気づいていないと思うけど　|　我想你可能没有注意到
EP07：それから　ずっと　|　从那天起 我就一直
EP07：ずっと　|　一直
EP07：ずっと　|　一直
EP07：ずっと　|　一直
EP07：ずっと　|　一直
EP07：ずっと　|　一直
EP07：ずっと　|　一直
EP07：あなたを見ていた　|　看着你
EP07：あなたは覚えていないと思うけど　|　我想你可能已经不记得了
EP07：私とあなたは…　|　但我和你…
EP07：待って　待って　|　慢一点 慢一点
EP07：あれ　昆虫祭りに行く子たちじゃない　|　那些孩子是要去昆虫节吧
EP07：かわいいな　|　真可爱
EP07：こんなお祭りがあるなんて　知らなかった　|　我都不知道还有这种节日
EP07：イナゴ焼きそばに　|　有蝗虫炒面
EP07：チョコミールワーム？　|　还有巧克力面包虫？
EP07：葵ちゃん？　|　小葵？
EP07：あの　食べませんか　これ　|　你要尝尝这个吗
EP07：食べてみたかったやつ　|　我一直很想吃
EP07：マジか　|　真的假的
EP07：葵ちゃん　これ食べてみたかったのか　|　小葵一直想吃这个吗
EP07：実際に見ると結構グロいな　|　看着实物感觉还挺恐怖的
EP07：これ　本当に食べて平気なやつ　|　这个真能吃吗
EP07：サソリって　毒あるんじゃなかったっけ　|　蝎子不是有毒吗
EP07：いただきます　|　我开动了
EP07：ここ掘れワンワンってか　|　我是会寻宝的狗狗吗
EP07：鍵はどこだよ　|　钥匙在哪啊
EP07：これだけ掘っても　見当たらないんだ　|　都挖成这样了还没找到
EP07：もしかしたら　ほかの場所かもしれないね　|　说不定在别的地方
EP07：お届け物です　|　有您的包裹
EP07：はーい　|　来了
EP07：野菜だ　|　是蔬菜
EP07：宮坂さん　野菜が届きましたよ　|　宫坂先生 有蔬菜送来了
EP07：ああ　宮坂拓己は葵ちゃんとデートだ　|　对了 宫坂拓己和小葵去约会了
EP07：デート？　|　约会？
EP07：町内会でやってる昆虫祭りだってさ　|　说是去居委会办的昆虫节
EP07：そうだ　宮坂拓己と　葵ちゃんがいない間に　|　对了 趁宫坂拓己和小葵不在
EP07：部屋をもう一度　調べとくか　|　我再去把房间调查一遍吧
EP07：デートね　|　约会吗
EP07：宮坂さんと葵ちゃんって　そういう関係だったんだ　|　宫坂先生和小葵 是那种关系啊
EP07：ミラ　|　米拉
EP07：ラブホだと思ってた　ショーインの家の前でも　|　松阴家被他们当作情侣酒店
EP07：２人に会ったものね　|　还在门口遇见过他们
EP07：あっ　そうなんだ　|　原来是这样啊
EP07：ミラさん　|　米拉小姐
EP07：本当に申し訳ありません　|　真的很抱歉
EP07：驚かせてしまったねえ　|　吓到你了吧
EP07：ところで　随分と穴を掘っているけど　|　话说 你们挖了好多洞啊
EP07：えっと　ちょっと捜し物で　|　那个 我们在找东西
EP07：というか　正吉さん　その格好どうしたんですか　|　话说 正吉先生为什么打扮成这样
EP07：これね　昆虫祭りの正装なの　|　这是昆虫节的礼服
EP07：太助さんから引き継いだんだ　|　太助先生那传下来的
EP07：太助さんから？　|　太助先生那？
EP07：毎年　太助さんが昆虫祭りのメインイベントの審査員だったんだけど　|　太助先生每年都是昆虫节主要活动的评审
EP07：今年は私がやることになってね　|　今年变成我来当了
EP07：今年の優勝者には　これをあげてほしいって　太助さんが遺言で残してるから　|　因为太助先生遗言里有说 把这个给今年的胜者
EP07：宮坂拓己が働いていたホテルか　|　宫坂拓己工作过的酒店吗
EP07：葵ちゃん？　|　小葵？
EP07：すみません　|　不好意思
EP07：あなたの代わりなんて　いくらでもいるんだから　|　能代替你的人可多了去了
EP07：18歳で上京して　このホテルに就職した　|　我18岁来到东京 到这个酒店工作
EP07：けど　明らかにこの仕事に向いてなくて　|　但我明显不适合这份工作
EP07：東京という場所も向いてなくて　|　也不适应东京这个地方
EP07：友達はもともといなくて　|　本来就没什么朋友
EP07：家族もいないから　帰る場所もなくて　|　没有亲人 也没有栖身之所
EP07：お金もなくて　|　也没什么钱
EP07：でも　おなかはすいて　|　但肚子还是会饿
EP07：「ふつおた」のコーナー　|　「听众来信」环节
EP07：ふつおたイコール　普通のお便りなわけなんだけど　|　这个环节我们会读一些普通的听众来信
EP07：でかくないですか　|　这也太大了
EP07：誰もいないから　音出してもいいかなって　|　因为没人在 我就想外放也没事
EP07：音もですが　おにぎりも　|　音量是大 但我是说饭团大
EP07：中身　何ですか　|　饭团里是什么呢
EP07：えっと　何も　|　里面 什么也没有
EP07：米のみ？　|　只有米饭？
EP07：お米が好きなんですね　|　看来你很喜欢米饭啊
EP07：はい　|　是的
EP07：聴いてたの「ラジオ　レジェンダリー　POWER STONE」ですよね　|　你在听「广播 传奇 POWER STONE」吗
EP07：はい　|　是的
EP07：その番組　俺も好きで　よく聴いてる　|　我也很喜欢这个节目 经常听来着
EP07：これ　食べます　|　要尝尝吗
EP07：ちょっと作り過ぎちゃって　|　不小心做多了
EP07：おいしそう　|　看起来好好吃
EP07：今日の俺のおやつ　|　我今天的点心
EP07：そんな　悪いです　|　怎么可以 多不好意思
EP07：余ってるんで遠慮しないで　|　有很多的 不用客气
EP07：でも…　|　但是…
EP07：これ　高級食材なんですよ　|　这可是高级食材哦
EP07：じゃ　いただきます　|　那我就不客气了
EP07：それから　私たちは　ラジオ番組のどのコーナーが好きかとか　|　在这之后 我们聊了节目里各自喜欢的环节
EP07：メールを送ったけど　読まれたことないとか　|　聊了发出却没被读到的留言
EP07：番組のステッカーをパソコンに貼ってる人を見かけて　羨ましかったとか　|　也聊了自己有多羡慕别人电脑上贴的节目贴纸
EP07：取りとめのない　どうでもいい話をして　|　就这么漫无目的地 持续着无聊话题
EP07：おいしかった　|　好吃吗
EP07：エスカルゴのパイ　|　Escargot派
EP07：エスカルゴ？　|　Escargot？
EP07：ええ　かたつむりです　|　嗯 就是蜗牛
EP07：エスカルゴって　かたつむりだったんですか　|　Escargot是蜗牛吗
EP07：食用ですから　安心してください　|　是食用蜗牛 放心吧
EP07：はい　すっごくおいしかったです　|　好的 非常好吃
EP07：知らなかった　かたつむりが　こんなにおいしいなんて　|　我以前都不知道 原来蜗牛这么好吃
EP07：世界には食べられる　意外な食材がたくさんあるんです　|　世界上有很多出人意料的食材
EP07：コオロギとか　カブトムシの幼虫とか　サソリとか　|　蟋蟀 独角仙幼虫 蝎子之类的
EP07：いつかいろいろな食材を試してみるのも面白そうだなあ　|　有空多尝试各种食材 感觉也挺有趣的
EP07：ヤバイ　休憩時間終わってる　|　不好 休息时间已经结束了
EP07：あの　これ　|　请问 这个
EP07：残りは差し上げます　|　剩下的给你了
EP07：えっと…おにぎりちゃん　|　那个…饭团妹妹
EP07：お先に　|　我先走了
EP07：おにぎりちゃん　|　饭团妹妹
EP07：それから何日かして　|　之后没几天
EP07：宮坂さん　トロフィーもう少し上に　|　宫坂先生 奖杯再往上一点
EP07：はい　そこで止まって　|　好 就是这里
EP07：撮りますよ　|　要拍了哦
EP07：はい　バター　|　好 茄子
EP07：あなたの名前を知った　|　我知道了你的名字
EP07：あれから何度か屋上に行ったけど　|　之后也去了几次屋顶
EP07：あなたに会うことはなく　|　但都没有遇见你
EP07：あなたを見かけても　|　就算看见了你
EP07：話しかけることもできず　|　也不敢上前搭话
EP07：私は　あなたが作った料理を　誰かに食べてもらうために運んで　|　为别人端上一道道你制做的料理
EP07：どんな料理でも運べるようになった　|　我也渐渐熟悉上菜工作
EP07：気づいてほしくて　ラジオ番組にメールを送り続けて　|　为了引起你注意 我不断给节目留言
EP07：ステキな来信ありがとう　|　感谢您的精彩留言
EP07：さあ　続いては　ラジオネーム・おにぎりちゃん　|　接下来 来自饭团妹妹的留言
EP07：「次郎さん　こんばんは」　|　「次郎先生 晚上好」
EP07：「サソリ料理…」　|　「蝎子料理…」
EP07：ついに読まれて　|　终于被读到了
EP07：メールが読まれた人がもらえる　番組のステッカーが届いて　|　被读到留言的人会收到节目贴纸
EP07：それを見せることを口実に　話しかけようと思い立って　|　我想以给你看贴纸为由趁机搭话
EP07：ジャン　|　锵
EP07：ついに　メール　読まれちゃったんです　|　留言终于被读到了
EP07：軽いかな　|　会不会太轻浮了
EP07：なんで電話通じない　|　为什么电话打不通
EP07：スジじゃないわよ　|　太没道理了
EP07：おい　どうなってんだよ　|　喂 到底是怎么回事
EP07：ホテルが倒産した　|　酒店破产了
EP07：社員寮を　すぐに出なくちゃいけなくて　|　我不得不尽快搬出员工宿舍
EP07：行くアテもないから　ネットカフェでしばらく過ごして　|　无处可去的我 只能暂时住在网咖
EP07：それからは　あまり　よく覚えていない　|　之后的事情 我也记不太清了
EP07：お金もなくなって　|　钱也用完了
EP07：公園で暮らして　|　只能住在公园里
EP07：太助さんに会った　|　直到遇见太助先生
EP07：どうやって生きていけばいいのか分からない私に　|　在我不知道该如何活下去的时候
EP07：失業保険とか　いろんな手続きをしてくれて　|　他替我办了失业保险等各种手续
EP07：７号室に住まわせてくれた　|　还让我住在七号房
EP07：なんでこんなに親切にしてくれるのかと　太助さんに聞いたら　|　当我问他为什么对我这么好的时候
EP07：若いころに好きだった人のことを思い出したからだ　って言ってたっけ　|　他说是因为自己想起了年轻时候喜欢的人
EP07：サソリ　思ってたよりおいしかったね　|　蝎子比想象中要好吃啊
EP07：ですね　エビっぽい　|　是啊 像虾一样
EP07：ハート模様のラッキーキャット　|　心形斑纹的幸运猫
EP07：今日はツイてる　|　今天要走运了
EP07：犬？　|　狗？
EP07：よくほえられて　怖かった　|　经常被狗凶 好怕
EP07：不吉な予感　|　不祥的预感
EP07：ムシムシ大行進　|　虫子大游行
EP07：参加者募集中ムシ　|　正在招募参赛者
EP07：優勝者には　豪華賞品が当たるムシ　|　胜者将获得豪华奖品
EP07：「ワンコハチノコ大会」？　|　「碗子蜂蛹大会」？
EP07：ハチノコを食べ放題？　|　蜂蛹随便吃？
EP07：出るんですか　|　你要参加吗
EP07：そっち系は　ちょっと苦手だな　|　我不太擅长这个
EP07：おいしいムシよ　|　很好吃的哦
EP07：会場で待ってるムシ　|　我在会场等着你
