EP01 IN
EP01：フリーダ　|　弗里达
EP05：ほら　さっさとしないから　|　看 怪你太磨蹭了
EP05：TRUMPの情報なんてどうでもいい　|　TRUMP的情报根本无所谓
EP05：じゃあ何しに来たのよ　|　那我们来干嘛
EP05：俺はただ何もかも壊したい　|　我只想摧毁一切
EP05：人の体も愛や友情も命も　|　人的身体 爱 友情 生命
EP05：この世界ですらも壊したくてたまらねえんだ　|　甚至是这个世界 我都渴望摧毁
EP05：もしこの世にTRUMPなんてものが存在するなら　|　如果这世上存在TRUMP
EP05：俺はそいつも壊してみたい　|　我也想将其摧毁
EP05：永遠の命を持つ吸血種　|　拥有永恒生命的吸血种
EP05：どうしたら壊せるんだろうな　|　要怎样才能摧毁呢
EP05：おのれ　|　混蛋
EP05：行くぞ　|　走了
EP05：逃がさん　|　别想跑
EP05：我々としたことが　とんだ失態だな　|　我们真是太失败了
EP05：ダリ　|　达利
EP05：気高きウンベルト卿は使命を果たしたんだ　|　高尚的翁贝托卿完成了使命
EP05：我らが誇りにかけて　報いようじゃないか　|　我们也要赌上自豪 为他报仇
EP05：詳細な調査は血盟警察に引き継がせる　|　详细的调查交给血盟警察
EP05：ヨハネス卿には使いのものを出し　ことの次第を報告済みだ　|　我已经派人把事情经过报告给了约翰尼斯卿
EP05：俺たちも帰ろう　|　我们也回去吧
EP05：子供たちが待ってる　|　孩子们还在等着
EP05：さあ　お腹が空いたでしょう　|　来 都饿了吧
EP05：みんなで食卓に…　|　大家到餐桌…
EP05：#第二托儿所
EP05：#小小的冒险
EP05 OUT

EP06 IN
EP06：さあ　お腹が空いたでしょう　|　来 都饿了吧
EP06：みんなで食卓に…　|　大家到餐桌…
EP06：クララ　大変だ　|　克拉拉 不好了
EP06：ウルの姿が消えた　|　乌尔不见了
EP06：こちらも　|　其他人也是
EP06：これは　どういうことだ　|　发生什么了
EP06：お仕事行っちゃうの　|　你要去工作了吗
EP06：もっと遊びましょうよ　|　再陪我们玩会嘛
EP06：ごめんね　二人とも　|　抱歉 孩子们
EP06：さっさと終わらせて　すぐ帰るから　|　我会尽快完成工作回来的
EP06：本当にすぐだからね　|　一定要快点回来
EP06：約束よ　|　说好了
EP06：ああ　約束だ　|　嗯 说好了
EP06：あれだ　行ってくるぞ　|　对了 我要出门了
EP06：はい　|　好的
EP06：ラファエロ　|　拉斐尔
EP06：俺の留守の間　ウルを頼んだぞ　|　我不在家 你要看好乌尔哦
EP06：いやだ　|　不要
EP06：いいか　ラファエロ　|　听好了 拉斐尔
EP06：お前はウルのたった一人の兄なんだ　|　你是乌尔唯一的哥哥
EP06：俺にもしものことがあった場合　|　要是我遭遇不测
EP06：ラファエロ　お前がウルを守るんだ　|　拉斐尔 你就得保护好乌尔
EP06：いやだ　だって僕　守れないもん　|　不要 我保护不了他
EP06：大丈夫　お前ならきっと守れる　|　不会的 你一定能保护好他
EP06：何たってお前は　この俺の息子なんだからな　|　因为你可是我的儿子啊
EP06：君はいいの　|　你不去吗
EP06：何がだよ　|　去哪里
EP06：パパさんのお見送りしなくても　|　不去送送爸爸吗
EP06：別にいいよ　子供じゃあるまいし　|　不去 我又不是小孩子
EP06：無理しちゃってさ　|　又在逞强了
EP06：どうなっても知らないからね　|　自己想清楚哦
EP06：危ない　|　好险
EP06：じゃあ次はボールで遊ぶ　|　接下来玩球吧
EP06：お部屋で　ボール遊びね　|　在房间里玩球
EP06：それ　|　接住
EP06：ですから　もっと静かなお遊びをですね　|　拜托你们玩的时候安静点
EP06：本当君たちって子供だよね　|　真是一帮小孩
EP06：そうだよ　|　就是啊
EP06：ルチアたち　子供だよ　|　我们就是小孩呀
EP06：うるさくて本も読めない　いい加減にしてほしいよ　|　吵到我读书了 能安静点吗
EP06：何よ　|　什么嘛
EP06：そんなに怒らなくったっていいじゃない　|　没必要那么生气吧
EP06：ほらほら　お静かにされた方がよろしいかと　|　好啦好啦 都安静一点吧
EP06：テオドール様と一緒に読書でも…　|　要不和西奥多少爷读会书…
EP06：そうだわ　あなたも一緒に追いかけっこしましょうよ　|　对了 你也一起来玩抓人游戏吧
EP06：それいいかも　|　好主意
EP06：エレーナ様　|　埃琳娜小姐
EP06：お怪我はありませんか　|　您没事吧
EP06：エレーナに謝りなよ　|　快给埃琳娜道歉
EP06：うるさいな　|　烦死了
EP06：悪いことしたんだから　謝らなきゃだめでしょう　|　做错事就应该道歉吧
EP06：誰が謝るもんか　|　我才不要道歉
EP06：謝れ　|　快道歉
EP06：うるさい　あっちいけよ　|　吵死了 一边去
EP06：やったな　|　你先动的手
EP06：謝れ　謝れよ　|　快道歉 快道歉
EP06：うるさいな　|　烦死了
EP06：謝れ　|　快道歉
EP06：坊様方　おやめください　|　两位少爷 不要闹了
EP06：この　|　可恶
EP06：おやめなさい　|　别闹了
EP06：喧嘩の原因は何です　|　为什么要打架
EP06：テオがルチアとエレーナに意地悪したから　|　西奥他欺负露西娅和埃琳娜
EP06：大人が口を出すものではありませんが　|　虽说不该由大人插手
EP06：皆さんには仲良くしていただきたいものです　|　但还是希望大家能够和睦相处
EP06：私たちだって仲良くしたいもん　|　我们也想和睦相处
EP06：喧嘩をした後は必ず仲直りをすること　分かりましたね　|　打架后一定要道歉和好 知道了吗
EP06：うん　分かった　|　嗯 知道了
EP06：みんなと仲良くする　|　大家和睦相处
EP06：テオドール坊様　アンジェリコ坊様　|　西奥多少爷 安杰利科少爷
EP06：二人とも　お互いにごめんなさいしましょう　|　你们相互道个歉吧
EP06：ごめんなさい　|　对不起
EP06：テオドール坊様？　|　西奥多少爷？
EP06：ほら　早く謝らなきゃ　|　说呀 快道歉呀
EP06：いやだ　僕は謝らない　|　不要 我才不道歉
EP06：悪いことしたって分かってるんでしょ　|　你也知道自己做错事了吧
EP06：僕は何も悪くない　|　我才没做错
EP06：でもみんなと仲良くしたいんでしょ　|　但你也想跟大家和睦相处吧
EP06：あんな子供と仲良くなんてならなくていい　|　不需要和那种小孩和睦相处
EP06：何言ってんのさ　テオ　|　你在说什么呢 西奥
EP06：君だってまだ子供じゃない　|　你不也是个小孩吗
EP06：違う違う違う　|　不是不是不是
EP06：僕は子供じゃない　あっち行け　|　我不是小孩 走开
EP06：僕にまとわりつくな　|　不要缠着我
EP06：どうされたのです　そこには誰もおりません　|　怎么了 那里没有人
EP06：テオドール坊様　|　西奥多少爷
EP06：どうやら　繭期の幻覚を見ているようだな　|　他应该是看到了茧期的幻觉
EP06：貴方がたは　|　你们是
EP06：ママ　|　妈妈
EP06：失礼した　|　打扰了
EP06：呼び鈴を鳴らしたのだが　気づかないようだったのでね　|　我按了门铃 但似乎你们没有注意到
EP06：私はヴラド機関所属　ケイト・ロルカ　|　我是弗拉德机关所属的凯特·罗尔卡
EP06：ルチアとエレーナの母親だ　|　是露西娅和埃琳娜的母亲
EP06：では　エンリケ様の…　|　那么 你是恩里克老爷的…
EP06：そう　私たちのママ　|　是的 她是我们的妈妈
EP06：うちのパパとママはね　政略結婚なの　|　我们的爸爸和妈妈是政治联姻
EP06：余計なことは言わなくていい　|　不要说多余的话
EP06：はい　|　好
EP06：私はテオドール坊様の母親です　|　我是西奥多少爷的母亲
EP06：正確には母親代わりです　|　准确地说是代理母亲
EP06：クラシコ家の執事を務める　アルブレヒトと申します　|　我是克拉西科家的执事 名叫阿尔布雷希特
EP06：お見知りおきを　|　请多指教
EP06：先ほど　繭期の幻覚とおっしゃいましたが　|　刚才 你说到茧期的幻觉
EP06：テオドール坊様はまだ七つになったばかりです　|　西奥多少爷才刚刚七岁
EP06：繭期だなんて…　|　怎么会茧期…
EP06：過去に事例がある　|　过去有先例
EP06：あの子はおそらく　繭期早熟症だ　|　那孩子恐怕是茧期早熟症
EP06：通常　13歳から14歳の成長期に　|　通常 在十三岁到十四岁的成长期
EP06：繭期の症状は現れる　|　会出现茧期的症状
EP06：繭期を迎えた吸血種は　|　进入茧期的吸血种
EP06：幻覚　幻聴　妄想　嫉妬　|　会出现幻觉 幻听 妄想 嫉妒
EP06：激しい感情の起伏など　|　以及剧烈的情绪波动
EP06：著しい精神不安定に陥るため　|　陷入显著的精神不稳定状态
EP06：管理と教育を目的とした　クランへ収容される　|　因此会被收容到氏族中 从而管理和教育
EP06：時折現れるのだ　早々に繭期の症状を見せる者が　|　偶尔会出现 早早表现出茧期症状的人
EP06：どうしてそのようなことに　|　为什么会变成那样
EP06：おしっこ　|　要尿尿
EP06：一人で行けばいいだろ　|　你一个人去好了
EP06：子供じゃないんだから　|　又不是小孩了
EP06：坊様は少しでも早く　大人になりたかったのかもしれません　|　可能是因为少爷想要尽早成为大人
EP06：ディーノ様はテオドール坊様に次期当主として　多大なご期待を寄せています　|　迪诺老爷将西奥多少爷作为下任当家 寄予厚望
EP06：その思いが知らず知らずのうちに坊様を追い詰めていたのでしょうか　|　那种想法在不知不觉间将少爷逼到极限了吧
EP06：まだあんな子供なのに　|　明明还是个小孩
EP06：それが貴族の家に生まれた者の宿命です　|　那就是降生于贵族家庭的宿命
EP06：ですがあの親子にはいささか問題がある　|　不过那对父子之间有些问题
EP06：だから私が母親代わりを　|　所以我担任了代理母亲
EP06：よその家庭事情を詮索するつもりはない　|　我不想细究他人的家事
EP06：私はうちの子たちを連れ戻しに来ただけだ　|　我只是来带走我的孩子们
EP06：しかし　どうしてこの場所が　|　但你是怎么知道这里的
EP06：上層部の指令により　ヴラド機関に属する者は現在　|　根据上层的指令 现在弗拉德机关所属之人
EP06：それぞれが住居を離れて身を潜めている　|　都离开住所藏了起来
EP06：だが夫は子供たちを　ナーサリーなるところで隠まうと言い出したのでね　|　但是我丈夫说 把孩子们藏在托儿所了
EP06：夫の行き先を突き止めるために　部下に探らせていた　|　为了得知丈夫的去向 我让部下去调查了
EP06：奇遇ですね　|　真是巧合
EP06：私も旦那様の後を密かにつけていたのです　|　我也在暗中跟踪老爷
EP06：坊様が心配でしたので　|　因为担心少爷
EP06：ダリ卿の悪ふざけに巻き込まれたせいで　|　被卷入达利卿的恶作剧之中
EP06：まったく　とんだ迷惑だ　|　真是的 太麻烦了
EP06：いいか　ラファエロ　|　听好了 拉斐尔
EP06：お前はウルのたった一人の兄なんだ　|　你是乌尔唯一的哥哥
EP06：僕　なりたくてお兄ちゃんになったんじゃない　|　我又不是自己想成为哥哥
EP06：ラファエロ　どこ行くの　|　拉斐尔 你要去哪里
EP06：捨ててくる　|　去把他扔掉
EP06：捨てるって？　|　扔掉？
EP06：ラファエロ　ダメだよ　ウルを捨てたりなんかしちゃ　|　拉斐尔 不行啊 不能扔掉乌尔
EP06：ウル　捨てられちゃうの　|　乌尔 会被扔掉吗
EP06：やだよ　そんなの　|　不要啊
EP06：ねえ　テオドール　ラファエロを止めてよ　|　喂 西奥多 快去阻止拉斐尔
EP06：捨てられたらウルがかわいそうだよ　|　被扔掉的话 乌尔会很可怜的
EP06：なんで僕がそんなことを　|　为什么要我去
EP06：大人に言いなよ　|　去和大人说啊
EP06：だって　テオドールは子供じゃないって言ってたじゃない　|　因为 你不是说过你不是小孩吗
EP06：子供じゃないってことは大人でしょ　|　不是小孩的话就是大人吧
EP06：ねえ　大人なんだったらラファエロをやめさせてよ　|　喂 如果是大人的话就去阻止拉斐尔
EP06：お願い　|　拜托了
EP06：断りなって　君は子供なんだから無理だよ　|　拒绝吧 你还是小孩 做不到的
EP06：早く大人に知らせたほうがいい　|　快点告诉大人比较好
EP06：くそ　|　可恶
EP06：私たちも行きましょう　|　我们也去吧
EP06：とにかく　ルチアとエレーナはこちらに返してもらう　|　总之 露西娅和埃琳娜我就带回去了
EP06：私もテオドール坊様を　引き取らせていただきます　|　我也要带走西奥多少爷
EP06：それはなりません　|　那可不行
EP06：私は旦那様の留守中　|　老爷不在
EP06：このナーサリーで子供たちを守るよう言いつかっております　|　他吩咐过我要在这个托儿所保护好孩子们
EP06：あなた方ヴラド機関の関係者全員が　良からぬ輩に狙われているという今　|　现在 你们弗拉德机关所有人都被坏人盯上
EP06：この場所が一番安全だと思われませんか　|　你不觉得这里是最安全的吗
EP06：詭弁だな　|　这是诡辩
EP06：私の主はダリ・デリコです　|　我家主人是达利·德里科
EP06：旦那様の許しがあるまでは　子供たちをここから出すわけには参りません　|　在老爷同意之前 我不允许孩子们从这里出去
EP06：これは困りましたね　|　这可麻烦了
EP06：あなたでは話にならん　|　我和你说不通
EP06：ダリ卿と直接交渉する　|　我要直接和达利卿谈
EP06：では　旦那様が戻られるまではここにいらっしゃるのですね　|　那么 在老爷回来之前你们会留在这里吧
EP06：ああ　そうさせてもらおう　|　是的 就这样吧
EP06：でしたら　みんなで食事にしましょう　|　那么 大家一起吃饭吧
EP06：すぐにシチューを温めますから　|　我马上去热一下炖菜
EP06：さあ　お腹が空いたでしょう　|　来 都饿了吧
EP06：みんなで食卓に…　|　大家到餐桌…
EP06：クララ　大変だ　|　克拉拉 不好了
EP06：ウルの姿が消えた　|　乌尔不见了
EP06：申し訳ございません　|　非常抱歉
EP06：子供たちから目を離してしまうなんて　|　是我没有看好孩子们
EP06：いや　クララさんの責任ではない　|　不 这不是克拉拉小姐的责任
EP06：私たちが押し掛けてしまったせいで　|　怪我们突然造访
EP06：誰のせいでもないよ　|　这不怪任何人
EP06：そんなに自分を責めないで　|　不要太自责了
EP06：もしテオドールが一緒なら幸いだ　|　如果西奥多和他们在一起就还好
EP06：うちの子は優秀だからな　|　我家的孩子很优秀
EP06：旦那様　そのことですが…　|　老爷 关于这个…
EP06：ディーノ卿　|　迪诺卿
EP06：あなたのご子息は　繭期早熟症だと思われる　|　你的儿子可能患有茧期早熟症
EP06：なに　|　什么
EP06：幻覚や幻聴の症状が確認された　|　已经确认有幻觉和幻听的症状
EP06：繭期だと？　|　茧期？
EP06：テオドールはまだそんな年齢ではないぞ　|　西奥多还没到那个年纪
EP06：坊様は旦那様のご期待に答えようとなされていたのです　|　少爷一直想要回应您的期待
EP06：立派な貴族になるために　一刻も早く大人になろうと　|　为了成为一个优秀的贵族 想要尽快长大
EP06：まだ小さい子供をそこまで追い詰めたのは　ディーノ卿　あなただ　|　迪诺卿 是你自己把小孩子逼成这样的
EP06：まあまあ　|　好了好了
EP06：揉めている場合ではない　|　现在不是争执的时候
EP06：子供たちをすぐ連れ戻すんだ　|　赶紧把孩子们找回来
EP06：血盟警察にも協力を仰ぐ　|　我也去让血盟警察帮忙
EP06：どこ行くの　|　去哪啊
EP06：もう帰りましょう　|　我们回去吧
EP06：ほっといてよ　別について来てなんて言ってないし　|　别管我 我又没要你们跟着
EP06：ほっとけるわけないだろ　ウルを捨てるだなんて　|　怎么可能不管 绝不能扔掉乌尔
EP06：本当に捨てるわけないし　|　我又不会真的扔掉
EP06：そっか　よかった　|　那就好
EP06：じゃあ　なんでウルを連れてきたんだよ　|　那你为什么带着乌尔呢
EP06：ラファエロ？　|　拉斐尔？
EP06：ウルがいなくなったら　お父様が困るかなって　|　我想 如果乌尔不见了 父亲会很为难吧
EP06：なんだよそれ　|　什么啊
EP06：じゃあ　お父様を困らせるためにウルを連れてきたの　|　那你是为了让父亲为难才带走乌尔的吗
EP06：だって　お父様はウルのことばっかりだもん　|　因为父亲总是只关心乌尔
EP06：僕だってお父様によしよししてもらいたい　|　我也想要父亲陪我
EP06：ラファエロはよしよししてほしいの　|　拉斐尔想要父亲陪吗
EP06：僕だってしてほしいよ　|　我也想要啊
EP06：ルチアもパパにしてもらうとすっごく嬉しい　|　爸爸陪我的时候我也特别开心
EP06：なんだよ　みんな同じじゃないか　|　原来大家都是一样的啊
EP06：いいよ　わかった　|　好 我明白了
EP06：困らせてやろう　お父様たちを　|　那就让父亲他们为难吧
EP06：テオドールも困らせるの　|　西奥多也要为难吗
EP06：じゃあ　ルチアたちも　|　那我们也一起
EP06：で　どこ行くんだよ　これから　|　那我们接下来去哪
EP06：祖父のところ　|　去爷爷家
EP06：祖父？　|　爷爷？
EP06：よく　お屋敷に来てた　|　经常来我们宅邸的
EP06：あのなんか偉そうなお祖父ちゃんね　|　那个看起来很厉害的爷爷吧
EP06：ヨハネスとか言ってた　|　叫什么约翰尼斯
EP06：なんでヨハネス卿のところに　|　为什么要去约翰尼斯卿那里
EP06：祖父はお父様より偉い人だから　お父様を叱ってもらうんだ　|　因为爷爷比父亲更厉害 可以让父亲挨骂
EP06：それいいと思う　|　这主意不错
EP06：でも　祖父のお家ってどこにあるの　|　可是 爷爷的家在哪呢
EP06：知らない　|　不知道
EP06：ていうか　|　话说
EP06：どこだ　ここ　|　这是哪里啊
EP06：やけに身なりのいいガキがいるな　|　这些小孩穿得挺不错嘛
EP06：なんでこんなところに入り込んでんだ　|　怎么跑到这种地方来了
EP06：なんだお前たちは　|　你们几个是谁
EP06：「なんだお前たちは」ときたもんだ　|　居然问「你们几个是谁」
EP06：そのくさ生意気な口の聞き方　どっかの貴族のボンボンか　|　这嚣张的口气 是哪家贵族的少爷吧
EP06：だったら何よ　|　那又怎样
EP06：あっち行ってよ　|　走开
EP06：ここは灰猫街って言ってな　|　这地方叫灰猫街
EP06：真っ白な猫でもここを通り過ぎる頃には　薄汚れて灰色になっちまう　|　就算是一只白猫 走过这里也会脏成灰色
EP06：行こう　|　走吧
EP06：おっと　待ちなって　|　哟 别急着走
EP06：親からたんまり金をせしめられそうだぜ　|　估计能从父母那捞不少钱吧
EP06：だな　|　是啊
EP06：こんなところにやってきたらどうなるのか　ちゃんと勉強しないとな　|　来这种地方会发生什么事 好好学学吧
EP06：テオドール　|　西奥多
EP06：こんな奴ら　僕がやっつけてやる　|　这些家伙 交给我来收拾
EP06：やれるもんならやってみろよ　|　有本事就来试试
EP06：くそガキが　|　臭小子
EP06：なにやってんのよあんたたち　|　你们在干什么
EP06：なんだこいつ　|　这是什么人
EP06：おい　やっちまえ　|　上 干掉她
EP06：この　|　该死
EP06：あんたたち　もっともっと愛されたい　|　你们这些人 想要更多疼爱吗
EP06：バケモンだ　|　怪物啊
EP06：レディにバケモノだなんて失礼な連中ね　|　居然称女士为怪物 真是无礼啊
EP06：手加減するのやめときゃよかった　|　早知道就不手下留情了
EP06：かわいい　|　真可爱
EP06：なんてかわいいの　この子たち　|　这些孩子真可爱
EP06：ねえ　見て見て　アブラハム　|　喂 快看啊 亚伯拉罕
EP06：あの　ありがとうございます　|　那个 谢谢你
EP06：いいのよ　別にお礼なんて　|　没事 不用谢
EP06：あんなのお茶の子さいさいなんだから　|　这对我来说不过是小事一桩
EP06：お姉ちゃんすごい　|　姐姐好厉害
EP06：お姉ちゃんはすっごく強いんだから　|　姐姐可是很强的
EP06：そこのアブラハムはあたしの次くらいね　|　那边的亚伯拉罕也就差我一点吧
EP06：こんなおっきい人より強いの　|　你比这个大块头还强吗
EP06：このあたりは物騒だから　入ってきちゃだめよ　|　这附近很危险 不要靠近哦
EP06：いい　わかった　|　知道了吗
EP06：はい　|　嗯
EP06：行こう　|　走吧
EP06：バイバイ　|　拜拜
EP06：じゃあね　|　再见
EP06：ありがとう　お姉ちゃん　|　谢谢你 姐姐
EP06：なんか気になるわね　|　总觉得有点在意啊
EP06：ねえ　祖父のお家まだ　|　爷爷家还没到吗
EP06：もう　どこにあるのよ　|　到底在哪啊
EP06：ねえ　わからないならもう帰ろうよ　|　找不到的话我们回去吧
EP06：帰りたくない　|　我不想回去
EP06：そんなこと言ったって　どうするんだよ　|　可是你打算怎么办呢
EP06：もう疲れちゃった　|　我已经累了
EP06：お腹すいたね　|　肚子饿了
EP06：ねえ　ラファエロ　|　喂 拉斐尔
EP06：ラファエロってば　帰ろうよ　|　拉斐尔 回家吧
EP06：ウル　泣いちゃった　|　乌尔哭了
EP06：あなたたち　こんなところでどうしたの　|　你们在这干什么呢
EP06：親御さんは　|　父母呢
EP06：もう　|　真是的
EP06：心配になって追いかけてみたら　案の定ね　|　担心你们就跟过来看看 果然不出所料
EP06：お姉ちゃん　|　姐姐
EP06：なあもう　うるさい　|　好烦人
EP06：いつまで泣いてんのよ　|　要哭多久啊
EP06：ったく　こんな夜の街を何ほっつき歩いてんのよ　|　真是的 你们在这夜晚街头到处乱逛什么啊
EP06：どっか行くあてあるの　|　要去哪里
EP06：祖父のところ　|　去爷爷那
EP06：祖父？　|　爷爷？
EP06：祖父ってどこの祖父よ　|　爷爷是谁
EP06：まさか祖父がヨハネス・ヴラドだったとはね　|　没想到你们的爷爷是约翰尼斯·弗拉德
EP06：ねえ　ここが祖父のお家なの　|　这是爷爷家吗
EP06：ええ　そうよ　|　是的
EP06：モーリスに盗み出させた資料が　こんなところで役に立つとは思わなかったわ　|　没想到莫里斯偷来的资料在这里派上了用场
EP06：何　|　什么
EP06：こっちの話よ　|　没什么
EP06：あのね　僕　祖父に会いに来たの　|　那个 我是来见爷爷的
EP06：祖父？　|　爷爷？
EP06：なんだね　君たちは　|　你们是谁
EP06：あのね　僕　ラファエロ・デリコです　|　我是拉斐尔·德里科
EP06：祖父に会わせてください　|　请让我见爷爷
EP06：おい　デリコってまさか…　|　德里科 难道…
EP06：ダリ卿のご子息か　|　达利卿的孩子吗
EP06：おい　すぐにヨハネス卿に知らせるんだ　|　快去通知约翰尼斯卿
EP06：よかったね　祖父の家が分かって　|　太好了 终于找到爷爷家了
EP06：お姉ちゃんにお礼言わないとね　|　得向姐姐道谢
EP06：あれ　|　咦
EP06：お姉ちゃん？　|　姐姐？
EP06：焦ったわよ　まさかあの子がダリ・デリコの子供だったなんて　|　吓我一跳 没想到那居然是达利·德里科的孩子
EP06：まあ　いいわ　|　不过没关系
EP06：次の襲撃場所の確認ができたし　|　下一个袭击地点确认了
EP06：あの子たち　使えるかもしれない　|　那些孩子也许能派上用场
EP06：アブラハム　|　亚伯拉罕
EP06：このことキースたちにすぐ知らせて　|　快把这事告诉基斯他们
EP06：おいしいね　|　真美味
EP06：おいしい　|　美味
EP06：ラファエロ　飲まないの　|　拉斐尔 你不喝吗
EP06：どうだ　落ち着いたかね　|　怎么样 好些了吧
EP06：すみません　ヨハネス卿　こんな時間に　|　对不起 约翰尼斯卿 这么晚来打扰您
EP06：驚いたぞ　まさか子供たちだけでここに来るとはな　|　真是吃惊 没想到孩子们会自己跑到这里来
EP06：途中で悪い奴らにさらわれそうになったんだ　|　途中差点被坏人抓走了
EP06：悪い奴とな　|　坏人吗
EP06：でも　お姉ちゃんが助けてくれたの　|　但姐姐救了我们
EP06：強かったね　お姉ちゃん　|　姐姐好强啊
EP06：もう一回あれみたい　|　我还想再看那招
EP06：いかんぞ　お前たちに何かあれば　悲しむのは親だ　|　不行 如果你们出了什么事 父母会很伤心的
EP06：お前たちは父や母を悲しませたくはないだろう　|　你们不想让爸爸妈妈伤心吧
EP06：パパもママも笑ってるのが一番好きだから　|　我最喜欢爸爸妈妈笑的时候
EP06：では　もう二度とこんなことはしないと約束してくれ　|　那就答应我 再也不做这样的事了
EP06：うん　約束する　|　嗯 我们答应
EP06：お前たちのことは　使いのものを出してダリたちに伝えてある　|　我已经派人通知达利他们了
EP06：直に迎えが来るだろう　|　很快就会来接你们
EP06：お父様に怒られちゃうかもね　|　父亲可能会生气
EP06：にしても　子供たちだけでヨハネス卿の屋敷に行くなんてね　|　不过 孩子们竟然自己去了约翰尼斯卿的宅邸
EP06：ずいぶん遠出をしたものだ　|　真是走了挺远呢
EP06：ともあれ　大事に至らなくてよかった　|　不过好在没出事
EP06：どうした　ダリ　|　怎么了 达利
EP06：いや　何　|　没什么
EP06：任務と育児の両立　一筋縄ではいかんな　|　兼顾任务和育儿 真得多费功夫啊
EP06：何を言い出すのかと思えば　|　我还以为你要说什么呢
EP06：無理を通して道理を引っ込ませるのがダリ・デリコであろう　|　违背道理 打破常规的才是达利·德里科
EP06：毅然としたまえ　|　保持坚定
EP06：俺は子たちのことをどれだけ分かってやっていたのか　|　我到底对孩子们了解多少呢
EP06：情けない父親だ　|　真是个不称职的父亲
EP06：それを言うなら僕もだ　|　这么说的话 我也是
EP06：右に同じとしておこう　|　我也是一样
EP06：いいんじゃない　子供は成長するけど　|　没事的 孩子们会成长
EP06：親だって成長していくんだよ　|　父母也会一起成长
EP06：ああ　そうだな　|　嗯 你说得对
EP06：子供たちを連れてナーサリーに戻ったら　うんと優しくしてやろう　|　把孩子们带回托儿所后 要好好对待他们
EP06：#小小的冒险
EP06：#燃烧的攻防战
EP06 OUT

EP07 IN
EP07：ねえ　わからないならもう帰ろうよ　|　找不到的话我们回去吧
EP07：帰りたくない　|　我不想回去
EP07：ねえ　ラファエロ　|　喂 拉斐尔
EP07：ラファエロってば　帰ろうよ　|　拉斐尔 回家吧
EP07：もう　|　真是的
EP07：心配になって追いかけてみたら　案の定ね　|　担心你们就跟过来看看 果然不出所料
EP07：お姉ちゃん　|　姐姐
EP07：なあもう　うるさい　|　好烦人
EP07：ったく　こんな夜の街を何ほっつき歩いてんのよ　|　真是的 你们在这夜晚街头到处乱逛什么啊
EP07：どっか行くあてあるの　|　要去哪里
EP07：祖父のところ　|　去爷爷那
EP07：モーリスに盗み出させた資料が　こんなところで役に立つとは思わなかったわ　|　没想到莫里斯偷来的资料在这里派上了用场
EP07：あのね　僕　祖父に会いに来たの　|　那个 我是来见爷爷的
EP07：なんだね　君たちは　|　你们是谁
EP07：あのね　僕　ラファエロ・デリコです　|　我是拉斐尔·德里科
EP07：祖父に会わせてください　|　请让我见爷爷
EP07：おい　デリコってまさか…　|　德里科 难道…
EP07：お姉ちゃんにお礼言わないとね　|　得向姐姐道谢
EP07：あれ　|　咦
EP07：お姉ちゃん？　|　姐姐？
EP07：にしても　子供たちだけでヨハネス卿の屋敷に行くなんてね　|　不过 孩子们竟然自己去了约翰尼斯卿的宅邸
EP07：ともあれ　大事に至らなくてよかった　|　不过好在没出事
EP07：どうした　ダリ　|　怎么了 达利
EP07：俺は子たちのことをどれだけ分かってやっていたのか　|　我到底对孩子们了解多少呢
EP07：情けない父親だ　|　真是个不称职的父亲
EP07：それを言うなら僕もだ　|　这么说的话 我也是
EP07：右に同じとしておこう　|　我也是一样
EP07：いいんじゃない　子供は成長するけど　|　没事的 孩子们会成长
EP07：親だって成長していくんだよ　|　父母也会一起成长
EP07：ああ　そうだな　|　嗯 你说得对
EP07：子供たちを連れてナーサリーに戻ったら　うんと優しくしてやろう　|　把孩子们带回托儿所后 要好好对待他们
EP07：今はここがナーサリーだな　|　现在这里就是托儿所
EP07：君の父親は　確か　ディーノ卿だったな　|　你的父亲是迪诺卿没错吧
EP07：クラシコ家は由緒ある名門だ　|　克拉西科家是历史悠久的名门
EP07：君も　いずれは当主になるのだろう　|　总有一天 你也会成为当家
EP07：ところで君は　コーヒーを飲んだことはあるかね　|　对了 你喝过咖啡吗
EP07：いえ　|　没有
EP07：どうだ　試してみるかね　|　怎么样 要不要尝尝
EP07：はい　|　要
EP07：苦い　|　好苦
EP07：そうかそうか　子供の口には合わなかったか　|　这样啊 看来不太合小孩的口味
EP07：僕は　子供じゃありません　|　我不是小孩子
EP07：背伸びをするのも良いが　|　会逞能是好事
EP07：子供が子供でいられるのは　今だけだ　|　但你的童年也仅此一次
EP07：一度通り過ぎたら　二度とそこに戻ることはできない　|　这段时期一过 就再也回不来了
EP07：時が来れば　嫌でも大人にならざるを得んのだ　|　到时候 就算你不情愿也会成为大人
EP07：少年時代を　楽しみたまえ　|　好好享受你的少年时期吧
EP07：なんだあのジジイ　|　那老家伙是怎样
EP07：結構いいこと言うじゃない　|　说得挺对的
EP07：旦那様　お迎えの方がおいでになられました　|　老爷 来接他们的人到了
EP07：ダリ卿らがもう来たか　|　达利卿他们已经到了吗
EP07：入りたまえ　|　让他们进来
EP07：お前は　|　你是谁
EP07：火事？　|　火灾？
EP07：子供たちはどこに　|　孩子们在哪
EP07：ダリ　|　达利
EP07：我らも行くぞ　|　我们也跟上
EP07：血盟警察？　|　血盟警察？
EP07：まさか…　|　难道说…
